Time,the boys
2023-04-26,26
2023-04-27,27
2023-04-28,24
2023-04-29,26
2023-04-30,26
2023-05-01,26
2023-05-02,26
2023-05-03,26
2023-05-04,25
2023-05-05,27
2023-05-06,26
2023-05-07,25
2023-05-08,27
2023-05-09,26
2023-05-10,24
2023-05-11,25
2023-05-12,25
2023-05-13,25
2023-05-14,26
2023-05-15,26
2023-05-16,25
2023-05-17,25
2023-05-18,28
2023-05-19,29
2023-05-20,33
2023-05-21,32
2023-05-22,30
2023-05-23,27
2023-05-24,27
2023-05-25,26
2023-05-26,25
2023-05-27,27
2023-05-28,30
2023-05-29,30
2023-05-30,34
2023-05-31,26
2023-06-01,26
2023-06-02,26
2023-06-03,28
2023-06-04,29
2023-06-05,24
2023-06-06,24
2023-06-07,24
2023-06-08,23
2023-06-09,26
2023-06-10,27
2023-06-11,32
2023-06-12,26
2023-06-13,25
2023-06-14,26
2023-06-15,26
2023-06-16,25
2023-06-17,30
2023-06-18,32
2023-06-19,27
2023-06-20,25
2023-06-21,26
2023-06-22,24
2023-06-23,26
2023-06-24,27
2023-06-25,28
2023-06-26,27
2023-06-27,24
2023-06-28,23
2023-06-29,23
2023-06-30,25
2023-07-01,27
2023-07-02,29
2023-07-03,24
2023-07-04,28
2023-07-05,22
2023-07-06,25
2023-07-07,23
2023-07-08,26
2023-07-09,29
2023-07-10,27
2023-07-11,25
2023-07-12,26
2023-07-13,31
2023-07-14,30
2023-07-15,32
2023-07-16,32
2023-07-17,30
2023-07-18,26
2023-07-19,29
2023-07-20,26
2023-07-21,27
2023-07-22,34
2023-07-23,32
2023-07-24,33
2023-07-25,28
2023-07-26,29
2023-07-27,28
2023-07-28,28
2023-07-29,31
2023-07-30,30
2023-07-31,27
2023-08-01,28
2023-08-02,26
2023-08-03,25
2023-08-04,25
2023-08-05,30
2023-08-06,31
2023-08-07,27
2023-08-08,25
2023-08-09,27
2023-08-10,25
2023-08-11,25
2023-08-12,28
2023-08-13,31
2023-08-14,26
2023-08-15,23
2023-08-16,25
2023-08-17,24
2023-08-18,24
2023-08-19,27
2023-08-20,28
2023-08-21,24
2023-08-22,25
2023-08-23,24
2023-08-24,23
2023-08-25,23
2023-08-26,25
2023-08-27,27
2023-08-28,24
2023-08-29,26
2023-08-30,23
2023-08-31,24
2023-09-01,23
2023-09-02,26
2023-09-03,31
2023-09-04,28
2023-09-05,29
2023-09-06,26
2023-09-07,25
2023-09-08,24
2023-09-09,26
2023-09-10,26
2023-09-11,27
2023-09-12,25
2023-09-13,24
2023-09-14,26
2023-09-15,24
2023-09-16,28
2023-09-17,26
2023-09-18,25
2023-09-19,25
2023-09-20,26
2023-09-21,25
2023-09-22,26
2023-09-23,25
2023-09-24,26
2023-09-25,25
2023-09-26,26
2023-09-27,25
2023-09-28,25
2023-09-29,31
2023-09-30,36
2023-10-01,36
2023-10-02,32
2023-10-03,28
2023-10-04,32
2023-10-05,31
2023-10-06,32
2023-10-07,33
2023-10-08,32
2023-10-09,31
2023-10-10,31
2023-10-11,28
2023-10-12,30
2023-10-13,30
2023-10-14,31
2023-10-15,33
2023-10-16,30
2023-10-17,28
2023-10-18,29
2023-10-19,33
2023-10-20,32
2023-10-21,30
2023-10-22,32
2023-10-23,30
2023-10-24,29
2023-10-25,28
2023-10-26,27
2023-10-27,31
2023-10-28,30
2023-10-29,32
2023-10-30,30
2023-10-31,29
2023-11-01,28
2023-11-02,27
2023-11-03,35
2023-11-04,39
2023-11-05,33
2023-11-06,34
2023-11-07,31
2023-11-08,32
2023-11-09,34
2023-11-10,31
2023-11-11,33
2023-11-12,33
2023-11-13,30
2023-11-14,30
2023-11-15,28
2023-11-16,32
2023-11-17,29
2023-11-18,32
2023-11-19,31
2023-11-20,34
2023-11-21,29
2023-11-22,29
2023-11-23,29
2023-11-24,27
2023-11-25,30
2023-11-26,31
2023-11-27,31
2023-11-28,30
2023-11-29,31
2023-11-30,29
2023-12-01,29
2023-12-02,39
2023-12-03,42
2023-12-04,40
2023-12-05,36
2023-12-06,35
2023-12-07,43
2023-12-08,64
2023-12-09,78
2023-12-10,87
2023-12-11,73
2023-12-12,75
2023-12-13,71
2023-12-14,64
2023-12-15,61
2023-12-16,62
2023-12-17,77
2023-12-18,63
2023-12-19,64
2023-12-20,69
2023-12-21,64
2023-12-22,64
2023-12-23,69
2023-12-24,68
2023-12-25,86
2023-12-26,100
2023-12-27,92
2023-12-28,82
2023-12-29,86
2023-12-30,89
2023-12-31,82
2024-01-01,81
2024-01-02,65
2024-01-03,63
2024-01-04,57
2024-01-05,60
2024-01-06,73
2024-01-07,69
2024-01-08,52
2024-01-09,47
2024-01-10,45
2024-01-11,43
2024-01-12,46
2024-01-13,55
2024-01-14,51
2024-01-15,51
2024-01-16,48
2024-01-17,51
2024-01-18,45
2024-01-19,49
2024-01-20,67
