Time,batman
2023-04-26,49
2023-04-27,47
2023-04-28,45
2023-04-29,53
2023-04-30,58
2023-05-01,40
2023-05-02,42
2023-05-03,41
2023-05-04,43
2023-05-05,42
2023-05-06,48
2023-05-07,56
2023-05-08,45
2023-05-09,43
2023-05-10,43
2023-05-11,43
2023-05-12,43
2023-05-13,45
2023-05-14,53
2023-05-15,43
2023-05-16,44
2023-05-17,42
2023-05-18,42
2023-05-19,41
2023-05-20,52
2023-05-21,51
2023-05-22,43
2023-05-23,38
2023-05-24,45
2023-05-25,46
2023-05-26,44
2023-05-27,56
2023-05-28,57
2023-05-29,51
2023-05-30,48
2023-05-31,42
2023-06-01,46
2023-06-02,45
2023-06-03,52
2023-06-04,63
2023-06-05,45
2023-06-06,50
2023-06-07,46
2023-06-08,43
2023-06-09,46
2023-06-10,53
2023-06-11,57
2023-06-12,48
2023-06-13,48
2023-06-14,49
2023-06-15,52
2023-06-16,70
2023-06-17,82
2023-06-18,90
2023-06-19,70
2023-06-20,58
2023-06-21,58
2023-06-22,50
2023-06-23,51
2023-06-24,66
2023-06-25,72
2023-06-26,54
2023-06-27,53
2023-06-28,50
2023-06-29,48
2023-06-30,51
2023-07-01,55
2023-07-02,61
2023-07-03,51
2023-07-04,58
2023-07-05,49
2023-07-06,49
2023-07-07,49
2023-07-08,60
2023-07-09,58
2023-07-10,50
2023-07-11,47
2023-07-12,44
2023-07-13,49
2023-07-14,48
2023-07-15,55
2023-07-16,57
2023-07-17,48
2023-07-18,52
2023-07-19,51
2023-07-20,51
2023-07-21,50
2023-07-22,65
2023-07-23,65
2023-07-24,54
2023-07-25,48
2023-07-26,52
2023-07-27,51
2023-07-28,50
2023-07-29,59
2023-07-30,58
2023-07-31,50
2023-08-01,47
2023-08-02,46
2023-08-03,46
2023-08-04,48
2023-08-05,55
2023-08-06,54
2023-08-07,46
2023-08-08,44
2023-08-09,41
2023-08-10,44
2023-08-11,47
2023-08-12,51
2023-08-13,56
2023-08-14,47
2023-08-15,43
2023-08-16,43
2023-08-17,41
2023-08-18,43
2023-08-19,52
2023-08-20,51
2023-08-21,44
2023-08-22,43
2023-08-23,41
2023-08-24,38
2023-08-25,42
2023-08-26,54
2023-08-27,69
2023-08-28,45
2023-08-29,42
2023-08-30,43
2023-08-31,46
2023-09-01,45
2023-09-02,60
2023-09-03,77
2023-09-04,100
2023-09-05,60
2023-09-06,48
2023-09-07,55
2023-09-08,47
2023-09-09,60
2023-09-10,71
2023-09-11,51
2023-09-12,46
2023-09-13,47
2023-09-14,45
2023-09-15,50
2023-09-16,92
2023-09-17,84
2023-09-18,53
2023-09-19,47
2023-09-20,47
2023-09-21,45
2023-09-22,45
2023-09-23,58
2023-09-24,65
2023-09-25,48
2023-09-26,48
2023-09-27,47
2023-09-28,48
2023-09-29,46
2023-09-30,54
2023-10-01,56
2023-10-02,41
2023-10-03,46
2023-10-04,44
2023-10-05,45
2023-10-06,43
2023-10-07,56
2023-10-08,55
2023-10-09,46
2023-10-10,44
2023-10-11,44
2023-10-12,45
2023-10-13,44
2023-10-14,52
2023-10-15,56
2023-10-16,47
2023-10-17,43
2023-10-18,46
2023-10-19,46
2023-10-20,47
2023-10-21,59
2023-10-22,57
2023-10-23,49
2023-10-24,47
2023-10-25,46
2023-10-26,54
2023-10-27,55
2023-10-28,72
2023-10-29,75
2023-10-30,67
2023-10-31,79
2023-11-01,51
2023-11-02,44
2023-11-03,43
2023-11-04,47
2023-11-05,46
2023-11-06,43
2023-11-07,41
2023-11-08,40
2023-11-09,42
2023-11-10,48
2023-11-11,53
2023-11-12,52
2023-11-13,39
2023-11-14,38
2023-11-15,42
2023-11-16,39
2023-11-17,42
2023-11-18,48
2023-11-19,50
2023-11-20,39
2023-11-21,41
2023-11-22,44
2023-11-23,48
2023-11-24,45
2023-11-25,49
2023-11-26,50
2023-11-27,40
2023-11-28,43
2023-11-29,43
2023-11-30,44
2023-12-01,49
2023-12-02,58
2023-12-03,59
2023-12-04,47
2023-12-05,50
2023-12-06,46
2023-12-07,46
2023-12-08,53
2023-12-09,69
2023-12-10,71
2023-12-11,52
2023-12-12,48
2023-12-13,51
2023-12-14,47
2023-12-15,54
2023-12-16,61
2023-12-17,64
2023-12-18,55
2023-12-19,52
2023-12-20,56
2023-12-21,53
2023-12-22,58
2023-12-23,64
2023-12-24,66
2023-12-25,69
2023-12-26,62
2023-12-27,57
2023-12-28,60
2023-12-29,57
2023-12-30,68
2023-12-31,66
2024-01-01,65
2024-01-02,53
2024-01-03,54
2024-01-04,55
2024-01-05,53
2024-01-06,62
2024-01-07,61
2024-01-08,46
2024-01-09,45
2024-01-10,41
2024-01-11,47
2024-01-12,46
2024-01-13,54
2024-01-14,61
2024-01-15,52
2024-01-16,47
2024-01-17,48
2024-01-18,44
2024-01-19,43
2024-01-20,57
