Time,canva
2022-08-29,68
2022-08-30,73
2022-08-31,78
2022-09-01,70
2022-09-02,57
2022-09-03,28
2022-09-04,29
2022-09-05,37
2022-09-06,72
2022-09-07,75
2022-09-08,69
2022-09-09,65
2022-09-10,30
2022-09-11,33
2022-09-12,70
2022-09-13,68
2022-09-14,74
2022-09-15,77
2022-09-16,63
2022-09-17,30
2022-09-18,31
2022-09-19,71
2022-09-20,76
2022-09-21,73
2022-09-22,72
2022-09-23,63
2022-09-24,28
2022-09-25,35
2022-09-26,66
2022-09-27,72
2022-09-28,70
2022-09-29,71
2022-09-30,65
2022-10-01,29
2022-10-02,32
2022-10-03,71
2022-10-04,74
2022-10-05,74
2022-10-06,71
2022-10-07,63
2022-10-08,32
2022-10-09,30
2022-10-10,61
2022-10-11,72
2022-10-12,69
2022-10-13,75
2022-10-14,60
2022-10-15,30
2022-10-16,33
2022-10-17,66
2022-10-18,72
2022-10-19,74
2022-10-20,70
2022-10-21,61
2022-10-22,29
2022-10-23,35
2022-10-24,70
2022-10-25,80
2022-10-26,75
2022-10-27,73
2022-10-28,61
2022-10-29,28
2022-10-30,36
2022-10-31,68
2022-11-01,68
2022-11-02,75
2022-11-03,74
2022-11-04,65
2022-11-05,31
2022-11-06,30
2022-11-07,70
2022-11-08,67
2022-11-09,73
2022-11-10,69
2022-11-11,57
2022-11-12,31
2022-11-13,34
2022-11-14,73
2022-11-15,77
2022-11-16,79
2022-11-17,81
2022-11-18,67
2022-11-19,33
2022-11-20,32
2022-11-21,57
2022-11-22,57
2022-11-23,40
2022-11-24,25
2022-11-25,26
2022-11-26,27
2022-11-27,33
2022-11-28,70
2022-11-29,78
2022-11-30,86
2022-12-01,81
2022-12-02,76
2022-12-03,32
2022-12-04,36
2022-12-05,81
2022-12-06,81
2022-12-07,82
2022-12-08,79
2022-12-09,68
2022-12-10,33
2022-12-11,35
2022-12-12,74
2022-12-13,72
2022-12-14,72
2022-12-15,68
2022-12-16,56
2022-12-17,29
2022-12-18,27
2022-12-19,54
2022-12-20,50
2022-12-21,46
2022-12-22,39
2022-12-23,33
2022-12-24,26
2022-12-25,23
2022-12-26,24
2022-12-27,33
2022-12-28,35
2022-12-29,35
2022-12-30,34
2022-12-31,29
2023-01-01,29
2023-01-02,39
2023-01-03,56
2023-01-04,66
2023-01-05,69
2023-01-06,66
2023-01-07,34
2023-01-08,34
2023-01-09,71
2023-01-10,79
2023-01-11,81
2023-01-12,72
2023-01-13,74
2023-01-14,35
2023-01-15,33
2023-01-16,44
2023-01-17,78
2023-01-18,77
2023-01-19,76
2023-01-20,72
2023-01-21,36
2023-01-22,36
2023-01-23,76
2023-01-24,84
2023-01-25,83
2023-01-26,83
2023-01-27,76
2023-01-28,41
2023-01-29,34
2023-01-30,75
2023-01-31,85
2023-02-01,85
2023-02-02,81
2023-02-03,78
2023-02-04,41
2023-02-05,37
2023-02-06,82
2023-02-07,90
2023-02-08,89
2023-02-09,86
2023-02-10,80
2023-02-11,38
2023-02-12,37
2023-02-13,79
2023-02-14,89
2023-02-15,87
2023-02-16,87
2023-02-17,71
2023-02-18,34
2023-02-19,35
2023-02-20,53
2023-02-21,80
2023-02-22,79
2023-02-23,76
2023-02-24,79
2023-02-25,37
2023-02-26,37
2023-02-27,81
2023-02-28,86
2023-03-01,88
2023-03-02,89
2023-03-03,76
2023-03-04,36
2023-03-05,39
2023-03-06,80
2023-03-07,82
2023-03-08,88
2023-03-09,86
2023-03-10,73
2023-03-11,34
2023-03-12,33
2023-03-13,68
2023-03-14,75
2023-03-15,75
2023-03-16,75
2023-03-17,65
2023-03-18,31
2023-03-19,37
2023-03-20,74
2023-03-21,83
2023-03-22,81
2023-03-23,85
2023-03-24,75
2023-03-25,33
2023-03-26,35
2023-03-27,80
2023-03-28,85
2023-03-29,83
2023-03-30,84
2023-03-31,69
2023-04-01,34
2023-04-02,35
2023-04-03,75
2023-04-04,78
2023-04-05,76
2023-04-06,74
2023-04-07,47
2023-04-08,33
2023-04-09,33
2023-04-10,70
2023-04-11,83
2023-04-12,82
2023-04-13,83
2023-04-14,77
2023-04-15,36
2023-04-16,37
2023-04-17,82
2023-04-18,90
2023-04-19,92
2023-04-20,90
2023-04-21,79
2023-04-22,37
2023-04-23,42
2023-04-24,91
2023-04-25,95
2023-04-26,93
2023-04-27,93
2023-04-28,76
2023-04-29,39
2023-04-30,42
2023-05-01,96
2023-05-02,96
2023-05-03,98
2023-05-04,97
2023-05-05,80
2023-05-06,38
2023-05-07,38
2023-05-08,92
2023-05-09,99
2023-05-10,98
2023-05-11,95
2023-05-12,89
2023-05-13,41
2023-05-14,38
2023-05-15,94
2023-05-16,100
2023-05-17,96
2023-05-18,92
2023-05-19,85
2023-05-20,34
2023-05-21,36
2023-05-22,85
2023-05-23,94
2023-05-24,85
2023-05-25,81
