Time,canva
2023-12-22,30
2023-12-23,23
2023-12-24,23
2023-12-25,22
2023-12-26,22
2023-12-27,26
2023-12-28,29
2023-12-29,29
2023-12-30,23
2023-12-31,26
2024-01-01,24
2024-01-02,44
2024-01-03,54
2024-01-04,57
2024-01-05,51
2024-01-06,27
2024-01-07,29
2024-01-08,59
2024-01-09,61
2024-01-10,69
2024-01-11,69
2024-01-12,60
2024-01-13,26
2024-01-14,26
2024-01-15,38
2024-01-16,56
2024-01-17,69
2024-01-18,70
2024-01-19,61
2024-01-20,29
2024-01-21,28
2024-01-22,64
2024-01-23,71
2024-01-24,73
2024-01-25,71
2024-01-26,67
2024-01-27,29
2024-01-28,32
2024-01-29,72
2024-01-30,76
2024-01-31,79
2024-02-01,78
2024-02-02,69
2024-02-03,30
2024-02-04,29
2024-02-05,70
2024-02-06,77
2024-02-07,78
2024-02-08,76
2024-02-09,68
2024-02-10,30
2024-02-11,32
2024-02-12,66
2024-02-13,75
2024-02-14,75
2024-02-15,73
2024-02-16,63
2024-02-17,27
2024-02-18,29
2024-02-19,48
2024-02-20,70
2024-02-21,74
2024-02-22,72
2024-02-23,66
2024-02-24,29
2024-02-25,31
2024-02-26,74
2024-02-27,77
2024-02-28,78
2024-02-29,77
2024-03-01,71
2024-03-02,31
2024-03-03,31
2024-03-04,72
2024-03-05,74
2024-03-06,77
2024-03-07,78
2024-03-08,64
2024-03-09,30
2024-03-10,30
2024-03-11,63
2024-03-12,70
2024-03-13,73
2024-03-14,66
2024-03-15,58
2024-03-16,26
2024-03-17,29
2024-03-18,69
2024-03-19,74
2024-03-20,76
2024-03-21,72
2024-03-22,63
2024-03-23,28
2024-03-24,31
2024-03-25,67
2024-03-26,70
2024-03-27,73
2024-03-28,69
2024-03-29,44
2024-03-30,25
2024-03-31,25
2024-04-01,59
2024-04-02,69
2024-04-03,70
2024-04-04,69
2024-04-05,61
2024-04-06,27
2024-04-07,32
2024-04-08,62
2024-04-09,80
2024-04-10,78
2024-04-11,75
2024-04-12,72
2024-04-13,29
2024-04-14,32
2024-04-15,78
2024-04-16,81
2024-04-17,82
2024-04-18,84
2024-04-19,72
2024-04-20,31
2024-04-21,35
2024-04-22,83
2024-04-23,90
2024-04-24,88
2024-04-25,89
2024-04-26,74
2024-04-27,31
2024-04-28,35
2024-04-29,84
2024-04-30,91
2024-05-01,85
2024-05-02,94
2024-05-03,81
2024-05-04,31
2024-05-05,32
2024-05-06,85
2024-05-07,91
2024-05-08,91
2024-05-09,91
2024-05-10,80
2024-05-11,30
2024-05-12,32
2024-05-13,84
2024-05-14,90
2024-05-15,84
2024-05-16,84
2024-05-17,75
2024-05-18,30
2024-05-19,33
2024-05-20,79
2024-05-21,79
2024-05-22,76
2024-05-23,75
2024-05-24,64
2024-05-25,33
2024-05-26,26
2024-05-27,33
2024-05-28,71
2024-05-29,75
2024-05-30,69
2024-05-31,60
2024-06-01,30
2024-06-02,29
2024-06-03,62
2024-06-04,63
2024-06-05,61
2024-06-06,58
2024-06-07,47
2024-06-08,26
2024-06-09,28
2024-06-10,52
2024-06-11,54
2024-06-12,53
2024-06-13,52
2024-06-14,44
2024-06-15,28
2024-06-16,26
2024-06-17,47
2024-06-18,48
2024-06-19,43
2024-06-20,46
2024-06-21,41
2024-06-22,26
2024-06-23,25
2024-06-24,46
2024-06-25,47
2024-06-26,46
2024-06-27,44
2024-06-28,39
2024-06-29,25
2024-06-30,25
2024-07-01,44
2024-07-02,45
2024-07-03,42
2024-07-04,25
2024-07-05,27
2024-07-06,24
2024-07-07,25
2024-07-08,43
2024-07-09,47
2024-07-10,48
2024-07-11,46
2024-07-12,40
2024-07-13,26
2024-07-14,25
2024-07-15,42
2024-07-16,46
2024-07-17,49
2024-07-18,49
2024-07-19,41
2024-07-20,26
2024-07-21,25
2024-07-22,45
2024-07-23,49
2024-07-24,55
2024-07-25,52
2024-07-26,43
2024-07-27,26
2024-07-28,29
2024-07-29,50
2024-07-30,55
2024-07-31,57
2024-08-01,57
2024-08-02,48
2024-08-03,29
2024-08-04,31
2024-08-05,55
2024-08-06,62
2024-08-07,66
2024-08-08,65
2024-08-09,61
2024-08-10,29
2024-08-11,32
2024-08-12,66
2024-08-13,73
2024-08-14,77
2024-08-15,82
2024-08-16,75
2024-08-17,37
2024-08-18,35
2024-08-19,80
2024-08-20,88
2024-08-21,89
2024-08-22,89
2024-08-23,82
2024-08-24,35
2024-08-25,41
2024-08-26,91
2024-08-27,95
2024-08-28,99
2024-08-29,93
2024-08-30,80
2024-08-31,30
2024-09-01,30
2024-09-02,46
2024-09-03,91
2024-09-04,98
2024-09-05,100
2024-09-06,91
2024-09-07,35
2024-09-08,41
2024-09-09,94
2024-09-10,93
2024-09-11,96
2024-09-12,97
2024-09-13,89
2024-09-14,37
2024-09-15,38
2024-09-16,95
