Time,who is winning the election
2023-12-22,0
2023-12-23,4
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,0
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,5
2024-01-17,3
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,3
2024-01-22,0
2024-01-23,7
2024-01-24,5
2024-01-25,4
2024-01-26,4
2024-01-27,0
2024-01-28,0
2024-01-29,3
2024-01-30,6
2024-01-31,4
2024-02-01,3
2024-02-02,0
2024-02-03,0
2024-02-04,4
2024-02-05,4
2024-02-06,0
2024-02-07,3
2024-02-08,4
2024-02-09,4
2024-02-10,4
2024-02-11,3
2024-02-12,3
2024-02-13,3
2024-02-14,4
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,3
2024-02-21,4
2024-02-22,0
2024-02-23,0
2024-02-24,4
2024-02-25,4
2024-02-26,0
2024-02-27,4
2024-02-28,6
2024-02-29,4
2024-03-01,3
2024-03-02,0
2024-03-03,0
2024-03-04,4
2024-03-05,5
2024-03-06,19
2024-03-07,9
2024-03-08,6
2024-03-09,4
2024-03-10,0
2024-03-11,4
2024-03-12,0
2024-03-13,8
2024-03-14,4
2024-03-15,0
2024-03-16,0
2024-03-17,4
2024-03-18,0
2024-03-19,4
2024-03-20,6
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,4
2024-03-26,3
2024-03-27,0
2024-03-28,0
2024-03-29,0
2024-03-30,3
2024-03-31,0
2024-04-01,0
2024-04-02,0
2024-04-03,3
2024-04-04,0
2024-04-05,0
2024-04-06,0
2024-04-07,0
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,4
2024-04-12,0
2024-04-13,0
2024-04-14,0
2024-04-15,0
2024-04-16,0
2024-04-17,0
2024-04-18,0
2024-04-19,0
2024-04-20,0
2024-04-21,3
2024-04-22,3
2024-04-23,0
2024-04-24,5
2024-04-25,4
2024-04-26,0
2024-04-27,0
2024-04-28,0
2024-04-29,3
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,3
2024-05-04,0
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,3
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,4
2024-05-15,3
2024-05-16,4
2024-05-17,0
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,0
2024-05-22,4
2024-05-23,0
2024-05-24,0
2024-05-25,0
2024-05-26,0
2024-05-27,0
2024-05-28,0
2024-05-29,0
2024-05-30,0
2024-05-31,0
2024-06-01,4
2024-06-02,4
2024-06-03,3
2024-06-04,6
2024-06-05,3
2024-06-06,0
2024-06-07,0
2024-06-08,0
2024-06-09,0
2024-06-10,0
2024-06-11,0
2024-06-12,0
2024-06-13,0
2024-06-14,0
2024-06-15,4
2024-06-16,0
2024-06-17,3
2024-06-18,0
2024-06-19,0
2024-06-20,0
2024-06-21,0
2024-06-22,0
2024-06-23,3
2024-06-24,3
2024-06-25,0
2024-06-26,0
2024-06-27,0
2024-06-28,21
2024-06-29,8
2024-06-30,4
2024-07-01,0
2024-07-02,6
2024-07-03,5
2024-07-04,0
2024-07-05,0
2024-07-06,3
2024-07-07,4
2024-07-08,0
2024-07-09,3
2024-07-10,0
2024-07-11,0
2024-07-12,5
2024-07-13,0
2024-07-14,8
2024-07-15,7
2024-07-16,9
2024-07-17,5
2024-07-18,6
2024-07-19,4
2024-07-20,0
2024-07-21,7
2024-07-22,10
2024-07-23,9
2024-07-24,14
2024-07-25,13
2024-07-26,10
2024-07-27,8
2024-07-28,12
2024-07-29,11
2024-07-30,13
2024-07-31,12
2024-08-01,12
2024-08-02,11
2024-08-03,8
2024-08-04,7
2024-08-05,6
2024-08-06,12
2024-08-07,11
2024-08-08,13
2024-08-09,12
2024-08-10,7
2024-08-11,13
2024-08-12,10
2024-08-13,9
2024-08-14,12
2024-08-15,8
2024-08-16,10
2024-08-17,10
2024-08-18,9
2024-08-19,11
2024-08-20,19
2024-08-21,19
2024-08-22,18
2024-08-23,22
2024-08-24,16
2024-08-25,15
2024-08-26,11
2024-08-27,14
2024-08-28,14
2024-08-29,14
2024-08-30,11
2024-08-31,9
2024-09-01,11
2024-09-02,13
2024-09-03,8
2024-09-04,11
2024-09-05,8
2024-09-06,9
2024-09-07,12
2024-09-08,11
2024-09-09,11
2024-09-10,14
2024-09-11,100
2024-09-12,40
2024-09-13,32
2024-09-14,27
2024-09-15,25
2024-09-16,22
