Time,menards
2022-08-29,43
2022-08-30,39
2022-08-31,39
2022-09-01,39
2022-09-02,41
2022-09-03,51
2022-09-04,61
2022-09-05,64
2022-09-06,39
2022-09-07,39
2022-09-08,37
2022-09-09,37
2022-09-10,48
2022-09-11,49
2022-09-12,39
2022-09-13,35
2022-09-14,39
2022-09-15,38
2022-09-16,40
2022-09-17,48
2022-09-18,49
2022-09-19,38
2022-09-20,39
2022-09-21,34
2022-09-22,34
2022-09-23,39
2022-09-24,45
2022-09-25,51
2022-09-26,41
2022-09-27,38
2022-09-28,36
2022-09-29,38
2022-09-30,36
2022-10-01,45
2022-10-02,50
2022-10-03,39
2022-10-04,37
2022-10-05,38
2022-10-06,37
2022-10-07,40
2022-10-08,50
2022-10-09,53
2022-10-10,42
2022-10-11,33
2022-10-12,37
2022-10-13,37
2022-10-14,39
2022-10-15,45
2022-10-16,49
2022-10-17,40
2022-10-18,39
2022-10-19,36
2022-10-20,35
2022-10-21,39
2022-10-22,50
2022-10-23,49
2022-10-24,37
2022-10-25,34
2022-10-26,35
2022-10-27,36
2022-10-28,34
2022-10-29,44
2022-10-30,46
2022-10-31,35
2022-11-01,35
2022-11-02,37
2022-11-03,33
2022-11-04,39
2022-11-05,51
2022-11-06,51
2022-11-07,38
2022-11-08,31
2022-11-09,30
2022-11-10,34
2022-11-11,38
2022-11-12,53
2022-11-13,55
2022-11-14,39
2022-11-15,37
2022-11-16,39
2022-11-17,38
2022-11-18,41
2022-11-19,56
2022-11-20,60
2022-11-21,48
2022-11-22,50
2022-11-23,57
2022-11-24,69
2022-11-25,100
2022-11-26,61
2022-11-27,63
2022-11-28,38
2022-11-29,35
2022-11-30,36
2022-12-01,32
2022-12-02,35
2022-12-03,46
2022-12-04,48
2022-12-05,33
2022-12-06,30
2022-12-07,29
2022-12-08,30
2022-12-09,31
2022-12-10,40
2022-12-11,43
2022-12-12,31
2022-12-13,26
2022-12-14,28
2022-12-15,28
2022-12-16,31
2022-12-17,39
2022-12-18,41
2022-12-19,36
2022-12-20,35
2022-12-21,39
2022-12-22,33
2022-12-23,35
2022-12-24,38
2022-12-25,28
2022-12-26,51
2022-12-27,41
2022-12-28,38
2022-12-29,37
2022-12-30,36
2022-12-31,42
2023-01-01,52
2023-01-02,47
2023-01-03,31
2023-01-04,31
2023-01-05,32
2023-01-06,32
2023-01-07,43
2023-01-08,43
2023-01-09,31
2023-01-10,28
2023-01-11,29
2023-01-12,29
2023-01-13,32
2023-01-14,42
2023-01-15,42
2023-01-16,36
2023-01-17,29
2023-01-18,28
2023-01-19,27
2023-01-20,31
2023-01-21,38
2023-01-22,40
2023-01-23,29
2023-01-24,29
2023-01-25,26
2023-01-26,27
2023-01-27,28
2023-01-28,35
2023-01-29,37
2023-01-30,28
2023-01-31,28
2023-02-01,27
2023-02-02,30
2023-02-03,30
2023-02-04,37
2023-02-05,44
2023-02-06,31
2023-02-07,29
2023-02-08,26
2023-02-09,27
2023-02-10,28
2023-02-11,38
2023-02-12,36
2023-02-13,27
2023-02-14,27
2023-02-15,28
2023-02-16,28
2023-02-17,31
2023-02-18,47
2023-02-19,51
2023-02-20,37
2023-02-21,31
2023-02-22,27
2023-02-23,31
2023-02-24,31
2023-02-25,47
2023-02-26,46
2023-02-27,30
2023-02-28,30
2023-03-01,29
2023-03-02,32
2023-03-03,30
2023-03-04,47
2023-03-05,48
2023-03-06,31
2023-03-07,30
2023-03-08,31
2023-03-09,30
2023-03-10,31
2023-03-11,41
2023-03-12,42
2023-03-13,31
2023-03-14,31
2023-03-15,30
2023-03-16,27
2023-03-17,31
2023-03-18,43
2023-03-19,47
2023-03-20,32
2023-03-21,32
2023-03-22,32
2023-03-23,32
2023-03-24,32
2023-03-25,46
2023-03-26,54
2023-03-27,36
2023-03-28,34
2023-03-29,33
2023-03-30,31
2023-03-31,32
2023-04-01,48
2023-04-02,55
2023-04-03,38
2023-04-04,34
2023-04-05,34
2023-04-06,37
2023-04-07,43
2023-04-08,57
2023-04-09,66
2023-04-10,49
2023-04-11,48
2023-04-12,49
2023-04-13,49
2023-04-14,51
2023-04-15,63
2023-04-16,60
2023-04-17,37
2023-04-18,38
2023-04-19,39
2023-04-20,40
2023-04-21,47
2023-04-22,65
2023-04-23,65
2023-04-24,44
2023-04-25,40
2023-04-26,41
2023-04-27,39
2023-04-28,43
2023-04-29,62
2023-04-30,64
2023-05-01,42
2023-05-02,40
2023-05-03,41
2023-05-04,43
2023-05-05,46
2023-05-06,62
2023-05-07,72
2023-05-08,51
2023-05-09,46
2023-05-10,48
2023-05-11,46
2023-05-12,50
2023-05-13,67
2023-05-14,65
2023-05-15,49
2023-05-16,48
2023-05-17,47
2023-05-18,43
2023-05-19,51
2023-05-20,66
2023-05-21,76
2023-05-22,52
2023-05-23,52
2023-05-24,49
2023-05-25,48
