Time,cvs
2025-12-11,45
2025-12-12,47
2025-12-13,47
2025-12-14,46
2025-12-15,55
2025-12-16,60
2025-12-17,57
2025-12-18,53
2025-12-19,53
2025-12-20,53
2025-12-21,56
2025-12-22,61
2025-12-23,68
2025-12-24,87
2025-12-25,100
2025-12-26,55
2025-12-27,47
2025-12-28,46
2025-12-29,52
2025-12-30,53
2025-12-31,62
2026-01-01,48
2026-01-02,51
2026-01-03,45
2026-01-04,45
2026-01-05,51
2026-01-06,51
2026-01-07,47
2026-01-08,48
2026-01-09,48
2026-01-10,43
2026-01-11,42
2026-01-12,46
2026-01-13,49
2026-01-14,42
2026-01-15,41
2026-01-16,44
2026-01-17,40
2026-01-18,38
2026-01-19,44
2026-01-20,43
2026-01-21,40
2026-01-22,46
2026-01-23,45
2026-01-24,41
2026-01-25,32
2026-01-26,37
2026-01-27,42
2026-01-28,42
2026-01-29,43
2026-01-30,42
2026-01-31,41
2026-02-01,40
2026-02-02,42
2026-02-03,41
2026-02-04,43
2026-02-05,40
2026-02-06,42
2026-02-07,38
2026-02-08,37
2026-02-09,38
2026-02-10,43
2026-02-11,44
2026-02-12,45
2026-02-13,46
2026-02-14,43
2026-02-15,38
2026-02-16,43
2026-02-17,40
2026-02-18,41
2026-02-19,40
2026-02-20,40
2026-02-21,40
2026-02-22,40
2026-02-23,38
2026-02-24,42
2026-02-25,43
2026-02-26,41
2026-02-27,41
2026-02-28,41
2026-03-01,42
2026-03-02,42
2026-03-03,43
2026-03-04,43
2026-03-05,42
2026-03-06,43
2026-03-07,42
2026-03-08,43
2026-03-09,42
2026-03-10,43
2026-03-11,45
2026-03-12,43
2026-03-13,42
2026-03-14,45
2026-03-15,43
2026-03-16,43
2026-03-17,42
2026-03-18,43
2026-03-19,42
2026-03-20,42
2026-03-21,42
2026-03-22,44
2026-03-23,44
2026-03-24,46
2026-03-25,45
2026-03-26,43
2026-03-27,44
2026-03-28,41
2026-03-29,47
2026-03-30,46
2026-03-31,47
2026-04-01,48
2026-04-02,49
2026-04-03,51
2026-04-04,50
2026-04-05,56
2026-04-06,52
2026-04-07,51
2026-04-08,51
2026-04-09,52
2026-04-10,51
2026-04-11,49
2026-04-12,52
2026-04-13,48
2026-04-14,50
2026-04-15,50
2026-04-16,48
2026-04-17,49
2026-04-18,49
2026-04-19,48
2026-04-20,48
2026-04-21,47
2026-04-22,48
2026-04-23,46
2026-04-24,44
2026-04-25,43
2026-04-26,44
2026-04-27,46
2026-04-28,46
2026-04-29,44
2026-04-30,45
2026-05-01,43
2026-05-02,42
2026-05-03,44
2026-05-04,46
2026-05-05,44
2026-05-06,50
2026-05-07,48
2026-05-08,49
2026-05-09,50
2026-05-10,47
2026-05-11,45
2026-05-12,47
2026-05-13,50
2026-05-14,48
2026-05-15,50
2026-05-16,51
2026-05-17,49
2026-05-18,52
2026-05-19,51
2026-05-20,49
2026-05-21,48
2026-05-22,48
2026-05-23,44
2026-05-24,46
2026-05-25,47
2026-05-26,48
2026-05-27,46
2026-05-28,48
2026-05-29,49
2026-05-30,45
2026-05-31,44
