Time,scream 6
2022-01-01,0
2022-01-02,0
2022-01-03,0
2022-01-04,14
2022-01-05,0
2022-01-06,0
2022-01-07,8
2022-01-08,17
2022-01-09,0
2022-01-10,0
2022-01-11,9
2022-01-12,12
2022-01-13,10
2022-01-14,33
2022-01-15,66
2022-01-16,56
2022-01-17,36
2022-01-18,30
2022-01-19,22
2022-01-20,22
2022-01-21,26
2022-01-22,23
2022-01-23,34
2022-01-24,26
2022-01-25,13
2022-01-26,8
2022-01-27,14
2022-01-28,25
2022-01-29,17
2022-01-30,24
2022-01-31,0
2022-02-01,10
2022-02-02,10
2022-02-03,49
2022-02-04,79
2022-02-05,51
2022-02-06,40
2022-02-07,29
2022-02-08,19
2022-02-09,22
2022-02-10,0
2022-02-11,15
2022-02-12,18
2022-02-13,15
2022-02-14,10
2022-02-15,7
2022-02-16,0
2022-02-17,21
2022-02-18,18
2022-02-19,23
2022-02-20,17
2022-02-21,19
2022-02-22,14
2022-02-23,13
2022-02-24,14
2022-02-25,10
2022-02-26,10
2022-02-27,19
2022-02-28,12
2022-03-01,14
2022-03-02,21
2022-03-03,11
2022-03-04,10
2022-03-05,24
2022-03-06,26
2022-03-07,21
2022-03-08,11
2022-03-09,24
2022-03-10,20
2022-03-11,20
2022-03-12,30
2022-03-13,31
2022-03-14,26
2022-03-15,18
2022-03-16,21
2022-03-17,28
2022-03-18,44
2022-03-19,61
2022-03-20,51
2022-03-21,32
2022-03-22,24
2022-03-23,16
2022-03-24,14
2022-03-25,14
2022-03-26,28
2022-03-27,31
2022-03-28,17
2022-03-29,13
2022-03-30,14
2022-03-31,14
2022-04-01,21
2022-04-02,23
2022-04-03,13
2022-04-04,11
2022-04-05,12
2022-04-06,17
2022-04-07,17
2022-04-08,17
2022-04-09,24
2022-04-10,21
2022-04-11,13
2022-04-12,11
2022-04-13,10
2022-04-14,18
2022-04-15,11
2022-04-16,21
2022-04-17,18
2022-04-18,12
2022-04-19,15
2022-04-20,11
2022-04-21,14
2022-04-22,11
2022-04-23,11
2022-04-24,20
2022-04-25,15
2022-04-26,8
2022-04-27,8
2022-04-28,11
2022-04-29,11
2022-04-30,17
2022-05-01,9
2022-05-02,14
2022-05-03,14
2022-05-04,12
2022-05-05,8
2022-05-06,12
2022-05-07,18
2022-05-08,13
2022-05-09,15
2022-05-10,23
2022-05-11,39
2022-05-12,71
2022-05-13,35
2022-05-14,39
2022-05-15,41
2022-05-16,29
2022-05-17,20
2022-05-18,16
2022-05-19,18
2022-05-20,17
2022-05-21,14
2022-05-22,10
2022-05-23,12
2022-05-24,12
2022-05-25,15
2022-05-26,19
2022-05-27,13
2022-05-28,19
2022-05-29,14
2022-05-30,21
2022-05-31,19
2022-06-01,14
2022-06-02,14
2022-06-03,15
2022-06-04,24
2022-06-05,32
2022-06-06,72
2022-06-07,100
2022-06-08,90
2022-06-09,41
2022-06-10,35
2022-06-11,32
2022-06-12,53
2022-06-13,46
2022-06-14,51
2022-06-15,35
2022-06-16,28
2022-06-17,35
2022-06-18,38
2022-06-19,31
2022-06-20,32
2022-06-21,24
2022-06-22,29
2022-06-23,29
2022-06-24,23
2022-06-25,19
2022-06-26,28
2022-06-27,29
2022-06-28,30
2022-06-29,20
2022-06-30,30
2022-07-01,23
2022-07-02,22
2022-07-03,23
2022-07-04,22
2022-07-05,30
2022-07-06,26
2022-07-07,30
2022-07-08,16
2022-07-09,29
2022-07-10,21
2022-07-11,22
2022-07-12,18
2022-07-13,32
2022-07-14,48
2022-07-15,45
2022-07-16,38
2022-07-17,48
2022-07-18,37
2022-07-19,28
2022-07-20,26
2022-07-21,26
2022-07-22,18
2022-07-23,33
2022-07-24,30
2022-07-25,30
2022-07-26,28
2022-07-27,18
2022-07-28,33
2022-07-29,33
2022-07-30,17
2022-07-31,28
2022-08-01,24
2022-08-02,16
2022-08-03,20
2022-08-04,22
2022-08-05,17
2022-08-06,20
2022-08-07,25
2022-08-08,18
2022-08-09,34
2022-08-10,28
2022-08-11,28
2022-08-12,23
2022-08-13,20
2022-08-14,28
2022-08-15,25
2022-08-16,21
2022-08-17,22
2022-08-18,23
2022-08-19,21
2022-08-20,22
2022-08-21,23
2022-08-22,12
2022-08-23,16
2022-08-24,22
2022-08-25,13
2022-08-26,13
2022-08-27,29
2022-08-28,21
2022-08-29,21
2022-08-30,21
2022-08-31,22
2022-09-01,26
2022-09-02,38
2022-09-03,26
2022-09-04,29
2022-09-05,34
2022-09-06,27
2022-09-07,25
2022-09-08,20
2022-09-09,26
2022-09-10,29
2022-09-11,21
2022-09-12,18
2022-09-13,16
2022-09-14,15
2022-09-15,20
2022-09-16,18
2022-09-17,32
2022-09-18,27
2022-09-19,16
2022-09-20,21
2022-09-21,16
2022-09-22,17
2022-09-23,31
2022-09-24,24
2022-09-25,27
2022-09-26,24
2022-09-27,26
