Time,last of us
2022-01-01,25
2022-01-02,28
2022-01-03,23
2022-01-04,26
2022-01-05,25
2022-01-06,21
2022-01-07,24
2022-01-08,29
2022-01-09,27
2022-01-10,22
2022-01-11,22
2022-01-12,23
2022-01-13,26
2022-01-14,21
2022-01-15,31
2022-01-16,24
2022-01-17,21
2022-01-18,21
2022-01-19,20
2022-01-20,21
2022-01-21,20
2022-01-22,23
2022-01-23,24
2022-01-24,26
2022-01-25,18
2022-01-26,19
2022-01-27,19
2022-01-28,21
2022-01-29,25
2022-01-30,24
2022-01-31,21
2022-02-01,20
2022-02-02,20
2022-02-03,19
2022-02-04,21
2022-02-05,24
2022-02-06,23
2022-02-07,21
2022-02-08,20
2022-02-09,19
2022-02-10,15
2022-02-11,21
2022-02-12,25
2022-02-13,22
2022-02-14,18
2022-02-15,19
2022-02-16,19
2022-02-17,21
2022-02-18,22
2022-02-19,24
2022-02-20,23
2022-02-21,21
2022-02-22,20
2022-02-23,20
2022-02-24,22
2022-02-25,18
2022-02-26,20
2022-02-27,21
2022-02-28,19
2022-03-01,17
2022-03-02,16
2022-03-03,18
2022-03-04,19
2022-03-05,20
2022-03-06,21
2022-03-07,20
2022-03-08,18
2022-03-09,20
2022-03-10,19
2022-03-11,17
2022-03-12,19
2022-03-13,22
2022-03-14,20
2022-03-15,17
2022-03-16,18
2022-03-17,18
2022-03-18,16
2022-03-19,18
2022-03-20,20
2022-03-21,17
2022-03-22,17
2022-03-23,19
2022-03-24,21
2022-03-25,18
2022-03-26,19
2022-03-27,20
2022-03-28,19
2022-03-29,19
2022-03-30,19
2022-03-31,18
2022-04-01,19
2022-04-02,18
2022-04-03,21
2022-04-04,20
2022-04-05,18
2022-04-06,20
2022-04-07,19
2022-04-08,20
2022-04-09,19
2022-04-10,20
2022-04-11,20
2022-04-12,20
2022-04-13,21
2022-04-14,20
2022-04-15,21
2022-04-16,20
2022-04-17,22
2022-04-18,23
2022-04-19,20
2022-04-20,23
2022-04-21,22
2022-04-22,19
2022-04-23,21
2022-04-24,21
2022-04-25,21
2022-04-26,22
2022-04-27,21
2022-04-28,19
2022-04-29,19
2022-04-30,20
2022-05-01,21
2022-05-02,20
2022-05-03,19
2022-05-04,21
2022-05-05,19
2022-05-06,21
2022-05-07,22
2022-05-08,22
2022-05-09,22
2022-05-10,21
2022-05-11,25
2022-05-12,23
2022-05-13,20
2022-05-14,21
2022-05-15,22
2022-05-16,20
2022-05-17,22
2022-05-18,32
2022-05-19,30
2022-05-20,24
2022-05-21,23
2022-05-22,25
2022-05-23,23
2022-05-24,22
2022-05-25,30
2022-05-26,24
2022-05-27,22
2022-05-28,20
2022-05-29,24
2022-05-30,24
2022-05-31,19
2022-06-01,18
2022-06-02,21
2022-06-03,20
2022-06-04,21
2022-06-05,21
2022-06-06,20
2022-06-07,20
2022-06-08,22
2022-06-09,84
2022-06-10,76
2022-06-11,48
2022-06-12,40
2022-06-13,31
2022-06-14,28
2022-06-15,33
2022-06-16,28
2022-06-17,29
2022-06-18,27
2022-06-19,28
2022-06-20,24
2022-06-21,24
2022-06-22,20
2022-06-23,23
2022-06-24,22
2022-06-25,24
2022-06-26,23
2022-06-27,21
2022-06-28,21
2022-06-29,20
2022-06-30,19
2022-07-01,17
2022-07-02,21
2022-07-03,20
2022-07-04,23
2022-07-05,20
2022-07-06,20
2022-07-07,20
2022-07-08,17
2022-07-09,21
2022-07-10,25
2022-07-11,23
2022-07-12,20
2022-07-13,21
2022-07-14,20
2022-07-15,20
2022-07-16,23
2022-07-17,24
2022-07-18,21
2022-07-19,19
2022-07-20,21
2022-07-21,23
2022-07-22,30
2022-07-23,26
2022-07-24,26
2022-07-25,22
2022-07-26,22
2022-07-27,19
2022-07-28,18
2022-07-29,20
2022-07-30,21
2022-07-31,23
2022-08-01,22
2022-08-02,19
2022-08-03,19
2022-08-04,19
2022-08-05,18
2022-08-06,22
2022-08-07,25
2022-08-08,21
2022-08-09,19
2022-08-10,18
2022-08-11,20
2022-08-12,20
2022-08-13,21
2022-08-14,22
2022-08-15,19
2022-08-16,19
2022-08-17,21
2022-08-18,19
2022-08-19,19
2022-08-20,23
2022-08-21,26
2022-08-22,89
2022-08-23,57
2022-08-24,35
2022-08-25,41
2022-08-26,35
2022-08-27,38
2022-08-28,36
2022-08-29,31
2022-08-30,32
2022-08-31,56
2022-09-01,56
2022-09-02,74
2022-09-03,79
2022-09-04,78
2022-09-05,72
2022-09-06,52
2022-09-07,43
2022-09-08,39
2022-09-09,38
2022-09-10,46
2022-09-11,48
2022-09-12,39
2022-09-13,34
2022-09-14,31
2022-09-15,30
2022-09-16,29
2022-09-17,35
2022-09-18,37
2022-09-19,28
2022-09-20,26
2022-09-21,29
2022-09-22,24
2022-09-23,24
2022-09-24,31
2022-09-25,32
2022-09-26,100
2022-09-27,93
