Time,last of us
2023-04-26,60
2023-04-27,58
2023-04-28,56
2023-04-29,78
2023-04-30,83
2023-05-01,66
2023-05-02,60
2023-05-03,55
2023-05-04,53
2023-05-05,53
2023-05-06,65
2023-05-07,68
2023-05-08,68
2023-05-09,53
2023-05-10,49
2023-05-11,50
2023-05-12,52
2023-05-13,58
2023-05-14,62
2023-05-15,53
2023-05-16,49
2023-05-17,45
2023-05-18,44
2023-05-19,46
2023-05-20,56
2023-05-21,68
2023-05-22,51
2023-05-23,45
2023-05-24,49
2023-05-25,44
2023-05-26,48
2023-05-27,57
2023-05-28,60
2023-05-29,69
2023-05-30,51
2023-05-31,45
2023-06-01,42
2023-06-02,40
2023-06-03,50
2023-06-04,54
2023-06-05,50
2023-06-06,40
2023-06-07,40
2023-06-08,39
2023-06-09,39
2023-06-10,44
2023-06-11,50
2023-06-12,43
2023-06-13,39
2023-06-14,43
2023-06-15,50
2023-06-16,43
2023-06-17,49
2023-06-18,52
2023-06-19,48
2023-06-20,44
2023-06-21,39
2023-06-22,36
2023-06-23,41
2023-06-24,45
2023-06-25,52
2023-06-26,41
2023-06-27,39
2023-06-28,41
2023-06-29,43
2023-06-30,38
2023-07-01,37
2023-07-02,44
2023-07-03,42
2023-07-04,50
2023-07-05,40
2023-07-06,38
2023-07-07,38
2023-07-08,43
2023-07-09,44
2023-07-10,40
2023-07-11,37
2023-07-12,52
2023-07-13,55
2023-07-14,48
2023-07-15,51
2023-07-16,54
2023-07-17,47
2023-07-18,41
2023-07-19,38
2023-07-20,36
2023-07-21,37
2023-07-22,40
2023-07-23,50
2023-07-24,39
2023-07-25,36
2023-07-26,33
2023-07-27,34
2023-07-28,34
2023-07-29,40
2023-07-30,39
2023-07-31,33
2023-08-01,32
2023-08-02,33
2023-08-03,32
2023-08-04,32
2023-08-05,38
2023-08-06,39
2023-08-07,33
2023-08-08,32
2023-08-09,31
2023-08-10,33
2023-08-11,33
2023-08-12,35
2023-08-13,42
2023-08-14,35
2023-08-15,32
2023-08-16,32
2023-08-17,30
2023-08-18,32
2023-08-19,37
2023-08-20,39
2023-08-21,37
2023-08-22,32
2023-08-23,30
2023-08-24,30
2023-08-25,30
2023-08-26,34
2023-08-27,49
2023-08-28,33
2023-08-29,38
2023-08-30,39
2023-08-31,33
2023-09-01,33
2023-09-02,39
2023-09-03,42
2023-09-04,42
2023-09-05,35
2023-09-06,31
2023-09-07,33
2023-09-08,33
2023-09-09,38
2023-09-10,42
2023-09-11,34
2023-09-12,32
2023-09-13,29
2023-09-14,30
2023-09-15,30
2023-09-16,35
2023-09-17,40
2023-09-18,34
2023-09-19,34
2023-09-20,29
2023-09-21,32
2023-09-22,32
2023-09-23,35
2023-09-24,40
2023-09-25,36
2023-09-26,40
2023-09-27,39
2023-09-28,34
2023-09-29,33
2023-09-30,40
2023-10-01,40
2023-10-02,33
2023-10-03,31
2023-10-04,33
2023-10-05,30
2023-10-06,33
2023-10-07,35
2023-10-08,38
2023-10-09,33
2023-10-10,31
2023-10-11,32
2023-10-12,30
2023-10-13,32
2023-10-14,33
2023-10-15,39
2023-10-16,33
2023-10-17,31
2023-10-18,31
2023-10-19,31
2023-10-20,31
2023-10-21,32
2023-10-22,40
2023-10-23,34
2023-10-24,32
2023-10-25,31
2023-10-26,32
2023-10-27,31
2023-10-28,36
2023-10-29,34
2023-10-30,32
2023-10-31,33
2023-11-01,32
2023-11-02,31
2023-11-03,27
2023-11-04,31
2023-11-05,32
2023-11-06,30
2023-11-07,27
2023-11-08,28
2023-11-09,29
2023-11-10,28
2023-11-11,28
2023-11-12,31
2023-11-13,31
2023-11-14,28
2023-11-15,31
2023-11-16,33
2023-11-17,33
2023-11-18,72
2023-11-19,53
2023-11-20,41
2023-11-21,37
2023-11-22,36
2023-11-23,43
2023-11-24,46
2023-11-25,44
2023-11-26,47
2023-11-27,37
2023-11-28,36
2023-11-29,33
2023-11-30,34
2023-12-01,32
2023-12-02,37
2023-12-03,40
2023-12-04,38
2023-12-05,45
2023-12-06,41
2023-12-07,39
2023-12-08,43
2023-12-09,44
2023-12-10,47
2023-12-11,42
2023-12-12,41
2023-12-13,36
2023-12-14,37
2023-12-15,47
2023-12-16,43
2023-12-17,43
2023-12-18,37
2023-12-19,35
2023-12-20,37
2023-12-21,38
2023-12-22,36
2023-12-23,39
2023-12-24,43
2023-12-25,47
2023-12-26,50
2023-12-27,51
2023-12-28,50
2023-12-29,51
2023-12-30,50
2023-12-31,53
2024-01-01,58
2024-01-02,51
2024-01-03,46
2024-01-04,48
2024-01-05,45
2024-01-06,55
2024-01-07,73
2024-01-08,73
2024-01-09,74
2024-01-10,93
2024-01-11,75
2024-01-12,67
2024-01-13,65
2024-01-14,67
2024-01-15,64
2024-01-16,82
2024-01-17,73
2024-01-18,69
2024-01-19,93
2024-01-20,100
