Time,last of us
2025-12-11,52
2025-12-12,65
2025-12-13,55
2025-12-14,57
2025-12-15,53
2025-12-16,53
2025-12-17,58
2025-12-18,59
2025-12-19,52
2025-12-20,57
2025-12-21,59
2025-12-22,55
2025-12-23,51
2025-12-24,52
2025-12-25,60
2025-12-26,63
2025-12-27,67
2025-12-28,72
2025-12-29,70
2025-12-30,72
2025-12-31,70
2026-01-01,61
2026-01-02,64
2026-01-03,86
2026-01-04,77
2026-01-05,65
2026-01-06,61
2026-01-07,62
2026-01-08,58
2026-01-09,59
2026-01-10,57
2026-01-11,63
2026-01-12,60
2026-01-13,60
2026-01-14,59
2026-01-15,61
2026-01-16,54
2026-01-17,61
2026-01-18,68
2026-01-19,62
2026-01-20,62
2026-01-21,64
2026-01-22,63
2026-01-23,57
2026-01-24,64
2026-01-25,76
2026-01-26,71
2026-01-27,66
2026-01-28,67
2026-01-29,67
2026-01-30,90
2026-01-31,100
2026-02-01,100
2026-02-02,82
2026-02-03,79
2026-02-04,74
2026-02-05,73
2026-02-06,68
2026-02-07,77
2026-02-08,72
2026-02-09,71
2026-02-10,66
2026-02-11,61
2026-02-12,59
2026-02-13,59
2026-02-14,56
2026-02-15,69
2026-02-16,72
2026-02-17,64
2026-02-18,59
2026-02-19,58
2026-02-20,56
2026-02-21,65
2026-02-22,71
2026-02-23,65
2026-02-24,60
2026-02-25,60
2026-02-26,60
2026-02-27,65
2026-02-28,68
2026-03-01,73
2026-03-02,87
2026-03-03,85
2026-03-04,74
2026-03-05,73
2026-03-06,67
2026-03-07,66
2026-03-08,74
2026-03-09,67
2026-03-10,64
2026-03-11,62
2026-03-12,62
2026-03-13,56
2026-03-14,62
2026-03-15,68
2026-03-16,65
2026-03-17,63
2026-03-18,63
2026-03-19,68
2026-03-20,64
2026-03-21,68
2026-03-22,65
2026-03-23,65
2026-03-24,54
2026-03-25,57
2026-03-26,54
2026-03-27,57
2026-03-28,54
2026-03-29,73
2026-03-30,58
2026-03-31,61
2026-04-01,59
2026-04-02,56
2026-04-03,58
2026-04-04,55
2026-04-05,62
2026-04-06,62
2026-04-07,60
2026-04-08,63
2026-04-09,56
2026-04-10,52
2026-04-11,55
2026-04-12,56
2026-04-13,56
2026-04-14,54
2026-04-15,53
2026-04-16,65
2026-04-17,71
2026-04-18,57
2026-04-19,59
2026-04-20,56
2026-04-21,56
2026-04-22,56
2026-04-23,55
2026-04-24,54
2026-04-25,48
2026-04-26,62
2026-04-27,58
2026-04-28,53
2026-04-29,54
2026-04-30,54
2026-05-01,54
2026-05-02,50
2026-05-03,59
2026-05-04,52
2026-05-05,53
2026-05-06,56
2026-05-07,59
2026-05-08,57
2026-05-09,56
2026-05-10,63
2026-05-11,57
2026-05-12,56
2026-05-13,54
2026-05-14,55
2026-05-15,52
2026-05-16,46
2026-05-17,49
2026-05-18,47
2026-05-19,43
2026-05-20,47
2026-05-21,44
2026-05-22,62
2026-05-23,60
2026-05-24,53
2026-05-25,55
2026-05-26,50
2026-05-27,48
2026-05-28,45
2026-05-29,45
2026-05-30,52
2026-05-31,54
