Time,ups tracking
2023-04-26,76
2023-04-27,69
2023-04-28,67
2023-04-29,36
2023-04-30,26
2023-05-01,65
2023-05-02,73
2023-05-03,70
2023-05-04,70
2023-05-05,63
2023-05-06,34
2023-05-07,24
2023-05-08,67
2023-05-09,75
2023-05-10,77
2023-05-11,73
2023-05-12,71
2023-05-13,38
2023-05-14,26
2023-05-15,62
2023-05-16,75
2023-05-17,76
2023-05-18,73
2023-05-19,68
2023-05-20,37
2023-05-21,25
2023-05-22,64
2023-05-23,73
2023-05-24,73
2023-05-25,75
2023-05-26,65
2023-05-27,34
2023-05-28,23
2023-05-29,25
2023-05-30,69
2023-05-31,76
2023-06-01,77
2023-06-02,69
2023-06-03,38
2023-06-04,28
2023-06-05,68
2023-06-06,77
2023-06-07,76
2023-06-08,75
2023-06-09,66
2023-06-10,36
2023-06-11,27
2023-06-12,77
2023-06-13,77
2023-06-14,81
2023-06-15,79
2023-06-16,69
2023-06-17,37
2023-06-18,26
2023-06-19,64
2023-06-20,79
2023-06-21,79
2023-06-22,69
2023-06-23,67
2023-06-24,35
2023-06-25,26
2023-06-26,68
2023-06-27,72
2023-06-28,74
2023-06-29,69
2023-06-30,62
2023-07-01,34
2023-07-02,25
2023-07-03,48
2023-07-04,32
2023-07-05,73
2023-07-06,75
2023-07-07,73
2023-07-08,37
2023-07-09,26
2023-07-10,67
2023-07-11,69
2023-07-12,70
2023-07-13,69
2023-07-14,64
2023-07-15,37
2023-07-16,25
2023-07-17,67
2023-07-18,71
2023-07-19,76
2023-07-20,66
2023-07-21,59
2023-07-22,32
2023-07-23,24
2023-07-24,59
2023-07-25,67
2023-07-26,62
2023-07-27,62
2023-07-28,57
2023-07-29,34
2023-07-30,22
2023-07-31,55
2023-08-01,63
2023-08-02,64
2023-08-03,66
2023-08-04,57
2023-08-05,34
2023-08-06,25
2023-08-07,60
2023-08-08,67
2023-08-09,70
2023-08-10,63
2023-08-11,61
2023-08-12,37
2023-08-13,23
2023-08-14,61
2023-08-15,70
2023-08-16,65
2023-08-17,68
2023-08-18,58
2023-08-19,34
2023-08-20,23
2023-08-21,60
2023-08-22,67
2023-08-23,67
2023-08-24,61
2023-08-25,55
2023-08-26,31
2023-08-27,23
2023-08-28,56
2023-08-29,63
2023-08-30,65
2023-08-31,61
2023-09-01,54
2023-09-02,29
2023-09-03,21
2023-09-04,23
2023-09-05,64
2023-09-06,66
2023-09-07,66
2023-09-08,59
2023-09-09,34
2023-09-10,21
2023-09-11,56
2023-09-12,65
2023-09-13,63
2023-09-14,60
2023-09-15,55
2023-09-16,32
2023-09-17,21
2023-09-18,52
2023-09-19,63
2023-09-20,62
2023-09-21,65
2023-09-22,59
2023-09-23,34
2023-09-24,21
2023-09-25,54
2023-09-26,65
2023-09-27,63
2023-09-28,63
2023-09-29,55
2023-09-30,30
2023-10-01,21
2023-10-02,51
2023-10-03,58
2023-10-04,61
2023-10-05,56
2023-10-06,51
2023-10-07,29
2023-10-08,21
2023-10-09,46
2023-10-10,59
2023-10-11,61
2023-10-12,59
2023-10-13,55
2023-10-14,34
2023-10-15,23
2023-10-16,56
2023-10-17,66
2023-10-18,64
2023-10-19,63
2023-10-20,52
2023-10-21,31
2023-10-22,22
2023-10-23,56
2023-10-24,57
2023-10-25,63
2023-10-26,58
2023-10-27,52
2023-10-28,32
2023-10-29,20
2023-10-30,52
2023-10-31,55
2023-11-01,56
2023-11-02,55
2023-11-03,49
2023-11-04,31
2023-11-05,21
2023-11-06,53
2023-11-07,61
2023-11-08,61
2023-11-09,61
2023-11-10,56
2023-11-11,31
2023-11-12,24
2023-11-13,57
2023-11-14,63
2023-11-15,64
2023-11-16,62
2023-11-17,58
2023-11-18,37
2023-11-19,26
2023-11-20,58
2023-11-21,70
2023-11-22,65
2023-11-23,26
2023-11-24,39
2023-11-25,37
2023-11-26,30
2023-11-27,63
2023-11-28,77
2023-11-29,78
2023-11-30,81
2023-12-01,69
2023-12-02,46
2023-12-03,37
2023-12-04,73
2023-12-05,80
2023-12-06,77
2023-12-07,76
2023-12-08,73
2023-12-09,46
2023-12-10,32
2023-12-11,75
2023-12-12,85
2023-12-13,86
2023-12-14,77
2023-12-15,73
2023-12-16,48
2023-12-17,36
2023-12-18,80
2023-12-19,89
2023-12-20,100
2023-12-21,96
2023-12-22,84
2023-12-23,46
2023-12-24,31
2023-12-25,21
2023-12-26,50
2023-12-27,67
2023-12-28,71
2023-12-29,59
2023-12-30,36
2023-12-31,25
2024-01-01,24
2024-01-02,64
2024-01-03,73
2024-01-04,74
2024-01-05,63
2024-01-06,42
2024-01-07,31
2024-01-08,61
2024-01-09,68
2024-01-10,70
2024-01-11,65
2024-01-12,60
2024-01-13,36
2024-01-14,24
2024-01-15,36
2024-01-16,64
2024-01-17,75
2024-01-18,73
2024-01-19,69
2024-01-20,43
