Time,ups tracking
2022-08-29,49
2022-08-30,58
2022-08-31,58
2022-09-01,54
2022-09-02,47
2022-09-03,27
2022-09-04,16
2022-09-05,19
2022-09-06,52
2022-09-07,57
2022-09-08,57
2022-09-09,54
2022-09-10,28
2022-09-11,19
2022-09-12,50
2022-09-13,59
2022-09-14,57
2022-09-15,55
2022-09-16,52
2022-09-17,26
2022-09-18,18
2022-09-19,51
2022-09-20,56
2022-09-21,55
2022-09-22,54
2022-09-23,52
2022-09-24,24
2022-09-25,18
2022-09-26,48
2022-09-27,54
2022-09-28,52
2022-09-29,51
2022-09-30,50
2022-10-01,26
2022-10-02,19
2022-10-03,50
2022-10-04,57
2022-10-05,57
2022-10-06,55
2022-10-07,52
2022-10-08,25
2022-10-09,20
2022-10-10,48
2022-10-11,56
2022-10-12,55
2022-10-13,57
2022-10-14,53
2022-10-15,27
2022-10-16,20
2022-10-17,55
2022-10-18,60
2022-10-19,60
2022-10-20,57
2022-10-21,52
2022-10-22,29
2022-10-23,20
2022-10-24,51
2022-10-25,56
2022-10-26,70
2022-10-27,55
2022-10-28,48
2022-10-29,27
2022-10-30,18
2022-10-31,47
2022-11-01,54
2022-11-02,50
2022-11-03,49
2022-11-04,47
2022-11-05,24
2022-11-06,18
2022-11-07,47
2022-11-08,54
2022-11-09,53
2022-11-10,53
2022-11-11,47
2022-11-12,26
2022-11-13,20
2022-11-14,49
2022-11-15,59
2022-11-16,59
2022-11-17,57
2022-11-18,54
2022-11-19,31
2022-11-20,22
2022-11-21,53
2022-11-22,61
2022-11-23,58
2022-11-24,23
2022-11-25,32
2022-11-26,29
2022-11-27,25
2022-11-28,53
2022-11-29,61
2022-11-30,64
2022-12-01,69
2022-12-02,61
2022-12-03,40
2022-12-04,27
2022-12-05,58
2022-12-06,69
2022-12-07,70
2022-12-08,69
2022-12-09,65
2022-12-10,40
2022-12-11,28
2022-12-12,62
2022-12-13,72
2022-12-14,74
2022-12-15,71
2022-12-16,74
2022-12-17,52
2022-12-18,33
2022-12-19,76
2022-12-20,90
2022-12-21,100
2022-12-22,87
2022-12-23,73
2022-12-24,47
2022-12-25,23
2022-12-26,31
2022-12-27,63
2022-12-28,63
2022-12-29,65
2022-12-30,54
2022-12-31,28
2023-01-01,18
2023-01-02,30
2023-01-03,59
2023-01-04,64
2023-01-05,63
2023-01-06,58
2023-01-07,34
2023-01-08,24
2023-01-09,53
2023-01-10,62
2023-01-11,60
2023-01-12,56
2023-01-13,52
2023-01-14,29
2023-01-15,20
2023-01-16,43
2023-01-17,55
2023-01-18,55
2023-01-19,52
2023-01-20,49
2023-01-21,27
2023-01-22,19
2023-01-23,49
2023-01-24,53
2023-01-25,51
2023-01-26,49
2023-01-27,46
2023-01-28,27
2023-01-29,18
2023-01-30,44
2023-01-31,53
2023-02-01,56
2023-02-02,55
2023-02-03,58
2023-02-04,28
2023-02-05,22
2023-02-06,53
2023-02-07,60
2023-02-08,57
2023-02-09,55
2023-02-10,52
2023-02-11,30
2023-02-12,19
2023-02-13,48
2023-02-14,58
2023-02-15,56
2023-02-16,50
2023-02-17,52
2023-02-18,28
2023-02-19,18
2023-02-20,44
2023-02-21,53
2023-02-22,58
2023-02-23,54
2023-02-24,51
2023-02-25,31
2023-02-26,22
2023-02-27,56
2023-02-28,59
2023-03-01,59
2023-03-02,59
2023-03-03,55
2023-03-04,30
2023-03-05,22
2023-03-06,52
2023-03-07,61
2023-03-08,60
2023-03-09,58
2023-03-10,53
2023-03-11,28
2023-03-12,22
2023-03-13,56
2023-03-14,59
2023-03-15,57
2023-03-16,56
2023-03-17,50
2023-03-18,26
2023-03-19,19
2023-03-20,50
2023-03-21,57
2023-03-22,56
2023-03-23,55
2023-03-24,53
2023-03-25,27
2023-03-26,20
2023-03-27,49
2023-03-28,57
2023-03-29,56
2023-03-30,54
2023-03-31,49
2023-04-01,26
2023-04-02,19
2023-04-03,48
2023-04-04,57
2023-04-05,57
2023-04-06,54
2023-04-07,48
2023-04-08,28
2023-04-09,18
2023-04-10,49
2023-04-11,53
2023-04-12,54
2023-04-13,52
2023-04-14,46
2023-04-15,27
2023-04-16,20
2023-04-17,47
2023-04-18,53
2023-04-19,55
2023-04-20,53
2023-04-21,50
2023-04-22,29
2023-04-23,19
2023-04-24,47
2023-04-25,52
2023-04-26,56
2023-04-27,51
2023-04-28,50
2023-04-29,26
2023-04-30,19
2023-05-01,48
2023-05-02,54
2023-05-03,52
2023-05-04,52
2023-05-05,46
2023-05-06,25
2023-05-07,18
2023-05-08,49
2023-05-09,55
2023-05-10,57
2023-05-11,54
2023-05-12,52
2023-05-13,28
2023-05-14,19
2023-05-15,46
2023-05-16,55
2023-05-17,56
2023-05-18,54
2023-05-19,50
2023-05-20,27
2023-05-21,18
2023-05-22,47
2023-05-23,54
2023-05-24,54
2023-05-25,55
