Time,election results 2022
2023-12-22,0
2023-12-23,24
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,24
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,43
2024-01-10,24
2024-01-11,23
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,48
2024-01-17,0
2024-01-18,24
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,27
2024-01-24,50
2024-01-25,28
2024-01-26,28
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,19
2024-02-01,22
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,25
2024-02-06,0
2024-02-07,27
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,25
2024-02-14,72
2024-02-15,0
2024-02-16,31
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,23
2024-02-22,0
2024-02-23,19
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,25
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,25
2024-03-04,0
2024-03-05,24
2024-03-06,100
2024-03-07,45
2024-03-08,34
2024-03-09,0
2024-03-10,0
2024-03-11,19
2024-03-12,35
2024-03-13,95
2024-03-14,0
2024-03-15,26
2024-03-16,24
2024-03-17,0
2024-03-18,0
2024-03-19,22
2024-03-20,39
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,27
2024-03-25,0
2024-03-26,0
2024-03-27,28
2024-03-28,0
2024-03-29,0
2024-03-30,0
2024-03-31,0
2024-04-01,0
2024-04-02,0
2024-04-03,43
2024-04-04,0
2024-04-05,0
2024-04-06,0
2024-04-07,0
2024-04-08,0
2024-04-09,0
2024-04-10,36
2024-04-11,0
2024-04-12,0
2024-04-13,0
2024-04-14,0
2024-04-15,0
2024-04-16,0
2024-04-17,0
2024-04-18,0
2024-04-19,0
2024-04-20,0
2024-04-21,0
2024-04-22,23
2024-04-23,27
2024-04-24,0
2024-04-25,0
2024-04-26,0
2024-04-27,0
2024-04-28,0
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,23
2024-05-03,0
2024-05-04,0
2024-05-05,30
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,23
2024-05-15,34
2024-05-16,0
2024-05-17,0
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,0
2024-05-22,41
2024-05-23,0
2024-05-24,0
2024-05-25,35
2024-05-26,0
2024-05-27,0
2024-05-28,0
2024-05-29,0
2024-05-30,0
2024-05-31,27
2024-06-01,0
2024-06-02,0
2024-06-03,0
2024-06-04,50
2024-06-05,31
2024-06-06,23
2024-06-07,24
2024-06-08,0
2024-06-09,0
2024-06-10,26
2024-06-11,0
2024-06-12,39
2024-06-13,0
2024-06-14,0
2024-06-15,0
2024-06-16,0
2024-06-17,22
2024-06-18,30
2024-06-19,28
2024-06-20,0
2024-06-21,21
2024-06-22,0
2024-06-23,0
2024-06-24,23
2024-06-25,44
2024-06-26,28
2024-06-27,0
2024-06-28,0
2024-06-29,0
2024-06-30,26
2024-07-01,26
2024-07-02,24
2024-07-03,0
2024-07-04,0
2024-07-05,0
2024-07-06,0
2024-07-07,0
2024-07-08,23
2024-07-09,0
2024-07-10,23
2024-07-11,0
2024-07-12,0
2024-07-13,0
2024-07-14,0
2024-07-15,32
2024-07-16,38
2024-07-17,29
2024-07-18,0
2024-07-19,21
2024-07-20,0
2024-07-21,28
2024-07-22,22
2024-07-23,33
2024-07-24,29
2024-07-25,0
2024-07-26,0
2024-07-27,0
2024-07-28,0
2024-07-29,0
2024-07-30,31
2024-07-31,31
2024-08-01,0
2024-08-02,23
2024-08-03,27
2024-08-04,0
2024-08-05,0
2024-08-06,57
2024-08-07,57
2024-08-08,31
2024-08-09,26
2024-08-10,0
2024-08-11,0
2024-08-12,0
2024-08-13,32
2024-08-14,59
2024-08-15,22
2024-08-16,25
2024-08-17,27
2024-08-18,0
2024-08-19,23
2024-08-20,42
2024-08-21,32
2024-08-22,34
2024-08-23,29
2024-08-24,0
2024-08-25,25
2024-08-26,22
2024-08-27,31
2024-08-28,0
2024-08-29,21
2024-08-30,0
2024-08-31,0
2024-09-01,30
2024-09-02,0
2024-09-03,19
2024-09-04,31
2024-09-05,20
2024-09-06,0
2024-09-07,0
2024-09-08,0
2024-09-09,28
2024-09-10,20
2024-09-11,37
2024-09-12,31
2024-09-13,27
2024-09-14,0
2024-09-15,29
2024-09-16,26
