Time,nfl
2023-12-22,16
2023-12-23,24
2023-12-24,60
2023-12-25,66
2023-12-26,34
2023-12-27,10
2023-12-28,11
2023-12-29,19
2023-12-30,18
2023-12-31,66
2024-01-01,38
2024-01-02,13
2024-01-03,9
2024-01-04,10
2024-01-05,11
2024-01-06,27
2024-01-07,71
2024-01-08,45
2024-01-09,14
2024-01-10,10
2024-01-11,11
2024-01-12,13
2024-01-13,53
2024-01-14,95
2024-01-15,73
2024-01-16,47
2024-01-17,10
2024-01-18,10
2024-01-19,12
2024-01-20,51
2024-01-21,100
2024-01-22,38
2024-01-23,9
2024-01-24,8
2024-01-25,8
2024-01-26,9
2024-01-27,18
2024-01-28,60
2024-01-29,33
2024-01-30,6
2024-01-31,4
2024-02-01,5
2024-02-02,5
2024-02-03,5
2024-02-04,6
2024-02-05,4
2024-02-06,4
2024-02-07,3
2024-02-08,4
2024-02-09,9
2024-02-10,5
2024-02-11,13
2024-02-12,26
2024-02-13,5
2024-02-14,4
2024-02-15,3
2024-02-16,3
2024-02-17,3
2024-02-18,3
2024-02-19,3
2024-02-20,3
2024-02-21,3
2024-02-22,2
2024-02-23,2
2024-02-24,3
2024-02-25,2
2024-02-26,3
2024-02-27,3
2024-02-28,3
2024-02-29,3
2024-03-01,4
2024-03-02,4
2024-03-03,4
2024-03-04,3
2024-03-05,4
2024-03-06,3
2024-03-07,3
2024-03-08,3
2024-03-09,3
2024-03-10,3
2024-03-11,8
2024-03-12,7
2024-03-13,6
2024-03-14,5
2024-03-15,5
2024-03-16,4
2024-03-17,4
2024-03-18,3
2024-03-19,3
2024-03-20,3
2024-03-21,3
2024-03-22,2
2024-03-23,2
2024-03-24,2
2024-03-25,3
2024-03-26,3
2024-03-27,3
2024-03-28,3
2024-03-29,2
2024-03-30,2
2024-03-31,2
2024-04-01,3
2024-04-02,3
2024-04-03,3
2024-04-04,3
2024-04-05,2
2024-04-06,2
2024-04-07,2
2024-04-08,2
2024-04-09,3
2024-04-10,3
2024-04-11,3
2024-04-12,2
2024-04-13,2
2024-04-14,2
2024-04-15,3
2024-04-16,3
2024-04-17,3
2024-04-18,3
2024-04-19,3
2024-04-20,3
2024-04-21,3
2024-04-22,4
2024-04-23,5
2024-04-24,6
2024-04-25,18
2024-04-26,42
2024-04-27,25
2024-04-28,9
2024-04-29,5
2024-04-30,3
2024-05-01,2
2024-05-02,2
2024-05-03,2
2024-05-04,2
2024-05-05,2
2024-05-06,2
2024-05-07,2
2024-05-08,2
2024-05-09,2
2024-05-10,2
2024-05-11,2
2024-05-12,2
2024-05-13,3
2024-05-14,3
2024-05-15,4
2024-05-16,4
2024-05-17,2
2024-05-18,2
2024-05-19,2
2024-05-20,2
2024-05-21,2
2024-05-22,2
2024-05-23,2
2024-05-24,1
2024-05-25,1
2024-05-26,1
2024-05-27,1
2024-05-28,1
2024-05-29,1
2024-05-30,1
2024-05-31,1
2024-06-01,1
2024-06-02,1
2024-06-03,1
2024-06-04,1
2024-06-05,1
2024-06-06,1
2024-06-07,1
2024-06-08,1
2024-06-09,1
2024-06-10,1
2024-06-11,1
2024-06-12,1
2024-06-13,1
2024-06-14,1
2024-06-15,1
2024-06-16,2
2024-06-17,1
2024-06-18,1
2024-06-19,1
2024-06-20,1
2024-06-21,1
2024-06-22,1
2024-06-23,1
2024-06-24,1
2024-06-25,1
2024-06-26,1
2024-06-27,2
2024-06-28,1
2024-06-29,1
2024-06-30,1
2024-07-01,1
2024-07-02,1
2024-07-03,1
2024-07-04,1
2024-07-05,1
2024-07-06,2
2024-07-07,2
2024-07-08,1
2024-07-09,1
2024-07-10,2
2024-07-11,2
2024-07-12,2
2024-07-13,2
2024-07-14,1
2024-07-15,2
2024-07-16,2
2024-07-17,2
2024-07-18,2
2024-07-19,2
2024-07-20,2
2024-07-21,2
2024-07-22,2
2024-07-23,2
2024-07-24,2
2024-07-25,2
2024-07-26,2
2024-07-27,2
2024-07-28,2
2024-07-29,2
2024-07-30,2
2024-07-31,3
2024-08-01,4
2024-08-02,6
2024-08-03,4
2024-08-04,3
2024-08-05,3
2024-08-06,3
2024-08-07,3
2024-08-08,5
2024-08-09,7
2024-08-10,10
2024-08-11,10
2024-08-12,4
2024-08-13,4
2024-08-14,3
2024-08-15,5
2024-08-16,5
2024-08-17,9
2024-08-18,10
2024-08-19,6
2024-08-20,4
2024-08-21,3
2024-08-22,5
2024-08-23,7
2024-08-24,10
2024-08-25,12
2024-08-26,7
2024-08-27,6
2024-08-28,5
2024-08-29,6
2024-08-30,5
2024-08-31,6
2024-09-01,10
2024-09-02,8
2024-09-03,6
2024-09-04,8
2024-09-05,16
2024-09-06,28
2024-09-07,24
2024-09-08,51
2024-09-09,23
2024-09-10,16
2024-09-11,6
2024-09-12,10
2024-09-13,15
2024-09-14,7
2024-09-15,44
2024-09-16,21
