Time,traductor
2023-12-22,85
2023-12-23,85
2023-12-24,78
2023-12-25,64
2023-12-26,79
2023-12-27,82
2023-12-28,83
2023-12-29,84
2023-12-30,75
2023-12-31,69
2024-01-01,64
2024-01-02,80
2024-01-03,93
2024-01-04,89
2024-01-05,90
2024-01-06,82
2024-01-07,72
2024-01-08,91
2024-01-09,94
2024-01-10,100
2024-01-11,98
2024-01-12,95
2024-01-13,78
2024-01-14,75
2024-01-15,79
2024-01-16,95
2024-01-17,97
2024-01-18,95
2024-01-19,96
2024-01-20,79
2024-01-21,73
2024-01-22,94
2024-01-23,98
2024-01-24,97
2024-01-25,96
2024-01-26,76
2024-01-27,55
2024-01-28,51
2024-01-29,66
2024-01-30,70
2024-01-31,70
2024-02-01,68
2024-02-02,70
2024-02-03,54
2024-02-04,52
2024-02-05,63
2024-02-06,67
2024-02-07,67
2024-02-08,69
2024-02-09,67
2024-02-10,52
2024-02-11,47
2024-02-12,61
2024-02-13,67
2024-02-14,69
2024-02-15,69
2024-02-16,64
2024-02-17,51
2024-02-18,50
2024-02-19,59
2024-02-20,66
2024-02-21,67
2024-02-22,65
2024-02-23,66
2024-02-24,53
2024-02-25,53
2024-02-26,67
2024-02-27,72
2024-02-28,67
2024-02-29,67
2024-03-01,67
2024-03-02,54
2024-03-03,52
2024-03-04,73
2024-03-05,68
2024-03-06,69
2024-03-07,68
2024-03-08,66
2024-03-09,56
2024-03-10,49
2024-03-11,64
2024-03-12,68
2024-03-13,67
2024-03-14,66
2024-03-15,63
2024-03-16,54
2024-03-17,52
2024-03-18,66
2024-03-19,68
2024-03-20,69
2024-03-21,69
2024-03-22,64
2024-03-23,52
2024-03-24,49
2024-03-25,63
2024-03-26,65
2024-03-27,67
2024-03-28,63
2024-03-29,56
2024-03-30,51
2024-03-31,49
2024-04-01,59
2024-04-02,63
2024-04-03,65
2024-04-04,62
2024-04-05,66
2024-04-06,53
2024-04-07,50
2024-04-08,61
2024-04-09,70
2024-04-10,65
2024-04-11,61
2024-04-12,69
2024-04-13,53
2024-04-14,50
2024-04-15,66
2024-04-16,67
2024-04-17,66
2024-04-18,68
2024-04-19,62
2024-04-20,52
2024-04-21,50
2024-04-22,67
2024-04-23,63
2024-04-24,66
2024-04-25,66
2024-04-26,65
2024-04-27,51
2024-04-28,50
2024-04-29,65
2024-04-30,65
2024-05-01,62
2024-05-02,66
2024-05-03,68
2024-05-04,52
2024-05-05,50
2024-05-06,66
2024-05-07,68
2024-05-08,67
2024-05-09,67
2024-05-10,63
2024-05-11,53
2024-05-12,48
2024-05-13,66
2024-05-14,66
2024-05-15,66
2024-05-16,67
2024-05-17,64
2024-05-18,54
2024-05-19,55
2024-05-20,65
2024-05-21,66
2024-05-22,66
2024-05-23,65
2024-05-24,66
2024-05-25,56
2024-05-26,51
2024-05-27,53
2024-05-28,63
2024-05-29,63
2024-05-30,59
2024-05-31,59
2024-06-01,57
2024-06-02,51
2024-06-03,61
2024-06-04,60
2024-06-05,62
2024-06-06,61
2024-06-07,60
2024-06-08,55
2024-06-09,50
2024-06-10,61
2024-06-11,63
2024-06-12,61
2024-06-13,62
2024-06-14,56
2024-06-15,53
2024-06-16,51
2024-06-17,58
2024-06-18,57
2024-06-19,57
2024-06-20,58
2024-06-21,60
2024-06-22,54
2024-06-23,50
2024-06-24,58
2024-06-25,57
2024-06-26,61
2024-06-27,56
2024-06-28,57
2024-06-29,52
2024-06-30,48
2024-07-01,57
2024-07-02,58
2024-07-03,59
2024-07-04,51
2024-07-05,55
2024-07-06,51
2024-07-07,47
2024-07-08,54
2024-07-09,57
2024-07-10,54
2024-07-11,55
2024-07-12,57
2024-07-13,51
2024-07-14,47
2024-07-15,54
2024-07-16,57
2024-07-17,57
2024-07-18,56
2024-07-19,53
2024-07-20,51
2024-07-21,46
2024-07-22,59
2024-07-23,57
2024-07-24,56
2024-07-25,58
2024-07-26,53
2024-07-27,50
2024-07-28,44
2024-07-29,52
2024-07-30,55
2024-07-31,56
2024-08-01,56
2024-08-02,55
2024-08-03,50
2024-08-04,45
2024-08-05,58
2024-08-06,57
2024-08-07,58
2024-08-08,57
2024-08-09,57
2024-08-10,53
2024-08-11,48
2024-08-12,62
2024-08-13,61
2024-08-14,62
2024-08-15,64
2024-08-16,66
2024-08-17,52
2024-08-18,49
2024-08-19,62
2024-08-20,65
2024-08-21,64
2024-08-22,66
2024-08-23,67
2024-08-24,51
2024-08-25,47
2024-08-26,64
2024-08-27,66
2024-08-28,66
2024-08-29,68
2024-08-30,66
2024-08-31,49
2024-09-01,48
2024-09-02,50
2024-09-03,60
2024-09-04,67
2024-09-05,68
2024-09-06,64
2024-09-07,53
2024-09-08,47
2024-09-09,65
2024-09-10,67
2024-09-11,67
2024-09-12,72
2024-09-13,68
2024-09-14,50
2024-09-15,45
2024-09-16,66
