Time,qqq
2025-04-15,69
2025-04-16,80
2025-04-17,62
2025-04-18,28
2025-04-19,13
2025-04-20,12
2025-04-21,76
2025-04-22,67
2025-04-23,69
2025-04-24,71
2025-04-25,59
2025-04-26,15
2025-04-27,12
2025-04-28,59
2025-04-29,53
2025-04-30,61
2025-05-01,66
2025-05-02,59
2025-05-03,16
2025-05-04,14
2025-05-05,55
2025-05-06,46
2025-05-07,50
2025-05-08,57
2025-05-09,45
2025-05-10,13
2025-05-11,14
2025-05-12,82
2025-05-13,64
2025-05-14,61
2025-05-15,55
2025-05-16,50
2025-05-17,20
2025-05-18,15
2025-05-19,56
2025-05-20,52
2025-05-21,59
2025-05-22,51
2025-05-23,52
2025-05-24,14
2025-05-25,11
2025-05-26,14
2025-05-27,54
2025-05-28,55
2025-05-29,61
2025-05-30,51
2025-05-31,16
2025-06-01,12
2025-06-02,49
2025-06-03,52
2025-06-04,51
2025-06-05,51
2025-06-06,50
2025-06-07,15
2025-06-08,15
2025-06-09,48
2025-06-10,50
2025-06-11,50
2025-06-12,47
2025-06-13,56
2025-06-14,15
2025-06-15,15
2025-06-16,51
2025-06-17,47
2025-06-18,46
2025-06-19,26
2025-06-20,44
2025-06-21,14
2025-06-22,16
2025-06-23,54
2025-06-24,53
2025-06-25,52
2025-06-26,53
2025-06-27,59
2025-06-28,20
2025-06-29,17
2025-06-30,51
2025-07-01,50
2025-07-02,49
2025-07-03,47
2025-07-04,21
2025-07-05,17
2025-07-06,16
2025-07-07,53
2025-07-08,47
2025-07-09,49
2025-07-10,49
2025-07-11,48
2025-07-12,18
2025-07-13,16
2025-07-14,48
2025-07-15,56
2025-07-16,51
2025-07-17,58
2025-07-18,52
2025-07-19,24
2025-07-20,22
2025-07-21,59
2025-07-22,53
2025-07-23,59
2025-07-24,53
2025-07-25,51
2025-07-26,19
2025-07-27,22
2025-07-28,57
2025-07-29,56
2025-07-30,69
2025-07-31,79
2025-08-01,76
2025-08-02,22
2025-08-03,18
2025-08-04,61
2025-08-05,60
2025-08-06,60
2025-08-07,55
2025-08-08,56
2025-08-09,25
2025-08-10,24
2025-08-11,57
2025-08-12,58
2025-08-13,55
2025-08-14,56
2025-08-15,52
2025-08-16,18
2025-08-17,18
2025-08-18,48
2025-08-19,58
2025-08-20,67
2025-08-21,52
2025-08-22,59
2025-08-23,19
2025-08-24,16
2025-08-25,53
2025-08-26,50
2025-08-27,50
2025-08-28,49
2025-08-29,50
2025-08-30,14
2025-08-31,14
2025-09-01,16
2025-09-02,58
2025-09-03,53
2025-09-04,51
2025-09-05,54
2025-09-06,18
2025-09-07,14
2025-09-08,50
2025-09-09,47
2025-09-10,47
2025-09-11,46
2025-09-12,44
2025-09-13,18
2025-09-14,12
2025-09-15,52
2025-09-16,53
2025-09-17,63
2025-09-18,59
2025-09-19,57
2025-09-20,23
2025-09-21,19
2025-09-22,60
2025-09-23,60
2025-09-24,54
2025-09-25,56
2025-09-26,52
2025-09-27,23
2025-09-28,18
2025-09-29,56
2025-09-30,55
2025-10-01,59
2025-10-02,58
2025-10-03,56
2025-10-04,21
2025-10-05,15
2025-10-06,57
2025-10-07,56
2025-10-08,60
2025-10-09,58
2025-10-10,81
2025-10-11,30
2025-10-12,25
2025-10-13,77
2025-10-14,72
2025-10-15,60
2025-10-16,62
2025-10-17,63
2025-10-18,19
2025-10-19,19
2025-10-20,65
2025-10-21,59
2025-10-22,63
2025-10-23,51
2025-10-24,59
2025-10-25,21
2025-10-26,17
2025-10-27,64
2025-10-28,64
2025-10-29,77
2025-10-30,76
2025-10-31,66
2025-11-01,23
2025-11-02,21
2025-11-03,66
2025-11-04,73
2025-11-05,71
2025-11-06,75
2025-11-07,85
2025-11-08,27
2025-11-09,22
2025-11-10,71
2025-11-11,62
2025-11-12,65
2025-11-13,80
2025-11-14,76
2025-11-15,26
2025-11-16,21
2025-11-17,70
2025-11-18,75
2025-11-19,77
2025-11-20,100
2025-11-21,89
2025-11-22,30
2025-11-23,19
2025-11-24,72
2025-11-25,72
2025-11-26,66
2025-11-27,25
2025-11-28,48
2025-11-29,23
2025-11-30,20
2025-12-01,62
2025-12-02,62
2025-12-03,62
2025-12-04,59
2025-12-05,55
2025-12-06,26
2025-12-07,25
2025-12-08,55
2025-12-09,58
2025-12-10,62
2025-12-11,62
2025-12-12,63
2025-12-13,26
2025-12-14,19
2025-12-15,57
2025-12-16,58
2025-12-17,67
2025-12-18,66
2025-12-19,58
2025-12-20,23
2025-12-21,19
2025-12-22,59
2025-12-23,54
2025-12-24,44
2025-12-25,18
2025-12-26,48
2025-12-27,23
2025-12-28,20
2025-12-29,51
2025-12-30,51
2025-12-31,49
2026-01-01,23
2026-01-02,58
2026-01-03,26
2026-01-04,22
2026-01-05,57
2026-01-06,59
2026-01-07,61
2026-01-08,48
2026-01-09,53
