Time,sentient
2024-08-18,53
2024-08-19,51
2024-08-20,43
2024-08-21,51
2024-08-22,41
2024-08-23,40
2024-08-24,65
2024-08-25,61
2024-08-26,41
2024-08-27,50
2024-08-28,52
2024-08-29,51
2024-08-30,54
2024-08-31,48
2024-09-01,53
2024-09-02,53
2024-09-03,38
2024-09-04,50
2024-09-05,50
2024-09-06,42
2024-09-07,54
2024-09-08,39
2024-09-09,52
2024-09-10,51
2024-09-11,44
2024-09-12,50
2024-09-13,40
2024-09-14,55
2024-09-15,48
2024-09-16,42
2024-09-17,44
2024-09-18,54
2024-09-19,50
2024-09-20,61
2024-09-21,73
2024-09-22,57
2024-09-23,65
2024-09-24,74
2024-09-25,69
2024-09-26,56
2024-09-27,70
2024-09-28,55
2024-09-29,48
2024-09-30,52
2024-10-01,61
2024-10-02,57
2024-10-03,59
2024-10-04,59
2024-10-05,55
2024-10-06,46
2024-10-07,44
2024-10-08,48
2024-10-09,44
2024-10-10,52
2024-10-11,48
2024-10-12,56
2024-10-13,47
2024-10-14,47
2024-10-15,53
2024-10-16,45
2024-10-17,63
2024-10-18,50
2024-10-19,53
2024-10-20,52
2024-10-21,58
2024-10-22,49
2024-10-23,48
2024-10-24,54
2024-10-25,51
2024-10-26,55
2024-10-27,46
2024-10-28,51
2024-10-29,50
2024-10-30,50
2024-10-31,48
2024-11-01,51
2024-11-02,51
2024-11-03,52
2024-11-04,52
2024-11-05,38
2024-11-06,34
2024-11-07,48
2024-11-08,61
2024-11-09,61
2024-11-10,58
2024-11-11,59
2024-11-12,47
2024-11-13,57
2024-11-14,48
2024-11-15,46
2024-11-16,47
2024-11-17,58
2024-11-18,58
2024-11-19,50
2024-11-20,57
2024-11-21,59
2024-11-22,58
2024-11-23,54
2024-11-24,55
2024-11-25,56
2024-11-26,55
2024-11-27,41
2024-11-28,57
2024-11-29,44
2024-11-30,49
2024-12-01,54
2024-12-02,58
2024-12-03,49
2024-12-04,54
2024-12-05,58
2024-12-06,57
2024-12-07,44
2024-12-08,66
2024-12-09,65
2024-12-10,46
2024-12-11,61
2024-12-12,55
2024-12-13,57
2024-12-14,78
2024-12-15,100
2024-12-16,88
2024-12-17,77
2024-12-18,68
2024-12-19,82
2024-12-20,88
2024-12-21,59
2024-12-22,54
2024-12-23,56
2024-12-24,57
2024-12-25,73
2024-12-26,59
2024-12-27,64
2024-12-28,66
2024-12-29,57
2024-12-30,60
2024-12-31,50
2025-01-01,54
2025-01-02,47
2025-01-03,54
2025-01-04,59
2025-01-05,56
2025-01-06,49
2025-01-07,47
2025-01-08,59
2025-01-09,50
2025-01-10,55
2025-01-11,56
2025-01-12,60
2025-01-13,59
2025-01-14,49
2025-01-15,57
2025-01-16,53
2025-01-17,53
2025-01-18,55
2025-01-19,59
2025-01-20,41
2025-01-21,55
2025-01-22,51
2025-01-23,47
2025-01-24,57
2025-01-25,64
2025-01-26,62
2025-01-27,57
2025-01-28,50
2025-01-29,61
2025-01-30,61
2025-01-31,53
2025-02-01,70
2025-02-02,65
2025-02-03,58
2025-02-04,54
2025-02-05,53
2025-02-06,59
2025-02-07,45
2025-02-08,62
2025-02-09,50
2025-02-10,50
2025-02-11,50
2025-02-12,47
2025-02-13,49
2025-02-14,56
2025-02-15,57
2025-02-16,54
2025-02-17,56
2025-02-18,53
2025-02-19,55
2025-02-20,49
2025-02-21,43
2025-02-22,58
2025-02-23,61
2025-02-24,57
2025-02-25,59
2025-02-26,59
2025-02-27,50
2025-02-28,45
2025-03-01,62
2025-03-02,48
2025-03-03,46
2025-03-04,54
2025-03-05,50
2025-03-06,51
2025-03-07,47
2025-03-08,46
2025-03-09,64
2025-03-10,48
2025-03-11,52
2025-03-12,58
2025-03-13,61
2025-03-14,58
2025-03-15,60
2025-03-16,50
2025-03-17,58
2025-03-18,57
2025-03-19,59
2025-03-20,53
2025-03-21,46
2025-03-22,61
2025-03-23,51
2025-03-24,44
2025-03-25,54
2025-03-26,49
2025-03-27,47
2025-03-28,80
2025-03-29,97
2025-03-30,67
2025-03-31,66
2025-04-01,58
2025-04-02,50
2025-04-03,65
2025-04-04,40
2025-04-05,62
2025-04-06,58
2025-04-07,46
2025-04-08,47
2025-04-09,52
2025-04-10,44
2025-04-11,61
2025-04-12,51
2025-04-13,53
2025-04-14,57
2025-04-15,40
2025-04-16,47
2025-04-17,56
2025-04-18,49
2025-04-19,57
2025-04-20,64
2025-04-21,49
2025-04-22,60
2025-04-23,61
2025-04-24,55
2025-04-25,55
2025-04-26,60
2025-04-27,54
2025-04-28,53
2025-04-29,57
2025-04-30,50
2025-05-01,43
2025-05-02,58
2025-05-03,67
2025-05-04,76
2025-05-05,82
2025-05-06,69
2025-05-07,68
2025-05-08,75
2025-05-09,57
2025-05-10,59
2025-05-11,71
2025-05-12,71
2025-05-13,54
2025-05-14,50
