Time,shawn_kemp
2022-01-01,24.0
2022-01-02,30.0
2022-01-03,29.0
2022-01-04,26.0
2022-01-05,19.0
2022-01-06,15.0
2022-01-07,39.0
2022-01-08,34.0
2022-01-09,15.0
2022-01-10,20.0
2022-01-11,22.0
2022-01-12,0.0
2022-01-13,22.0
2022-01-14,23.0
2022-01-15,29.0
2022-01-16,21.0
2022-01-17,27.0
2022-01-18,19.0
2022-01-19,0.0
2022-01-20,25.0
2022-01-21,20.0
2022-01-22,30.0
2022-01-23,12.0
2022-01-24,14.0
2022-01-25,0.0
2022-01-26,19.0
2022-01-27,29.0
2022-01-28,25.0
2022-01-29,27.0
2022-01-30,23.0
2022-01-31,22.0
2022-02-01,27.0
2022-02-02,0.0
2022-02-03,16.0
2022-02-04,18.0
2022-02-05,23.0
2022-02-06,23.0
2022-02-07,21.0
2022-02-08,23.0
2022-02-09,31.0
2022-02-10,13.0
2022-02-11,21.0
2022-02-12,29.0
2022-02-13,22.0
2022-02-14,14.0
2022-02-15,12.0
2022-02-16,20.0
2022-02-17,14.0
2022-02-18,27.0
2022-02-19,42.0
2022-02-20,52.0
2022-02-21,64.0
2022-02-22,43.0
2022-02-23,34.0
2022-02-24,33.0
2022-02-25,24.0
2022-02-26,29.0
2022-02-27,25.0
2022-02-28,17.0
2022-03-01,24.0
2022-03-02,33.0
2022-03-03,16.0
2022-03-04,26.0
2022-03-05,30.0
2022-03-06,37.0
2022-03-07,27.0
2022-03-08,20.0
2022-03-09,19.0
2022-03-10,16.0
2022-03-11,31.0
2022-03-12,31.0
2022-03-13,30.0
2022-03-14,26.0
2022-03-15,22.0
2022-03-16,22.0
2022-03-17,17.0
2022-03-18,33.0
2022-03-19,24.0
2022-03-20,30.0
2022-03-21,25.0
2022-03-22,24.0
2022-03-23,28.0
2022-03-24,15.0
2022-03-25,31.0
2022-03-26,23.0
2022-03-27,24.0
2022-03-28,24.0
2022-03-29,13.0
2022-03-30,18.0
2022-03-31,14.0
2022-04-01,32.0
2022-04-02,48.0
2022-04-03,37.0
2022-04-04,14.0
2022-04-05,24.0
2022-04-06,22.0
2022-04-07,19.0
2022-04-08,23.0
2022-04-09,27.0
2022-04-10,22.0
