Time,airbnb
2023-12-22,53
2023-12-23,52
2023-12-24,49
2023-12-25,53
2023-12-26,75
2023-12-27,77
2023-12-28,73
2023-12-29,76
2023-12-30,70
2023-12-31,66
2024-01-01,69
2024-01-02,79
2024-01-03,81
2024-01-04,79
2024-01-05,75
2024-01-06,81
2024-01-07,83
2024-01-08,73
2024-01-09,74
2024-01-10,70
2024-01-11,70
2024-01-12,67
2024-01-13,71
2024-01-14,73
2024-01-15,75
2024-01-16,71
2024-01-17,76
2024-01-18,71
2024-01-19,68
2024-01-20,71
2024-01-21,86
2024-01-22,76
2024-01-23,76
2024-01-24,75
2024-01-25,72
2024-01-26,66
2024-01-27,74
2024-01-28,78
2024-01-29,74
2024-01-30,76
2024-01-31,74
2024-02-01,68
2024-02-02,62
2024-02-03,72
2024-02-04,78
2024-02-05,75
2024-02-06,73
2024-02-07,70
2024-02-08,67
2024-02-09,65
2024-02-10,69
2024-02-11,70
2024-02-12,65
2024-02-13,72
2024-02-14,63
2024-02-15,69
2024-02-16,72
2024-02-17,76
2024-02-18,88
2024-02-19,87
2024-02-20,82
2024-02-21,75
2024-02-22,74
2024-02-23,73
2024-02-24,76
2024-02-25,83
2024-02-26,81
2024-02-27,77
2024-02-28,74
2024-02-29,74
2024-03-01,74
2024-03-02,78
2024-03-03,87
2024-03-04,85
2024-03-05,80
2024-03-06,83
2024-03-07,77
2024-03-08,72
2024-03-09,74
2024-03-10,86
2024-03-11,85
2024-03-12,80
2024-03-13,79
2024-03-14,73
2024-03-15,70
2024-03-16,74
2024-03-17,83
2024-03-18,80
2024-03-19,77
2024-03-20,79
2024-03-21,71
2024-03-22,68
2024-03-23,74
2024-03-24,77
2024-03-25,79
2024-03-26,76
2024-03-27,73
2024-03-28,71
2024-03-29,67
2024-03-30,68
2024-03-31,73
2024-04-01,81
2024-04-02,80
2024-04-03,76
2024-04-04,79
2024-04-05,74
2024-04-06,70
2024-04-07,81
2024-04-08,74
2024-04-09,73
2024-04-10,73
2024-04-11,72
2024-04-12,69
2024-04-13,67
2024-04-14,76
2024-04-15,76
2024-04-16,74
2024-04-17,74
2024-04-18,74
2024-04-19,70
2024-04-20,68
2024-04-21,81
2024-04-22,78
2024-04-23,81
2024-04-24,73
2024-04-25,70
2024-04-26,65
2024-04-27,71
2024-04-28,83
2024-04-29,78
2024-04-30,73
2024-05-01,69
2024-05-02,83
2024-05-03,76
2024-05-04,73
2024-05-05,85
2024-05-06,81
2024-05-07,78
2024-05-08,76
2024-05-09,76
2024-05-10,72
2024-05-11,69
2024-05-12,74
2024-05-13,82
2024-05-14,83
2024-05-15,78
2024-05-16,73
2024-05-17,71
2024-05-18,77
2024-05-19,90
2024-05-20,89
2024-05-21,84
2024-05-22,76
2024-05-23,83
2024-05-24,83
2024-05-25,84
2024-05-26,83
2024-05-27,92
2024-05-28,90
2024-05-29,87
2024-05-30,85
2024-05-31,80
2024-06-01,79
2024-06-02,100
2024-06-03,89
2024-06-04,87
2024-06-05,85
2024-06-06,88
2024-06-07,83
2024-06-08,82
2024-06-09,90
2024-06-10,96
2024-06-11,96
2024-06-12,92
2024-06-13,87
2024-06-14,79
2024-06-15,80
2024-06-16,86
2024-06-17,93
2024-06-18,97
2024-06-19,92
2024-06-20,86
2024-06-21,88
2024-06-22,85
2024-06-23,98
2024-06-24,100
2024-06-25,95
2024-06-26,86
2024-06-27,84
2024-06-28,81
2024-06-29,82
2024-06-30,93
2024-07-01,94
2024-07-02,91
2024-07-03,88
2024-07-04,85
2024-07-05,81
2024-07-06,84
2024-07-07,96
2024-07-08,94
2024-07-09,93
2024-07-10,92
2024-07-11,83
2024-07-12,80
2024-07-13,77
2024-07-14,78
2024-07-15,81
2024-07-16,83
2024-07-17,84
2024-07-18,81
2024-07-19,76
2024-07-20,78
2024-07-21,87
2024-07-22,84
2024-07-23,82
2024-07-24,80
2024-07-25,78
2024-07-26,72
2024-07-27,72
2024-07-28,88
2024-07-29,80
2024-07-30,87
2024-07-31,76
2024-08-01,73
2024-08-02,73
2024-08-03,72
2024-08-04,81
2024-08-05,76
2024-08-06,77
2024-08-07,79
2024-08-08,79
2024-08-09,71
2024-08-10,66
2024-08-11,74
2024-08-12,79
2024-08-13,76
2024-08-14,76
2024-08-15,71
2024-08-16,70
2024-08-17,67
2024-08-18,79
2024-08-19,77
2024-08-20,74
2024-08-21,67
2024-08-22,63
2024-08-23,65
2024-08-24,65
2024-08-25,80
2024-08-26,74
2024-08-27,70
2024-08-28,75
2024-08-29,65
2024-08-30,63
2024-08-31,66
2024-09-01,67
2024-09-02,79
2024-09-03,66
2024-09-04,62
2024-09-05,61
2024-09-06,56
2024-09-07,59
2024-09-08,64
2024-09-09,64
2024-09-10,62
2024-09-11,53
2024-09-12,59
2024-09-13,55
2024-09-14,56
2024-09-15,63
2024-09-16,67
