Time,tenacious d
2022-01-01,23
2022-01-02,14
2022-01-03,12
2022-01-04,14
2022-01-05,11
2022-01-06,11
2022-01-07,10
2022-01-08,16
2022-01-09,18
2022-01-10,6
2022-01-11,15
2022-01-12,17
2022-01-13,20
2022-01-14,13
2022-01-15,19
2022-01-16,18
2022-01-17,14
2022-01-18,17
2022-01-19,18
2022-01-20,12
2022-01-21,55
2022-01-22,42
2022-01-23,27
2022-01-24,32
2022-01-25,21
2022-01-26,24
2022-01-27,16
2022-01-28,20
2022-01-29,18
2022-01-30,26
2022-01-31,27
2022-02-01,26
2022-02-02,22
2022-02-03,16
2022-02-04,22
2022-02-05,24
2022-02-06,26
2022-02-07,16
2022-02-08,21
2022-02-09,22
2022-02-10,24
2022-02-11,27
2022-02-12,26
2022-02-13,23
2022-02-14,12
2022-02-15,20
2022-02-16,25
2022-02-17,22
2022-02-18,18
2022-02-19,23
2022-02-20,23
2022-02-21,21
2022-02-22,18
2022-02-23,19
2022-02-24,21
2022-02-25,26
2022-02-26,21
2022-02-27,23
2022-02-28,20
2022-03-01,18
2022-03-02,24
2022-03-03,23
2022-03-04,20
2022-03-05,20
2022-03-06,20
2022-03-07,16
2022-03-08,25
2022-03-09,51
2022-03-10,62
2022-03-11,48
2022-03-12,38
2022-03-13,35
2022-03-14,22
2022-03-15,21
2022-03-16,26
2022-03-17,22
2022-03-18,28
2022-03-19,27
2022-03-20,27
2022-03-21,27
2022-03-22,22
2022-03-23,28
2022-03-24,24
2022-03-25,19
2022-03-26,34
2022-03-27,28
2022-03-28,20
2022-03-29,21
2022-03-30,24
2022-03-31,20
2022-04-01,22
2022-04-02,25
2022-04-03,26
2022-04-04,18
2022-04-05,14
2022-04-06,19
2022-04-07,19
2022-04-08,19
2022-04-09,23
2022-04-10,21
2022-04-11,21
2022-04-12,15
2022-04-13,14
2022-04-14,20
2022-04-15,22
2022-04-16,24
2022-04-17,24
2022-04-18,21
2022-04-19,18
2022-04-20,24
2022-04-21,26
2022-04-22,25
2022-04-23,22
2022-04-24,26
2022-04-25,25
2022-04-26,20
2022-04-27,20
2022-04-28,22
2022-04-29,20
2022-04-30,27
2022-05-01,28
2022-05-02,18
2022-05-03,16
2022-05-04,17
2022-05-05,21
2022-05-06,21
2022-05-07,31
2022-05-08,28
2022-05-09,15
2022-05-10,20
2022-05-11,18
2022-05-12,22
2022-05-13,21
2022-05-14,20
2022-05-15,20
2022-05-16,19
2022-05-17,19
2022-05-18,18
2022-05-19,19
2022-05-20,26
2022-05-21,25
2022-05-22,31
2022-05-23,22
2022-05-24,18
2022-05-25,16
2022-05-26,22
2022-05-27,20
2022-05-28,29
2022-05-29,24
2022-05-30,24
2022-05-31,18
2022-06-01,16
2022-06-02,14
2022-06-03,18
2022-06-04,22
2022-06-05,33
2022-06-06,21
2022-06-07,28
2022-06-08,32
2022-06-09,46
2022-06-10,42
2022-06-11,45
2022-06-12,41
2022-06-13,28
2022-06-14,29
2022-06-15,25
2022-06-16,31
2022-06-17,43
2022-06-18,45
2022-06-19,52
2022-06-20,61
2022-06-21,53
2022-06-22,66
2022-06-23,51
2022-06-24,44
2022-06-25,43
2022-06-26,56
2022-06-27,47
2022-06-28,23
2022-06-29,36
2022-06-30,33
2022-07-01,20
2022-07-02,27
2022-07-03,33
2022-07-04,29
2022-07-05,17
2022-07-06,26
2022-07-07,21
2022-07-08,22
2022-07-09,28
2022-07-10,24
2022-07-11,22
2022-07-12,20
2022-07-13,29
2022-07-14,26
2022-07-15,19
2022-07-16,30
2022-07-17,26
2022-07-18,26
2022-07-19,30
2022-07-20,21
2022-07-21,13
2022-07-22,24
2022-07-23,25
2022-07-24,27
2022-07-25,17
2022-07-26,22
2022-07-27,22
2022-07-28,20
2022-07-29,25
2022-07-30,20
2022-07-31,27
2022-08-01,19
2022-08-02,16
2022-08-03,19
2022-08-04,18
2022-08-05,25
2022-08-06,32
2022-08-07,25
2022-08-08,28
2022-08-09,31
2022-08-10,21
2022-08-11,21
2022-08-12,21
2022-08-13,28
2022-08-14,27
2022-08-15,24
2022-08-16,18
2022-08-17,19
2022-08-18,28
2022-08-19,23
2022-08-20,25
2022-08-21,27
2022-08-22,24
2022-08-23,23
2022-08-24,21
2022-08-25,21
2022-08-26,32
2022-08-27,36
2022-08-28,31
2022-08-29,28
2022-08-30,25
2022-08-31,28
2022-09-01,28
2022-09-02,24
2022-09-03,20
2022-09-04,30
2022-09-05,30
2022-09-06,29
2022-09-07,25
2022-09-08,28
2022-09-09,42
2022-09-10,58
2022-09-11,55
2022-09-12,51
2022-09-13,44
2022-09-14,50
2022-09-15,44
2022-09-16,54
2022-09-17,62
2022-09-18,61
2022-09-19,63
2022-09-20,46
2022-09-21,42
2022-09-22,92
2022-09-23,100
2022-09-24,49
2022-09-25,40
2022-09-26,28
2022-09-27,27
