Time,hogwarts legacy
2023-12-22,51
2023-12-23,59
2023-12-24,65
2023-12-25,98
2023-12-26,100
2023-12-27,99
2023-12-28,93
2023-12-29,85
2023-12-30,94
2023-12-31,96
2024-01-01,93
2024-01-02,76
2024-01-03,71
2024-01-04,69
2024-01-05,62
2024-01-06,84
2024-01-07,90
2024-01-08,58
2024-01-09,54
2024-01-10,51
2024-01-11,47
2024-01-12,51
2024-01-13,68
2024-01-14,82
2024-01-15,69
2024-01-16,53
2024-01-17,47
2024-01-18,45
2024-01-19,45
2024-01-20,64
2024-01-21,65
2024-01-22,44
2024-01-23,37
2024-01-24,36
2024-01-25,35
2024-01-26,33
2024-01-27,53
2024-01-28,55
2024-01-29,35
2024-01-30,31
2024-01-31,29
2024-02-01,29
2024-02-02,33
2024-02-03,49
2024-02-04,58
2024-02-05,34
2024-02-06,31
2024-02-07,32
2024-02-08,28
2024-02-09,28
2024-02-10,45
2024-02-11,44
2024-02-12,24
2024-02-13,29
2024-02-14,26
2024-02-15,26
2024-02-16,28
2024-02-17,43
2024-02-18,49
2024-02-19,38
2024-02-20,29
2024-02-21,27
2024-02-22,25
2024-02-23,26
2024-02-24,38
2024-02-25,44
2024-02-26,26
2024-02-27,21
2024-02-28,20
2024-02-29,22
2024-03-01,22
2024-03-02,34
2024-03-03,37
2024-03-04,23
2024-03-05,22
2024-03-06,22
2024-03-07,19
2024-03-08,20
2024-03-09,29
2024-03-10,34
2024-03-11,20
2024-03-12,19
2024-03-13,19
2024-03-14,18
2024-03-15,22
2024-03-16,30
2024-03-17,35
2024-03-18,24
2024-03-19,20
2024-03-20,20
2024-03-21,18
2024-03-22,19
2024-03-23,33
2024-03-24,33
2024-03-25,20
2024-03-26,20
2024-03-27,20
2024-03-28,21
2024-03-29,21
2024-03-30,27
2024-03-31,31
2024-04-01,21
2024-04-02,18
2024-04-03,17
2024-04-04,19
2024-04-05,18
2024-04-06,26
2024-04-07,32
2024-04-08,16
2024-04-09,16
2024-04-10,17
2024-04-11,17
2024-04-12,18
2024-04-13,24
2024-04-14,28
2024-04-15,18
2024-04-16,17
2024-04-17,16
2024-04-18,15
2024-04-19,16
2024-04-20,23
2024-04-21,29
2024-04-22,16
2024-04-23,16
2024-04-24,16
2024-04-25,14
2024-04-26,14
2024-04-27,20
2024-04-28,27
2024-04-29,15
2024-04-30,14
2024-05-01,12
2024-05-02,13
2024-05-03,14
2024-05-04,19
2024-05-05,24
2024-05-06,15
2024-05-07,14
2024-05-08,15
2024-05-09,15
2024-05-10,14
2024-05-11,20
2024-05-12,22
2024-05-13,16
2024-05-14,15
2024-05-15,14
2024-05-16,13
2024-05-17,14
2024-05-18,18
2024-05-19,23
2024-05-20,16
2024-05-21,15
2024-05-22,13
2024-05-23,14
2024-05-24,16
2024-05-25,21
2024-05-26,23
2024-05-27,27
2024-05-28,17
2024-05-29,16
2024-05-30,19
2024-05-31,18
2024-06-01,24
2024-06-02,28
2024-06-03,19
2024-06-04,18
2024-06-05,21
2024-06-06,28
2024-06-07,29
2024-06-08,37
2024-06-09,40
2024-06-10,27
2024-06-11,23
2024-06-12,21
2024-06-13,21
2024-06-14,20
2024-06-15,25
2024-06-16,26
2024-06-17,21
2024-06-18,20
2024-06-19,22
2024-06-20,18
2024-06-21,20
2024-06-22,24
2024-06-23,29
2024-06-24,20
2024-06-25,19
2024-06-26,19
2024-06-27,19
2024-06-28,20
2024-06-29,24
2024-06-30,31
2024-07-01,21
2024-07-02,20
2024-07-03,21
2024-07-04,28
2024-07-05,27
2024-07-06,27
2024-07-07,33
2024-07-08,21
2024-07-09,19
2024-07-10,20
2024-07-11,19
2024-07-12,22
2024-07-13,27
2024-07-14,29
2024-07-15,21
2024-07-16,18
2024-07-17,19
2024-07-18,18
2024-07-19,19
2024-07-20,24
2024-07-21,29
2024-07-22,20
2024-07-23,21
2024-07-24,19
2024-07-25,18
2024-07-26,19
2024-07-27,21
2024-07-28,28
2024-07-29,20
2024-07-30,19
2024-07-31,18
2024-08-01,18
2024-08-02,18
2024-08-03,20
2024-08-04,29
2024-08-05,19
2024-08-06,18
2024-08-07,17
2024-08-08,18
2024-08-09,18
2024-08-10,22
2024-08-11,27
2024-08-12,18
2024-08-13,17
2024-08-14,17
2024-08-15,16
2024-08-16,17
2024-08-17,23
2024-08-18,27
2024-08-19,17
2024-08-20,16
2024-08-21,15
2024-08-22,14
2024-08-23,17
2024-08-24,21
2024-08-25,28
2024-08-26,18
2024-08-27,17
2024-08-28,16
2024-08-29,17
2024-08-30,22
2024-08-31,31
2024-09-01,41
2024-09-02,44
2024-09-03,27
2024-09-04,26
2024-09-05,26
2024-09-06,26
2024-09-07,34
2024-09-08,40
2024-09-09,26
2024-09-10,23
2024-09-11,22
2024-09-12,22
2024-09-13,22
2024-09-14,32
2024-09-15,33
2024-09-16,24
