Time,boston celtics
2022-01-01,3
2022-01-02,3
2022-01-03,4
2022-01-04,3
2022-01-05,3
2022-01-06,4
2022-01-07,6
2022-01-08,4
2022-01-09,5
2022-01-10,3
2022-01-11,4
2022-01-12,3
2022-01-13,5
2022-01-14,3
2022-01-15,5
2022-01-16,4
2022-01-17,4
2022-01-18,2
2022-01-19,3
2022-01-20,5
2022-01-21,3
2022-01-22,5
2022-01-23,4
2022-01-24,3
2022-01-25,3
2022-01-26,4
2022-01-27,3
2022-01-28,4
2022-01-29,6
2022-01-30,4
2022-01-31,3
2022-02-01,5
2022-02-02,3
2022-02-03,5
2022-02-04,4
2022-02-05,5
2022-02-06,5
2022-02-07,5
2022-02-08,6
2022-02-09,9
2022-02-10,8
2022-02-11,7
2022-02-12,9
2022-02-13,8
2022-02-14,4
2022-02-15,5
2022-02-16,10
2022-02-17,7
2022-02-18,3
2022-02-19,3
2022-02-20,3
2022-02-21,3
2022-02-22,3
2022-02-23,3
2022-02-24,3
2022-02-25,7
2022-02-26,7
2022-02-27,7
2022-02-28,4
2022-03-01,3
2022-03-02,7
2022-03-03,4
2022-03-04,8
2022-03-05,4
2022-03-06,11
2022-03-07,5
2022-03-08,4
2022-03-09,4
2022-03-10,7
2022-03-11,4
2022-03-12,8
2022-03-13,10
2022-03-14,5
2022-03-15,3
2022-03-16,4
2022-03-17,8
2022-03-18,4
2022-03-19,7
2022-03-20,5
2022-03-21,8
2022-03-22,7
2022-03-23,5
2022-03-24,8
2022-03-25,4
2022-03-26,4
2022-03-27,7
2022-03-28,9
2022-03-29,7
2022-03-30,6
2022-03-31,7
2022-04-01,4
2022-04-02,7
2022-04-03,8
2022-04-04,4
2022-04-05,3
2022-04-06,5
2022-04-07,8
2022-04-08,7
2022-04-09,4
2022-04-10,7
2022-04-11,9
2022-04-12,4
2022-04-13,5
2022-04-14,4
2022-04-15,3
2022-04-16,5
2022-04-17,23
2022-04-18,10
2022-04-19,6
2022-04-20,10
2022-04-21,22
2022-04-22,7
2022-04-23,12
2022-04-24,27
2022-04-25,12
2022-04-26,23
2022-04-27,6
2022-04-28,8
2022-04-29,5
2022-04-30,6
2022-05-01,25
2022-05-02,6
2022-05-03,9
2022-05-04,17
2022-05-05,7
2022-05-06,6
2022-05-07,22
2022-05-08,11
2022-05-09,9
2022-05-10,23
2022-05-11,12
2022-05-12,24
2022-05-13,13
2022-05-14,40
2022-05-15,62
2022-05-16,19
2022-05-17,16
2022-05-18,36
2022-05-19,14
2022-05-20,37
2022-05-21,19
2022-05-22,46
2022-05-23,15
2022-05-24,41
2022-05-25,15
2022-05-26,43
2022-05-27,23
2022-05-28,72
2022-05-29,28
2022-05-30,100
2022-05-31,15
2022-06-01,12
2022-06-02,16
2022-06-03,70
2022-06-04,19
2022-06-05,27
2022-06-06,55
2022-06-07,13
2022-06-08,18
2022-06-09,72
2022-06-10,21
2022-06-11,83
2022-06-12,21
2022-06-13,19
2022-06-14,64
2022-06-15,15
2022-06-16,22
2022-06-17,76
2022-06-18,7
2022-06-19,5
2022-06-20,4
2022-06-21,3
2022-06-22,3
2022-06-23,3
2022-06-24,7
2022-06-25,4
2022-06-26,4
2022-06-27,3
2022-06-28,3
2022-06-29,3
2022-06-30,5
2022-07-01,10
2022-07-02,8
2022-07-03,5
2022-07-04,4
2022-07-05,4
2022-07-06,4
2022-07-07,4
2022-07-08,4
2022-07-09,4
2022-07-10,4
2022-07-11,3
2022-07-12,4
2022-07-13,4
2022-07-14,3
2022-07-15,3
2022-07-16,3
2022-07-17,3
2022-07-18,3
2022-07-19,3
2022-07-20,2
2022-07-21,2
2022-07-22,2
2022-07-23,2
2022-07-24,2
2022-07-25,5
2022-07-26,4
2022-07-27,3
2022-07-28,3
2022-07-29,3
2022-07-30,2
2022-07-31,4
2022-08-01,4
2022-08-02,3
2022-08-03,3
2022-08-04,2
2022-08-05,2
2022-08-06,2
2022-08-07,2
2022-08-08,2
2022-08-09,2
2022-08-10,2
2022-08-11,2
2022-08-12,2
2022-08-13,2
2022-08-14,3
2022-08-15,2
2022-08-16,2
2022-08-17,3
2022-08-18,3
2022-08-19,2
2022-08-20,2
2022-08-21,2
2022-08-22,2
2022-08-23,2
2022-08-24,2
2022-08-25,2
2022-08-26,2
2022-08-27,2
2022-08-28,2
2022-08-29,2
2022-08-30,2
2022-08-31,1
2022-09-01,2
2022-09-02,2
2022-09-03,2
2022-09-04,2
2022-09-05,2
2022-09-06,2
2022-09-07,2
2022-09-08,2
2022-09-09,2
2022-09-10,2
2022-09-11,1
2022-09-12,1
2022-09-13,2
2022-09-14,2
2022-09-15,2
2022-09-16,2
2022-09-17,1
2022-09-18,2
2022-09-19,1
2022-09-20,2
2022-09-21,2
2022-09-22,15
2022-09-23,18
2022-09-24,10
2022-09-25,7
2022-09-26,5
2022-09-27,4
