Time,michaels
2022-08-29,37
2022-08-30,38
2022-08-31,35
2022-09-01,43
2022-09-02,44
2022-09-03,52
2022-09-04,66
2022-09-05,60
2022-09-06,38
2022-09-07,36
2022-09-08,36
2022-09-09,49
2022-09-10,53
2022-09-11,56
2022-09-12,53
2022-09-13,42
2022-09-14,36
2022-09-15,37
2022-09-16,55
2022-09-17,56
2022-09-18,58
2022-09-19,40
2022-09-20,39
2022-09-21,41
2022-09-22,40
2022-09-23,51
2022-09-24,58
2022-09-25,60
2022-09-26,41
2022-09-27,42
2022-09-28,37
2022-09-29,37
2022-09-30,50
2022-10-01,56
2022-10-02,64
2022-10-03,42
2022-10-04,41
2022-10-05,42
2022-10-06,41
2022-10-07,48
2022-10-08,56
2022-10-09,59
2022-10-10,45
2022-10-11,39
2022-10-12,39
2022-10-13,40
2022-10-14,48
2022-10-15,55
2022-10-16,60
2022-10-17,42
2022-10-18,41
2022-10-19,42
2022-10-20,43
2022-10-21,48
2022-10-22,58
2022-10-23,65
2022-10-24,45
2022-10-25,49
2022-10-26,50
2022-10-27,52
2022-10-28,57
2022-10-29,62
2022-10-30,69
2022-10-31,45
2022-11-01,40
2022-11-02,40
2022-11-03,45
2022-11-04,53
2022-11-05,59
2022-11-06,66
2022-11-07,47
2022-11-08,45
2022-11-09,42
2022-11-10,45
2022-11-11,56
2022-11-12,73
2022-11-13,74
2022-11-14,54
2022-11-15,48
2022-11-16,48
2022-11-17,50
2022-11-18,55
2022-11-19,70
2022-11-20,80
2022-11-21,57
2022-11-22,55
2022-11-23,61
2022-11-24,46
2022-11-25,100
2022-11-26,88
2022-11-27,99
2022-11-28,70
2022-11-29,60
2022-11-30,59
2022-12-01,56
2022-12-02,62
2022-12-03,75
2022-12-04,85
2022-12-05,58
2022-12-06,57
2022-12-07,55
2022-12-08,57
2022-12-09,57
2022-12-10,74
2022-12-11,84
2022-12-12,58
2022-12-13,53
2022-12-14,52
2022-12-15,51
2022-12-16,59
2022-12-17,71
2022-12-18,76
2022-12-19,61
2022-12-20,66
2022-12-21,64
2022-12-22,60
2022-12-23,68
2022-12-24,63
2022-12-25,28
2022-12-26,65
2022-12-27,50
2022-12-28,47
2022-12-29,45
2022-12-30,49
2022-12-31,49
2023-01-01,50
2023-01-02,50
2023-01-03,35
2023-01-04,34
2023-01-05,34
2023-01-06,40
2023-01-07,49
2023-01-08,54
2023-01-09,33
2023-01-10,30
2023-01-11,32
2023-01-12,33
2023-01-13,33
2023-01-14,41
2023-01-15,65
2023-01-16,49
2023-01-17,33
2023-01-18,33
2023-01-19,31
2023-01-20,34
2023-01-21,50
2023-01-22,52
2023-01-23,31
2023-01-24,32
2023-01-25,33
2023-01-26,30
2023-01-27,34
2023-01-28,47
2023-01-29,52
2023-01-30,31
2023-01-31,33
2023-02-01,32
2023-02-02,33
2023-02-03,35
2023-02-04,47
2023-02-05,55
2023-02-06,33
2023-02-07,39
2023-02-08,34
2023-02-09,34
2023-02-10,41
2023-02-11,54
2023-02-12,54
2023-02-13,37
2023-02-14,33
2023-02-15,27
2023-02-16,30
2023-02-17,33
2023-02-18,44
2023-02-19,49
2023-02-20,36
2023-02-21,29
2023-02-22,30
2023-02-23,27
2023-02-24,33
2023-02-25,45
2023-02-26,51
2023-02-27,32
2023-02-28,27
2023-03-01,30
2023-03-02,29
2023-03-03,29
2023-03-04,41
2023-03-05,49
2023-03-06,29
2023-03-07,32
2023-03-08,34
2023-03-09,32
2023-03-10,34
2023-03-11,46
2023-03-12,49
2023-03-13,31
2023-03-14,31
2023-03-15,34
2023-03-16,35
2023-03-17,37
2023-03-18,44
2023-03-19,51
2023-03-20,34
2023-03-21,32
2023-03-22,32
2023-03-23,33
2023-03-24,36
2023-03-25,43
2023-03-26,50
2023-03-27,31
2023-03-28,30
2023-03-29,31
2023-03-30,31
2023-03-31,30
2023-04-01,42
2023-04-02,47
2023-04-03,31
2023-04-04,30
2023-04-05,30
2023-04-06,31
2023-04-07,40
2023-04-08,43
2023-04-09,37
2023-04-10,35
2023-04-11,30
2023-04-12,28
2023-04-13,29
2023-04-14,31
2023-04-15,35
2023-04-16,40
2023-04-17,28
2023-04-18,28
2023-04-19,31
2023-04-20,30
2023-04-21,31
2023-04-22,41
2023-04-23,45
2023-04-24,27
2023-04-25,28
2023-04-26,30
2023-04-27,29
2023-04-28,32
2023-04-29,43
2023-04-30,45
2023-05-01,31
2023-05-02,31
2023-05-03,31
2023-05-04,32
2023-05-05,33
2023-05-06,40
2023-05-07,45
2023-05-08,32
2023-05-09,34
2023-05-10,33
2023-05-11,34
2023-05-12,38
2023-05-13,45
2023-05-14,43
2023-05-15,29
2023-05-16,31
2023-05-17,30
2023-05-18,33
2023-05-19,33
2023-05-20,42
2023-05-21,44
2023-05-22,30
2023-05-23,30
2023-05-24,31
2023-05-25,32
