Time,michaels
2023-04-26,29
2023-04-27,28
2023-04-28,31
2023-04-29,42
2023-04-30,45
2023-05-01,31
2023-05-02,30
2023-05-03,31
2023-05-04,32
2023-05-05,33
2023-05-06,40
2023-05-07,44
2023-05-08,32
2023-05-09,34
2023-05-10,32
2023-05-11,33
2023-05-12,38
2023-05-13,44
2023-05-14,43
2023-05-15,28
2023-05-16,30
2023-05-17,30
2023-05-18,32
2023-05-19,33
2023-05-20,42
2023-05-21,43
2023-05-22,30
2023-05-23,30
2023-05-24,31
2023-05-25,32
2023-05-26,35
2023-05-27,37
2023-05-28,42
2023-05-29,40
2023-05-30,30
2023-05-31,32
2023-06-01,32
2023-06-02,31
2023-06-03,40
2023-06-04,45
2023-06-05,30
2023-06-06,31
2023-06-07,34
2023-06-08,33
2023-06-09,36
2023-06-10,39
2023-06-11,42
2023-06-12,35
2023-06-13,32
2023-06-14,36
2023-06-15,37
2023-06-16,38
2023-06-17,44
2023-06-18,43
2023-06-19,37
2023-06-20,30
2023-06-21,30
2023-06-22,29
2023-06-23,35
2023-06-24,41
2023-06-25,39
2023-06-26,30
2023-06-27,30
2023-06-28,31
2023-06-29,33
2023-06-30,33
2023-07-01,36
2023-07-02,44
2023-07-03,35
2023-07-04,39
2023-07-05,29
2023-07-06,32
2023-07-07,35
2023-07-08,41
2023-07-09,44
2023-07-10,34
2023-07-11,32
2023-07-12,32
2023-07-13,34
2023-07-14,38
2023-07-15,42
2023-07-16,48
2023-07-17,35
2023-07-18,35
2023-07-19,35
2023-07-20,34
2023-07-21,36
2023-07-22,37
2023-07-23,44
2023-07-24,36
2023-07-25,33
2023-07-26,37
2023-07-27,39
2023-07-28,40
2023-07-29,52
2023-07-30,46
2023-07-31,31
2023-08-01,34
2023-08-02,33
2023-08-03,32
2023-08-04,36
2023-08-05,43
2023-08-06,46
2023-08-07,37
2023-08-08,32
2023-08-09,33
2023-08-10,33
2023-08-11,32
2023-08-12,42
2023-08-13,50
2023-08-14,33
2023-08-15,34
2023-08-16,34
2023-08-17,34
2023-08-18,38
2023-08-19,44
2023-08-20,49
2023-08-21,39
2023-08-22,35
2023-08-23,33
2023-08-24,33
2023-08-25,36
2023-08-26,44
2023-08-27,48
2023-08-28,32
2023-08-29,30
2023-08-30,31
2023-08-31,31
2023-09-01,37
2023-09-02,45
2023-09-03,53
2023-09-04,57
2023-09-05,33
2023-09-06,33
2023-09-07,33
2023-09-08,35
2023-09-09,46
2023-09-10,50
2023-09-11,33
2023-09-12,30
2023-09-13,32
2023-09-14,30
2023-09-15,44
2023-09-16,50
2023-09-17,53
2023-09-18,33
2023-09-19,33
2023-09-20,32
2023-09-21,35
2023-09-22,46
2023-09-23,54
2023-09-24,57
2023-09-25,38
2023-09-26,32
2023-09-27,35
2023-09-28,33
2023-09-29,40
2023-09-30,50
2023-10-01,51
2023-10-02,34
2023-10-03,33
2023-10-04,32
2023-10-05,34
2023-10-06,44
2023-10-07,51
2023-10-08,54
2023-10-09,39
2023-10-10,35
2023-10-11,37
2023-10-12,38
2023-10-13,43
2023-10-14,51
2023-10-15,56
2023-10-16,35
2023-10-17,37
2023-10-18,34
2023-10-19,37
2023-10-20,45
2023-10-21,55
2023-10-22,60
2023-10-23,44
2023-10-24,41
2023-10-25,42
2023-10-26,43
2023-10-27,50
2023-10-28,60
2023-10-29,58
2023-10-30,44
2023-10-31,39
2023-11-01,34
2023-11-02,39
2023-11-03,45
2023-11-04,54
2023-11-05,62
2023-11-06,41
2023-11-07,42
2023-11-08,42
2023-11-09,44
2023-11-10,56
2023-11-11,64
2023-11-12,72
2023-11-13,48
2023-11-14,45
2023-11-15,44
2023-11-16,45
2023-11-17,49
2023-11-18,68
2023-11-19,77
2023-11-20,58
2023-11-21,52
2023-11-22,60
2023-11-23,45
2023-11-24,93
2023-11-25,90
2023-11-26,100
2023-11-27,65
2023-11-28,61
2023-11-29,57
2023-11-30,55
2023-12-01,61
2023-12-02,81
2023-12-03,86
2023-12-04,57
2023-12-05,54
2023-12-06,53
2023-12-07,58
2023-12-08,58
2023-12-09,77
2023-12-10,81
2023-12-11,55
2023-12-12,58
2023-12-13,58
2023-12-14,58
2023-12-15,62
2023-12-16,77
2023-12-17,84
2023-12-18,61
2023-12-19,59
2023-12-20,60
2023-12-21,66
2023-12-22,68
2023-12-23,76
2023-12-24,73
2023-12-25,27
2023-12-26,52
2023-12-27,44
2023-12-28,43
2023-12-29,46
2023-12-30,49
2023-12-31,54
2024-01-01,45
2024-01-02,36
2024-01-03,33
2024-01-04,34
2024-01-05,34
2024-01-06,42
2024-01-07,48
2024-01-08,30
2024-01-09,27
2024-01-10,31
2024-01-11,29
2024-01-12,32
2024-01-13,42
2024-01-14,44
2024-01-15,38
2024-01-16,25
2024-01-17,31
2024-01-18,29
2024-01-19,32
2024-01-20,44
