Time,michaels
2025-12-11,68
2025-12-12,72
2025-12-13,95
2025-12-14,90
2025-12-15,67
2025-12-16,63
2025-12-17,70
2025-12-18,74
2025-12-19,75
2025-12-20,87
2025-12-21,100
2025-12-22,85
2025-12-23,85
2025-12-24,90
2025-12-25,38
2025-12-26,73
2025-12-27,72
2025-12-28,69
2025-12-29,53
2025-12-30,57
2025-12-31,67
2026-01-01,61
2026-01-02,57
2026-01-03,64
2026-01-04,66
2026-01-05,43
2026-01-06,39
2026-01-07,41
2026-01-08,43
2026-01-09,47
2026-01-10,64
2026-01-11,85
2026-01-12,43
2026-01-13,40
2026-01-14,37
2026-01-15,40
2026-01-16,42
2026-01-17,52
2026-01-18,58
2026-01-19,51
2026-01-20,37
2026-01-21,38
2026-01-22,38
2026-01-23,43
2026-01-24,52
2026-01-25,42
2026-01-26,38
2026-01-27,40
2026-01-28,38
2026-01-29,41
2026-01-30,43
2026-01-31,59
2026-02-01,61
2026-02-02,39
2026-02-03,38
2026-02-04,40
2026-02-05,41
2026-02-06,45
2026-02-07,57
2026-02-08,53
2026-02-09,36
2026-02-10,42
2026-02-11,47
2026-02-12,46
2026-02-13,52
2026-02-14,58
2026-02-15,52
2026-02-16,46
2026-02-17,37
2026-02-18,39
2026-02-19,37
2026-02-20,40
2026-02-21,54
2026-02-22,50
2026-02-23,36
2026-02-24,36
2026-02-25,38
2026-02-26,35
2026-02-27,39
2026-02-28,51
2026-03-01,59
2026-03-02,39
2026-03-03,38
2026-03-04,37
2026-03-05,39
2026-03-06,44
2026-03-07,54
2026-03-08,56
2026-03-09,39
2026-03-10,38
2026-03-11,38
2026-03-12,43
2026-03-13,44
2026-03-14,54
2026-03-15,56
2026-03-16,40
2026-03-17,40
2026-03-18,45
2026-03-19,42
2026-03-20,47
2026-03-21,57
2026-03-22,58
2026-03-23,42
2026-03-24,42
2026-03-25,41
2026-03-26,38
2026-03-27,43
2026-03-28,51
2026-03-29,57
2026-03-30,37
2026-03-31,41
2026-04-01,40
2026-04-02,44
2026-04-03,49
2026-04-04,58
2026-04-05,48
2026-04-06,43
2026-04-07,38
2026-04-08,40
2026-04-09,39
2026-04-10,43
2026-04-11,53
2026-04-12,54
2026-04-13,40
2026-04-14,43
2026-04-15,40
2026-04-16,39
2026-04-17,43
2026-04-18,57
2026-04-19,63
2026-04-20,43
2026-04-21,41
2026-04-22,43
2026-04-23,41
2026-04-24,46
2026-04-25,58
2026-04-26,58
2026-04-27,44
2026-04-28,42
2026-04-29,43
2026-04-30,44
2026-05-01,47
2026-05-02,54
2026-05-03,62
2026-05-04,42
2026-05-05,42
2026-05-06,44
2026-05-07,49
2026-05-08,53
2026-05-09,66
2026-05-10,59
2026-05-11,42
2026-05-12,41
2026-05-13,42
2026-05-14,44
2026-05-15,47
2026-05-16,53
2026-05-17,53
2026-05-18,41
2026-05-19,41
2026-05-20,43
2026-05-21,41
2026-05-22,46
2026-05-23,54
2026-05-24,63
2026-05-25,55
2026-05-26,44
2026-05-27,45
2026-05-28,44
2026-05-29,60
2026-05-30,63
2026-05-31,67
