Time,yellowjackets
2025-12-11,49
2025-12-12,53
2025-12-13,64
2025-12-14,66
2025-12-15,59
2025-12-16,53
2025-12-17,51
2025-12-18,53
2025-12-19,63
2025-12-20,69
2025-12-21,67
2025-12-22,60
2025-12-23,62
2025-12-24,61
2025-12-25,60
2025-12-26,60
2025-12-27,73
2025-12-28,82
2025-12-29,72
2025-12-30,81
2025-12-31,75
2026-01-01,69
2026-01-02,90
2026-01-03,97
2026-01-04,96
2026-01-05,75
2026-01-06,76
2026-01-07,75
2026-01-08,68
2026-01-09,72
2026-01-10,82
2026-01-11,83
2026-01-12,68
2026-01-13,60
2026-01-14,65
2026-01-15,63
2026-01-16,66
2026-01-17,82
2026-01-18,84
2026-01-19,76
2026-01-20,73
2026-01-21,71
2026-01-22,73
2026-01-23,63
2026-01-24,85
2026-01-25,100
2026-01-26,96
2026-01-27,89
2026-01-28,81
2026-01-29,65
2026-01-30,69
2026-01-31,80
2026-02-01,91
2026-02-02,76
2026-02-03,70
2026-02-04,63
2026-02-05,66
2026-02-06,64
2026-02-07,74
2026-02-08,80
2026-02-09,50
2026-02-10,55
2026-02-11,55
2026-02-12,57
2026-02-13,54
2026-02-14,61
2026-02-15,73
2026-02-16,67
2026-02-17,60
2026-02-18,54
2026-02-19,60
2026-02-20,59
2026-02-21,74
2026-02-22,74
2026-02-23,74
2026-02-24,70
2026-02-25,66
2026-02-26,63
2026-02-27,59
2026-02-28,62
2026-03-01,72
2026-03-02,61
2026-03-03,63
2026-03-04,65
2026-03-05,58
2026-03-06,59
2026-03-07,67
2026-03-08,81
2026-03-09,61
2026-03-10,50
2026-03-11,56
2026-03-12,53
2026-03-13,46
2026-03-14,57
2026-03-15,67
2026-03-16,56
2026-03-17,51
2026-03-18,47
2026-03-19,53
2026-03-20,53
2026-03-21,60
2026-03-22,69
2026-03-23,55
2026-03-24,56
2026-03-25,49
2026-03-26,48
2026-03-27,54
2026-03-28,62
2026-03-29,76
2026-03-30,54
2026-03-31,53
2026-04-01,52
2026-04-02,54
2026-04-03,87
2026-04-04,78
2026-04-05,72
2026-04-06,56
2026-04-07,51
2026-04-08,49
2026-04-09,48
2026-04-10,51
2026-04-11,57
2026-04-12,56
2026-04-13,46
2026-04-14,46
2026-04-15,45
2026-04-16,44
2026-04-17,41
2026-04-18,53
2026-04-19,58
2026-04-20,48
2026-04-21,48
2026-04-22,56
2026-04-23,48
2026-04-24,44
2026-04-25,44
2026-04-26,64
2026-04-27,47
2026-04-28,40
2026-04-29,42
2026-04-30,42
2026-05-01,40
2026-05-02,49
2026-05-03,60
2026-05-04,46
2026-05-05,46
2026-05-06,49
2026-05-07,47
2026-05-08,47
2026-05-09,48
2026-05-10,63
2026-05-11,57
2026-05-12,50
2026-05-13,47
2026-05-14,50
2026-05-15,53
2026-05-16,55
2026-05-17,63
2026-05-18,56
2026-05-19,55
2026-05-20,57
2026-05-21,53
2026-05-22,50
2026-05-23,61
2026-05-24,61
2026-05-25,61
2026-05-26,63
2026-05-27,43
2026-05-28,53
2026-05-29,50
2026-05-30,51
2026-05-31,54
