Time,jd vance
2023-04-26,19
2023-04-27,19
2023-04-28,9
2023-04-29,0
2023-04-30,14
2023-05-01,10
2023-05-02,13
2023-05-03,18
2023-05-04,10
2023-05-05,12
2023-05-06,9
2023-05-07,10
2023-05-08,18
2023-05-09,12
2023-05-10,29
2023-05-11,22
2023-05-12,14
2023-05-13,15
2023-05-14,21
2023-05-15,14
2023-05-16,15
2023-05-17,15
2023-05-18,14
2023-05-19,0
2023-05-20,13
2023-05-21,10
2023-05-22,12
2023-05-23,16
2023-05-24,12
2023-05-25,13
2023-05-26,19
2023-05-27,11
2023-05-28,15
2023-05-29,11
2023-05-30,11
2023-05-31,12
2023-06-01,13
2023-06-02,16
2023-06-03,17
2023-06-04,0
2023-06-05,11
2023-06-06,14
2023-06-07,16
2023-06-08,0
2023-06-09,25
2023-06-10,18
2023-06-11,13
2023-06-12,11
2023-06-13,79
2023-06-14,86
2023-06-15,33
2023-06-16,22
2023-06-17,14
2023-06-18,18
2023-06-19,13
2023-06-20,16
2023-06-21,8
2023-06-22,15
2023-06-23,15
2023-06-24,14
2023-06-25,10
2023-06-26,10
2023-06-27,13
2023-06-28,12
2023-06-29,8
2023-06-30,20
2023-07-01,15
2023-07-02,43
2023-07-03,21
2023-07-04,18
2023-07-05,13
2023-07-06,22
2023-07-07,18
2023-07-08,18
2023-07-09,22
2023-07-10,17
2023-07-11,20
2023-07-12,32
2023-07-13,28
2023-07-14,9
2023-07-15,17
2023-07-16,22
2023-07-17,22
2023-07-18,23
2023-07-19,18
2023-07-20,16
2023-07-21,16
2023-07-22,11
2023-07-23,16
2023-07-24,17
2023-07-25,10
2023-07-26,15
2023-07-27,25
2023-07-28,19
2023-07-29,16
2023-07-30,14
2023-07-31,16
2023-08-01,14
2023-08-02,13
2023-08-03,14
2023-08-04,10
2023-08-05,14
2023-08-06,15
2023-08-07,13
2023-08-08,16
2023-08-09,28
2023-08-10,8
2023-08-11,13
2023-08-12,0
2023-08-13,10
2023-08-14,12
2023-08-15,11
2023-08-16,17
2023-08-17,20
2023-08-18,14
2023-08-19,14
2023-08-20,12
2023-08-21,14
2023-08-22,11
2023-08-23,13
2023-08-24,9
2023-08-25,9
2023-08-26,15
2023-08-27,21
2023-08-28,13
2023-08-29,9
2023-08-30,8
2023-08-31,22
2023-09-01,9
2023-09-02,9
2023-09-03,14
2023-09-04,13
2023-09-05,9
2023-09-06,23
2023-09-07,32
2023-09-08,25
2023-09-09,14
2023-09-10,14
2023-09-11,8
2023-09-12,11
2023-09-13,19
2023-09-14,100
2023-09-15,42
2023-09-16,22
2023-09-17,19
2023-09-18,17
2023-09-19,28
2023-09-20,24
2023-09-21,16
2023-09-22,20
2023-09-23,14
2023-09-24,12
2023-09-25,9
2023-09-26,20
2023-09-27,17
2023-09-28,14
2023-09-29,10
2023-09-30,13
2023-10-01,30
2023-10-02,12
2023-10-03,17
2023-10-04,18
2023-10-05,14
2023-10-06,16
2023-10-07,13
2023-10-08,17
2023-10-09,24
2023-10-10,26
2023-10-11,12
2023-10-12,9
2023-10-13,12
2023-10-14,12
2023-10-15,0
2023-10-16,0
2023-10-17,12
2023-10-18,18
2023-10-19,12
2023-10-20,21
2023-10-21,9
2023-10-22,14
2023-10-23,10
2023-10-24,11
2023-10-25,11
2023-10-26,18
2023-10-27,16
2023-10-28,13
2023-10-29,37
2023-10-30,16
2023-10-31,14
2023-11-01,18
2023-11-02,12
2023-11-03,0
2023-11-04,0
2023-11-05,9
2023-11-06,15
2023-11-07,0
2023-11-08,30
2023-11-09,37
2023-11-10,19
2023-11-11,9
2023-11-12,13
2023-11-13,8
2023-11-14,13
2023-11-15,14
2023-11-16,18
2023-11-17,13
2023-11-18,0
2023-11-19,0
2023-11-20,0
2023-11-21,8
2023-11-22,0
2023-11-23,12
2023-11-24,9
2023-11-25,20
2023-11-26,0
2023-11-27,13
2023-11-28,14
2023-11-29,13
2023-11-30,14
2023-12-01,10
2023-12-02,0
2023-12-03,0
2023-12-04,10
2023-12-05,11
2023-12-06,10
2023-12-07,17
2023-12-08,46
2023-12-09,25
2023-12-10,65
2023-12-11,51
2023-12-12,46
2023-12-13,32
2023-12-14,26
2023-12-15,20
2023-12-16,12
2023-12-17,0
2023-12-18,18
2023-12-19,8
2023-12-20,23
2023-12-21,21
2023-12-22,14
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,11
2023-12-27,0
2023-12-28,12
2023-12-29,14
2023-12-30,12
2023-12-31,0
2024-01-01,11
2024-01-02,18
2024-01-03,13
2024-01-04,14
2024-01-05,23
2024-01-06,0
2024-01-07,11
2024-01-08,15
2024-01-09,13
2024-01-10,15
2024-01-11,18
2024-01-12,12
2024-01-13,11
2024-01-14,19
2024-01-15,11
2024-01-16,12
2024-01-17,13
2024-01-18,20
2024-01-19,30
2024-01-20,44
