Time,dominos
2022-01-01,100.0
2022-01-02,82.0
2022-01-03,56.0
2022-01-04,52.0
2022-01-05,49.0
2022-01-06,42.0
2022-01-07,64.0
2022-01-08,78.0
2022-01-09,71.0
2022-01-10,43.0
2022-01-11,43.0
2022-01-12,44.0
2022-01-13,45.0
2022-01-14,46.0
2022-01-15,74.0
2022-01-16,71.0
2022-01-17,48.0
2022-01-18,34.0
2022-01-19,36.0
2022-01-20,39.0
2022-01-21,51.0
2022-01-22,75.0
2022-01-23,68.0
2022-01-24,50.0
2022-01-25,31.0
2022-01-26,36.0
2022-01-27,38.0
2022-01-28,54.0
2022-01-29,75.0
2022-01-30,73.0
2022-01-31,43.0
2022-02-01,40.0
2022-02-02,43.0
2022-02-03,49.0
2022-02-04,64.0
2022-02-05,75.0
2022-02-06,70.0
2022-02-07,40.0
2022-02-08,35.0
2022-02-09,42.0
2022-02-10,36.0
2022-02-11,53.0
2022-02-12,75.0
2022-02-13,86.0
2022-02-14,48.0
2022-02-15,40.0
2022-02-16,36.0
2022-02-17,40.0
2022-02-18,52.0
2022-02-19,70.0
2022-02-20,71.0
2022-02-21,48.0
2022-02-22,38.0
2022-02-23,41.0
2022-02-24,44.0
2022-02-25,58.0
2022-02-26,73.0
2022-02-27,69.0
2022-02-28,42.0
2022-03-01,38.0
2022-03-02,39.0
2022-03-03,41.0
2022-03-04,51.0
2022-03-05,69.0
2022-03-06,68.0
2022-03-07,41.0
2022-03-08,36.0
2022-03-09,40.0
2022-03-10,42.0
2022-03-11,51.0
2022-03-12,69.0
2022-03-13,64.0
2022-03-14,45.0
2022-03-15,37.0
2022-03-16,39.0
2022-03-17,38.0
2022-03-18,57.0
2022-03-19,67.0
2022-03-20,67.0
2022-03-21,41.0
2022-03-22,40.0
2022-03-23,39.0
2022-03-24,43.0
2022-03-25,51.0
2022-03-26,66.0
2022-03-27,63.0
2022-03-28,37.0
2022-03-29,33.0
2022-03-30,40.0
2022-03-31,39.0
2022-04-01,51.0
2022-04-02,75.0
2022-04-03,65.0
2022-04-04,36.0
2022-04-05,35.0
2022-04-06,36.0
