Time,cubs
2022-01-01,6
2022-01-02,7
2022-01-03,6
2022-01-04,7
2022-01-05,7
2022-01-06,5
2022-01-07,6
2022-01-08,7
2022-01-09,7
2022-01-10,5
2022-01-11,6
2022-01-12,6
2022-01-13,7
2022-01-14,5
2022-01-15,7
2022-01-16,6
2022-01-17,6
2022-01-18,5
2022-01-19,6
2022-01-20,6
2022-01-21,6
2022-01-22,6
2022-01-23,6
2022-01-24,7
2022-01-25,5
2022-01-26,5
2022-01-27,6
2022-01-28,6
2022-01-29,6
2022-01-30,6
2022-01-31,6
2022-02-01,6
2022-02-02,6
2022-02-03,6
2022-02-04,6
2022-02-05,6
2022-02-06,6
2022-02-07,6
2022-02-08,6
2022-02-09,6
2022-02-10,6
2022-02-11,6
2022-02-12,6
2022-02-13,6
2022-02-14,5
2022-02-15,6
2022-02-16,6
2022-02-17,6
2022-02-18,6
2022-02-19,6
2022-02-20,6
2022-02-21,6
2022-02-22,6
2022-02-23,6
2022-02-24,6
2022-02-25,6
2022-02-26,6
2022-02-27,5
2022-02-28,5
2022-03-01,6
2022-03-02,6
2022-03-03,6
2022-03-04,5
2022-03-05,6
2022-03-06,6
2022-03-07,5
2022-03-08,6
2022-03-09,6
2022-03-10,9
2022-03-11,19
2022-03-12,19
2022-03-13,17
2022-03-14,16
2022-03-15,16
2022-03-16,23
2022-03-17,24
2022-03-18,19
2022-03-19,24
2022-03-20,20
2022-03-21,16
2022-03-22,17
2022-03-23,16
2022-03-24,15
2022-03-25,14
2022-03-26,16
2022-03-27,17
2022-03-28,13
2022-03-29,16
2022-03-30,16
2022-03-31,14
2022-04-01,15
2022-04-02,20
2022-04-03,19
2022-04-04,19
2022-04-05,21
2022-04-06,21
2022-04-07,100
2022-04-08,55
2022-04-09,68
2022-04-10,78
2022-04-11,29
2022-04-12,45
2022-04-13,49
2022-04-14,28
2022-04-15,47
2022-04-16,59
2022-04-17,71
2022-04-18,35
2022-04-19,46
2022-04-20,49
2022-04-21,42
2022-04-22,51
2022-04-23,82
2022-04-24,83
2022-04-25,27
2022-04-26,25
2022-04-27,33
2022-04-28,44
2022-04-29,33
2022-04-30,41
2022-05-01,45
2022-05-02,20
2022-05-03,25
2022-05-04,41
2022-05-05,38
2022-05-06,26
2022-05-07,45
2022-05-08,52
2022-05-09,33
2022-05-10,30
2022-05-11,39
2022-05-12,24
2022-05-13,23
2022-05-14,40
2022-05-15,47
2022-05-16,25
2022-05-17,36
2022-05-18,45
2022-05-19,45
2022-05-20,47
2022-05-21,51
2022-05-22,39
2022-05-23,25
2022-05-24,31
2022-05-25,31
2022-05-26,49
2022-05-27,24
2022-05-28,32
2022-05-29,77
2022-05-30,56
2022-05-31,36
2022-06-01,41
2022-06-02,40
2022-06-03,64
2022-06-04,64
2022-06-05,76
2022-06-06,48
2022-06-07,24
2022-06-08,29
2022-06-09,29
2022-06-10,27
2022-06-11,56
2022-06-12,63
2022-06-13,28
2022-06-14,39
2022-06-15,37
2022-06-16,49
2022-06-17,40
2022-06-18,48
2022-06-19,42
2022-06-20,27
2022-06-21,27
2022-06-22,27
2022-06-23,35
2022-06-24,25
2022-06-25,59
2022-06-26,42
2022-06-27,24
2022-06-28,22
2022-06-29,34
2022-06-30,35
2022-07-01,59
2022-07-02,38
2022-07-03,73
2022-07-04,47
2022-07-05,27
2022-07-06,45
2022-07-07,26
2022-07-08,37
2022-07-09,43
2022-07-10,59
2022-07-11,28
2022-07-12,23
2022-07-13,31
2022-07-14,32
2022-07-15,43
2022-07-16,48
2022-07-17,64
2022-07-18,25
2022-07-19,18
2022-07-20,17
2022-07-21,16
2022-07-22,24
2022-07-23,47
2022-07-24,55
2022-07-25,29
2022-07-26,51
2022-07-27,29
2022-07-28,26
2022-07-29,37
2022-07-30,52
2022-07-31,55
2022-08-01,41
2022-08-02,56
2022-08-03,41
2022-08-04,41
2022-08-05,49
2022-08-06,36
2022-08-07,42
2022-08-08,26
2022-08-09,36
2022-08-10,42
2022-08-11,37
2022-08-12,53
2022-08-13,25
2022-08-14,39
2022-08-15,21
2022-08-16,26
2022-08-17,33
2022-08-18,29
2022-08-19,38
2022-08-20,53
2022-08-21,48
2022-08-22,26
2022-08-23,51
2022-08-24,40
2022-08-25,48
2022-08-26,23
2022-08-27,39
2022-08-28,41
2022-08-29,20
2022-08-30,26
2022-08-31,22
2022-09-01,24
2022-09-02,18
2022-09-03,30
2022-09-04,42
2022-09-05,22
2022-09-06,18
2022-09-07,26
2022-09-08,29
2022-09-09,23
2022-09-10,29
2022-09-11,23
2022-09-12,25
2022-09-13,22
2022-09-14,26
2022-09-15,25
2022-09-16,25
2022-09-17,28
2022-09-18,24
2022-09-19,17
2022-09-20,19
2022-09-21,20
2022-09-22,19
2022-09-23,23
2022-09-24,25
2022-09-25,24
2022-09-26,13
2022-09-27,16
