step,file,overlap_days,valid_ratio_days,overlap_corr,median_ratio_new_over_base,scale_new_to_base,ratio_cv,method
0,gt_tampa_bay_buccaneers_2022-01-01_2022-09-27.csv,,,,,1.0,,base_chunk
1,gt_tampa_bay_buccaneers_2022-08-29_2023-05-25.csv,30.0,30.0,0.9995068488586147,1.4393939393939394,0.6947368421052631,0.13516534585254578,overlap_ratio
2,gt_tampa_bay_buccaneers_2023-04-26_2024-01-20.csv,30.0,30.0,0.9628105559930725,3.118686868686869,0.3206477732793522,0.20641009036307034,overlap_ratio
3,gt_tampa_bay_buccaneers_2023-12-22_2024-09-16.csv,30.0,30.0,1.0,3.118686868686869,0.3206477732793522,8.361793737954408e-17,overlap_ratio
4,gt_tampa_bay_buccaneers_2024-08-18_2025-05-14.csv,30.0,30.0,0.9991487903566415,2.0791245791245796,0.48097165991902824,0.15693026635675,overlap_ratio
5,gt_tampa_bay_buccaneers_2025-04-15_2026-01-09.csv,30.0,29.0,0.9583237400750295,3.1186868686868694,0.3206477732793522,0.2892352785802917,overlap_ratio
6,gt_tampa_bay_buccaneers_2025-12-11_2026-05-31.csv,30.0,30.0,1.0,3.118686868686869,0.3206477732793522,8.361793737954408e-17,overlap_ratio
