Time,drive
2022-01-01,66
2022-01-02,67
2022-01-03,82
2022-01-04,94
2022-01-05,85
2022-01-06,73
2022-01-07,83
2022-01-08,75
2022-01-09,70
2022-01-10,82
2022-01-11,84
2022-01-12,82
2022-01-13,92
2022-01-14,69
2022-01-15,72
2022-01-16,62
2022-01-17,69
2022-01-18,77
2022-01-19,74
2022-01-20,71
2022-01-21,77
2022-01-22,72
2022-01-23,67
2022-01-24,96
2022-01-25,72
2022-01-26,71
2022-01-27,73
2022-01-28,84
2022-01-29,76
2022-01-30,69
2022-01-31,80
2022-02-01,83
2022-02-02,84
2022-02-03,81
2022-02-04,84
2022-02-05,75
2022-02-06,71
2022-02-07,83
2022-02-08,90
2022-02-09,83
2022-02-10,71
2022-02-11,82
2022-02-12,77
2022-02-13,66
2022-02-14,78
2022-02-15,87
2022-02-16,79
2022-02-17,85
2022-02-18,88
2022-02-19,82
2022-02-20,79
2022-02-21,85
2022-02-22,83
2022-02-23,85
2022-02-24,79
2022-02-25,79
2022-02-26,74
2022-02-27,73
2022-02-28,88
2022-03-01,81
2022-03-02,83
2022-03-03,80
2022-03-04,85
2022-03-05,79
2022-03-06,76
2022-03-07,85
2022-03-08,83
2022-03-09,84
2022-03-10,85
2022-03-11,85
2022-03-12,79
2022-03-13,74
2022-03-14,82
2022-03-15,89
2022-03-16,86
2022-03-17,83
2022-03-18,81
2022-03-19,79
2022-03-20,76
2022-03-21,89
2022-03-22,83
2022-03-23,81
2022-03-24,86
2022-03-25,92
2022-03-26,80
2022-03-27,79
2022-03-28,96
2022-03-29,88
2022-03-30,86
2022-03-31,90
2022-04-01,90
2022-04-02,86
2022-04-03,82
2022-04-04,89
2022-04-05,90
2022-04-06,91
2022-04-07,96
2022-04-08,93
2022-04-09,85
2022-04-10,77
2022-04-11,93
2022-04-12,92
2022-04-13,90
2022-04-14,94
2022-04-15,90
2022-04-16,79
2022-04-17,76
2022-04-18,92
2022-04-19,93
2022-04-20,87
2022-04-21,93
2022-04-22,90
2022-04-23,82
2022-04-24,79
2022-04-25,97
2022-04-26,91
2022-04-27,91
2022-04-28,92
2022-04-29,93
2022-04-30,85
2022-05-01,80
2022-05-02,92
2022-05-03,87
2022-05-04,91
2022-05-05,91
2022-05-06,90
2022-05-07,81
2022-05-08,75
2022-05-09,88
2022-05-10,94
2022-05-11,92
2022-05-12,96
2022-05-13,90
2022-05-14,83
2022-05-15,76
2022-05-16,90
2022-05-17,92
2022-05-18,90
2022-05-19,90
2022-05-20,95
2022-05-21,88
2022-05-22,77
2022-05-23,97
2022-05-24,92
2022-05-25,88
2022-05-26,90
2022-05-27,92
2022-05-28,86
2022-05-29,82
2022-05-30,83
2022-05-31,100
2022-06-01,95
2022-06-02,92
2022-06-03,94
2022-06-04,91
2022-06-05,83
2022-06-06,94
2022-06-07,93
2022-06-08,92
2022-06-09,98
2022-06-10,94
2022-06-11,88
2022-06-12,83
2022-06-13,91
2022-06-14,92
2022-06-15,89
2022-06-16,90
2022-06-17,94
2022-06-18,94
2022-06-19,82
2022-06-20,89
2022-06-21,95
2022-06-22,95
2022-06-23,89
2022-06-24,92
2022-06-25,88
2022-06-26,82
2022-06-27,91
2022-06-28,87
2022-06-29,89
2022-06-30,88
2022-07-01,94
2022-07-02,89
2022-07-03,81
2022-07-04,78
2022-07-05,88
2022-07-06,88
2022-07-07,92
2022-07-08,94
2022-07-09,88
2022-07-10,85
2022-07-11,94
2022-07-12,93
2022-07-13,88
2022-07-14,94
2022-07-15,98
2022-07-16,91
2022-07-17,81
2022-07-18,92
2022-07-19,88
2022-07-20,89
2022-07-21,90
2022-07-22,92
2022-07-23,88
2022-07-24,76
2022-07-25,91
2022-07-26,91
2022-07-27,88
2022-07-28,87
2022-07-29,92
2022-07-30,84
2022-07-31,83
2022-08-01,92
2022-08-02,90
2022-08-03,88
2022-08-04,86
2022-08-05,92
2022-08-06,86
2022-08-07,81
2022-08-08,89
2022-08-09,86
2022-08-10,91
2022-08-11,89
2022-08-12,92
2022-08-13,80
2022-08-14,79
2022-08-15,92
2022-08-16,91
2022-08-17,88
2022-08-18,92
2022-08-19,94
2022-08-20,83
2022-08-21,78
2022-08-22,89
2022-08-23,94
2022-08-24,95
2022-08-25,95
2022-08-26,93
2022-08-27,84
2022-08-28,79
2022-08-29,94
2022-08-30,98
2022-08-31,94
2022-09-01,97
2022-09-02,88
2022-09-03,78
2022-09-04,75
2022-09-05,80
2022-09-06,91
2022-09-07,87
2022-09-08,87
2022-09-09,89
2022-09-10,78
2022-09-11,68
2022-09-12,92
2022-09-13,89
2022-09-14,93
2022-09-15,93
2022-09-16,92
2022-09-17,82
2022-09-18,70
2022-09-19,89
2022-09-20,89
2022-09-21,87
2022-09-22,89
2022-09-23,85
2022-09-24,73
2022-09-25,68
2022-09-26,84
2022-09-27,88
