Time,jamie lee curtis
2023-04-26,13
2023-04-27,15
2023-04-28,17
2023-04-29,26
2023-04-30,45
2023-05-01,18
2023-05-02,14
2023-05-03,14
2023-05-04,16
2023-05-05,14
2023-05-06,23
2023-05-07,29
2023-05-08,15
2023-05-09,21
2023-05-10,21
2023-05-11,20
2023-05-12,18
2023-05-13,21
2023-05-14,18
2023-05-15,17
2023-05-16,16
2023-05-17,14
2023-05-18,15
2023-05-19,14
2023-05-20,15
2023-05-21,16
2023-05-22,13
2023-05-23,13
2023-05-24,16
2023-05-25,14
2023-05-26,13
2023-05-27,19
2023-05-28,21
2023-05-29,20
2023-05-30,16
2023-05-31,12
2023-06-01,9
2023-06-02,14
2023-06-03,16
2023-06-04,21
2023-06-05,12
2023-06-06,13
2023-06-07,14
2023-06-08,16
2023-06-09,27
2023-06-10,29
2023-06-11,25
2023-06-12,16
2023-06-13,14
2023-06-14,13
2023-06-15,13
2023-06-16,15
2023-06-17,24
2023-06-18,28
2023-06-19,17
2023-06-20,13
2023-06-21,13
2023-06-22,13
2023-06-23,25
2023-06-24,34
2023-06-25,49
2023-06-26,37
2023-06-27,32
2023-06-28,31
2023-06-29,30
2023-06-30,32
2023-07-01,38
2023-07-02,35
2023-07-03,32
2023-07-04,35
2023-07-05,28
2023-07-06,32
2023-07-07,31
2023-07-08,34
2023-07-09,46
2023-07-10,29
2023-07-11,24
2023-07-12,31
2023-07-13,27
2023-07-14,27
2023-07-15,30
2023-07-16,30
2023-07-17,27
2023-07-18,28
2023-07-19,28
2023-07-20,25
2023-07-21,27
2023-07-22,34
2023-07-23,38
2023-07-24,29
2023-07-25,29
2023-07-26,27
2023-07-27,26
2023-07-28,54
2023-07-29,54
2023-07-30,40
2023-07-31,26
2023-08-01,20
2023-08-02,23
2023-08-03,20
2023-08-04,22
2023-08-05,40
2023-08-06,30
2023-08-07,23
2023-08-08,24
2023-08-09,21
2023-08-10,17
2023-08-11,21
2023-08-12,24
2023-08-13,27
2023-08-14,18
2023-08-15,15
2023-08-16,17
2023-08-17,15
2023-08-18,14
2023-08-19,22
2023-08-20,31
2023-08-21,26
2023-08-22,20
2023-08-23,16
2023-08-24,17
2023-08-25,18
2023-08-26,19
2023-08-27,26
2023-08-28,18
2023-08-29,16
2023-08-30,16
2023-08-31,22
2023-09-01,21
2023-09-02,21
2023-09-03,32
2023-09-04,30
2023-09-05,21
2023-09-06,20
2023-09-07,23
2023-09-08,24
2023-09-09,29
2023-09-10,27
2023-09-11,22
2023-09-12,19
2023-09-13,19
2023-09-14,20
2023-09-15,24
2023-09-16,30
2023-09-17,27
2023-09-18,23
2023-09-19,21
2023-09-20,14
2023-09-21,19
2023-09-22,27
2023-09-23,41
2023-09-24,39
2023-09-25,24
2023-09-26,19
2023-09-27,17
2023-09-28,20
2023-09-29,22
2023-09-30,30
2023-10-01,49
2023-10-02,28
2023-10-03,27
2023-10-04,24
2023-10-05,26
2023-10-06,28
2023-10-07,37
2023-10-08,41
2023-10-09,35
2023-10-10,29
2023-10-11,39
2023-10-12,38
2023-10-13,33
2023-10-14,38
2023-10-15,46
2023-10-16,26
2023-10-17,22
2023-10-18,21
2023-10-19,22
2023-10-20,22
2023-10-21,44
2023-10-22,43
2023-10-23,26
2023-10-24,19
2023-10-25,25
2023-10-26,27
2023-10-27,24
2023-10-28,33
2023-10-29,54
2023-10-30,39
2023-10-31,51
2023-11-01,67
2023-11-02,19
2023-11-03,17
2023-11-04,24
2023-11-05,20
2023-11-06,15
2023-11-07,14
2023-11-08,13
2023-11-09,14
2023-11-10,16
2023-11-11,29
2023-11-12,27
2023-11-13,17
2023-11-14,13
2023-11-15,13
2023-11-16,13
2023-11-17,14
2023-11-18,20
2023-11-19,19
2023-11-20,19
2023-11-21,16
2023-11-22,28
2023-11-23,43
2023-11-24,33
2023-11-25,35
2023-11-26,30
2023-11-27,22
2023-11-28,16
2023-11-29,15
2023-11-30,14
2023-12-01,15
2023-12-02,22
2023-12-03,20
2023-12-04,19
2023-12-05,15
2023-12-06,14
2023-12-07,18
2023-12-08,14
2023-12-09,22
2023-12-10,22
2023-12-11,15
2023-12-12,13
2023-12-13,18
2023-12-14,13
2023-12-15,15
2023-12-16,25
2023-12-17,22
2023-12-18,18
2023-12-19,16
2023-12-20,19
2023-12-21,15
2023-12-22,18
2023-12-23,24
2023-12-24,25
2023-12-25,38
2023-12-26,26
2023-12-27,20
2023-12-28,17
2023-12-29,19
2023-12-30,20
2023-12-31,24
2024-01-01,22
2024-01-02,15
2024-01-03,14
2024-01-04,18
2024-01-05,15
2024-01-06,16
2024-01-07,26
2024-01-08,20
2024-01-09,19
2024-01-10,20
2024-01-11,19
2024-01-12,21
2024-01-13,20
2024-01-14,35
2024-01-15,25
2024-01-16,100
2024-01-17,39
2024-01-18,46
2024-01-19,28
2024-01-20,31
