Time,jamie lee curtis
2023-12-22,10
2023-12-23,13
2023-12-24,14
2023-12-25,22
2023-12-26,15
2023-12-27,11
2023-12-28,10
2023-12-29,10
2023-12-30,11
2023-12-31,13
2024-01-01,13
2024-01-02,9
2024-01-03,8
2024-01-04,10
2024-01-05,8
2024-01-06,10
2024-01-07,14
2024-01-08,11
2024-01-09,12
2024-01-10,12
2024-01-11,11
2024-01-12,12
2024-01-13,11
2024-01-14,20
2024-01-15,13
2024-01-16,56
2024-01-17,23
2024-01-18,26
2024-01-19,16
2024-01-20,19
2024-01-21,16
2024-01-22,27
2024-01-23,18
2024-01-24,12
2024-01-25,15
2024-01-26,10
2024-01-27,18
2024-01-28,14
2024-01-29,8
2024-01-30,8
2024-01-31,10
2024-02-01,12
2024-02-02,13
2024-02-03,12
2024-02-04,15
2024-02-05,9
2024-02-06,7
2024-02-07,8
2024-02-08,8
2024-02-09,8
2024-02-10,9
2024-02-11,9
2024-02-12,6
2024-02-13,8
2024-02-14,10
2024-02-15,11
2024-02-16,9
2024-02-17,11
2024-02-18,12
2024-02-19,10
2024-02-20,13
2024-02-21,17
2024-02-22,14
2024-02-23,10
2024-02-24,15
2024-02-25,15
2024-02-26,9
2024-02-27,8
2024-02-28,12
2024-02-29,21
2024-03-01,13
2024-03-02,14
2024-03-03,10
2024-03-04,10
2024-03-05,10
2024-03-06,13
2024-03-07,11
2024-03-08,10
2024-03-09,19
2024-03-10,38
2024-03-11,100
2024-03-12,53
2024-03-13,31
2024-03-14,15
2024-03-15,14
2024-03-16,15
2024-03-17,12
2024-03-18,9
2024-03-19,14
2024-03-20,9
2024-03-21,10
2024-03-22,10
2024-03-23,12
2024-03-24,12
2024-03-25,10
2024-03-26,8
2024-03-27,8
2024-03-28,9
2024-03-29,9
2024-03-30,15
2024-03-31,11
2024-04-01,11
2024-04-02,10
2024-04-03,8
2024-04-04,6
2024-04-05,7
2024-04-06,8
2024-04-07,9
2024-04-08,7
2024-04-09,7
2024-04-10,7
2024-04-11,7
2024-04-12,8
2024-04-13,8
2024-04-14,9
2024-04-15,7
2024-04-16,8
2024-04-17,8
2024-04-18,7
2024-04-19,9
2024-04-20,13
2024-04-21,10
2024-04-22,7
2024-04-23,9
2024-04-24,7
2024-04-25,7
2024-04-26,6
2024-04-27,7
2024-04-28,9
2024-04-29,7
2024-04-30,7
2024-05-01,6
2024-05-02,5
2024-05-03,7
2024-05-04,8
2024-05-05,7
2024-05-06,6
2024-05-07,6
2024-05-08,7
2024-05-09,8
2024-05-10,7
2024-05-11,12
2024-05-12,15
2024-05-13,9
2024-05-14,7
2024-05-15,5
2024-05-16,6
2024-05-17,6
2024-05-18,7
2024-05-19,8
2024-05-20,6
2024-05-21,6
2024-05-22,7
2024-05-23,7
2024-05-24,8
2024-05-25,8
2024-05-26,11
2024-05-27,10
2024-05-28,6
2024-05-29,6
2024-05-30,11
2024-05-31,32
2024-06-01,16
2024-06-02,11
2024-06-03,9
2024-06-04,13
2024-06-05,12
2024-06-06,10
2024-06-07,9
2024-06-08,9
2024-06-09,11
2024-06-10,8
2024-06-11,13
2024-06-12,6
2024-06-13,6
2024-06-14,7
2024-06-15,9
2024-06-16,10
2024-06-17,6
2024-06-18,8
2024-06-19,9
2024-06-20,9
2024-06-21,12
2024-06-22,10
2024-06-23,11
2024-06-24,12
2024-06-25,13
2024-06-26,14
2024-06-27,19
2024-06-28,16
2024-06-29,28
2024-06-30,26
2024-07-01,20
2024-07-02,23
2024-07-03,19
2024-07-04,25
2024-07-05,18
2024-07-06,23
2024-07-07,28
2024-07-08,20
2024-07-09,17
2024-07-10,17
2024-07-11,18
2024-07-12,17
2024-07-13,20
2024-07-14,16
2024-07-15,13
2024-07-16,12
2024-07-17,16
2024-07-18,20
2024-07-19,16
2024-07-20,20
2024-07-21,22
2024-07-22,14
2024-07-23,13
2024-07-24,13
2024-07-25,25
2024-07-26,22
2024-07-27,21
2024-07-28,16
2024-07-29,13
2024-07-30,13
2024-07-31,16
2024-08-01,21
2024-08-02,31
2024-08-03,26
2024-08-04,18
2024-08-05,15
2024-08-06,15
2024-08-07,14
2024-08-08,15
2024-08-09,22
2024-08-10,25
2024-08-11,22
2024-08-12,25
2024-08-13,27
2024-08-14,15
2024-08-15,14
2024-08-16,13
2024-08-17,18
2024-08-18,19
2024-08-19,12
2024-08-20,9
2024-08-21,12
2024-08-22,11
2024-08-23,11
2024-08-24,12
2024-08-25,15
2024-08-26,13
2024-08-27,9
2024-08-28,12
2024-08-29,10
2024-08-30,8
2024-08-31,15
2024-09-01,17
2024-09-02,14
2024-09-03,10
2024-09-04,12
2024-09-05,11
2024-09-06,9
2024-09-07,12
2024-09-08,14
2024-09-09,16
2024-09-10,15
2024-09-11,10
2024-09-12,12
2024-09-13,10
2024-09-14,13
2024-09-15,13
2024-09-16,17
