Time,football today
2023-04-26,1
2023-04-27,1
2023-04-28,1
2023-04-29,1
2023-04-30,1
2023-05-01,1
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,1
2023-05-06,1
2023-05-07,1
2023-05-08,0
2023-05-09,0
2023-05-10,0
2023-05-11,0
2023-05-12,1
2023-05-13,1
2023-05-14,1
2023-05-15,0
2023-05-16,0
2023-05-17,0
2023-05-18,0
2023-05-19,0
2023-05-20,1
2023-05-21,1
2023-05-22,0
2023-05-23,0
2023-05-24,0
2023-05-25,0
2023-05-26,0
2023-05-27,1
2023-05-28,1
2023-05-29,0
2023-05-30,0
2023-05-31,0
2023-06-01,0
2023-06-02,0
2023-06-03,1
2023-06-04,1
2023-06-05,1
2023-06-06,0
2023-06-07,0
2023-06-08,0
2023-06-09,0
2023-06-10,1
2023-06-11,1
2023-06-12,1
2023-06-13,0
2023-06-14,0
2023-06-15,1
2023-06-16,1
2023-06-17,1
2023-06-18,1
2023-06-19,1
2023-06-20,0
2023-06-21,1
2023-06-22,0
2023-06-23,0
2023-06-24,1
2023-06-25,1
2023-06-26,0
2023-06-27,0
2023-06-28,1
2023-06-29,0
2023-06-30,0
2023-07-01,1
2023-07-02,1
2023-07-03,1
2023-07-04,1
2023-07-05,1
2023-07-06,0
2023-07-07,0
2023-07-08,1
2023-07-09,1
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,1
2023-07-14,0
2023-07-15,1
2023-07-16,1
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,1
2023-07-21,1
2023-07-22,1
2023-07-23,1
2023-07-24,0
2023-07-25,1
2023-07-26,1
2023-07-27,1
2023-07-28,1
2023-07-29,1
2023-07-30,1
2023-07-31,1
2023-08-01,2
2023-08-02,1
2023-08-03,2
2023-08-04,2
2023-08-05,2
2023-08-06,3
2023-08-07,1
2023-08-08,1
2023-08-09,1
2023-08-10,2
2023-08-11,2
2023-08-12,6
2023-08-13,9
2023-08-14,2
2023-08-15,1
2023-08-16,1
2023-08-17,2
2023-08-18,2
2023-08-19,8
2023-08-20,10
2023-08-21,3
2023-08-22,2
2023-08-23,1
2023-08-24,3
2023-08-25,4
2023-08-26,27
2023-08-27,18
2023-08-28,4
2023-08-29,2
2023-08-30,2
2023-08-31,8
2023-09-01,14
2023-09-02,67
2023-09-03,51
2023-09-04,19
2023-09-05,6
2023-09-06,3
2023-09-07,9
2023-09-08,11
2023-09-09,78
2023-09-10,64
2023-09-11,12
2023-09-12,7
2023-09-13,3
2023-09-14,7
2023-09-15,10
2023-09-16,75
2023-09-17,66
2023-09-18,12
2023-09-19,8
2023-09-20,3
2023-09-21,7
2023-09-22,10
2023-09-23,71
2023-09-24,56
2023-09-25,12
2023-09-26,6
2023-09-27,3
2023-09-28,7
2023-09-29,9
2023-09-30,67
2023-10-01,54
2023-10-02,11
2023-10-03,5
2023-10-04,3
2023-10-05,7
2023-10-06,9
2023-10-07,68
2023-10-08,54
2023-10-09,12
2023-10-10,6
2023-10-11,3
2023-10-12,7
2023-10-13,10
2023-10-14,65
2023-10-15,47
2023-10-16,10
2023-10-17,6
2023-10-18,3
2023-10-19,6
2023-10-20,9
2023-10-21,61
2023-10-22,46
2023-10-23,9
2023-10-24,6
2023-10-25,3
2023-10-26,6
2023-10-27,8
2023-10-28,59
2023-10-29,41
2023-10-30,9
2023-10-31,5
2023-11-01,3
2023-11-02,5
2023-11-03,8
2023-11-04,59
2023-11-05,45
2023-11-06,9
2023-11-07,5
2023-11-08,3
2023-11-09,5
2023-11-10,9
2023-11-11,55
2023-11-12,45
2023-11-13,9
2023-11-14,5
2023-11-15,3
2023-11-16,5
2023-11-17,7
2023-11-18,56
2023-11-19,41
2023-11-20,9
2023-11-21,6
2023-11-22,5
2023-11-23,59
2023-11-24,52
2023-11-25,68
2023-11-26,49
2023-11-27,10
2023-11-28,5
2023-11-29,3
2023-11-30,4
2023-12-01,9
2023-12-02,59
2023-12-03,52
2023-12-04,11
2023-12-05,6
2023-12-06,2
2023-12-07,4
2023-12-08,5
2023-12-09,33
2023-12-10,28
2023-12-11,11
2023-12-12,6
2023-12-13,2
2023-12-14,4
2023-12-15,6
2023-12-16,29
2023-12-17,30
2023-12-18,9
2023-12-19,7
2023-12-20,4
2023-12-21,6
2023-12-22,10
2023-12-23,33
2023-12-24,39
2023-12-25,53
2023-12-26,22
2023-12-27,13
2023-12-28,17
2023-12-29,27
2023-12-30,59
2023-12-31,56
2024-01-01,100
2024-01-02,39
2024-01-03,4
2024-01-04,5
2024-01-05,6
2024-01-06,30
2024-01-07,39
2024-01-08,21
2024-01-09,18
2024-01-10,2
2024-01-11,3
2024-01-12,4
2024-01-13,47
2024-01-14,86
2024-01-15,47
2024-01-16,20
2024-01-17,3
2024-01-18,3
2024-01-19,4
2024-01-20,57
