Time,patrick mahomes
2023-04-26,6
2023-04-27,8
2023-04-28,16
2023-04-29,11
2023-04-30,6
2023-05-01,5
2023-05-02,7
2023-05-03,18
2023-05-04,15
2023-05-05,14
2023-05-06,17
2023-05-07,14
2023-05-08,14
2023-05-09,8
2023-05-10,7
2023-05-11,5
2023-05-12,6
2023-05-13,5
2023-05-14,6
2023-05-15,5
2023-05-16,5
2023-05-17,5
2023-05-18,5
2023-05-19,5
2023-05-20,4
2023-05-21,4
2023-05-22,4
2023-05-23,4
2023-05-24,4
2023-05-25,5
2023-05-26,5
2023-05-27,5
2023-05-28,5
2023-05-29,4
2023-05-30,4
2023-05-31,4
2023-06-01,3
2023-06-02,4
2023-06-03,5
2023-06-04,5
2023-06-05,5
2023-06-06,6
2023-06-07,10
2023-06-08,6
2023-06-09,5
2023-06-10,5
2023-06-11,5
2023-06-12,5
2023-06-13,5
2023-06-14,5
2023-06-15,6
2023-06-16,10
2023-06-17,7
2023-06-18,6
2023-06-19,4
2023-06-20,5
2023-06-21,6
2023-06-22,5
2023-06-23,5
2023-06-24,5
2023-06-25,5
2023-06-26,4
2023-06-27,4
2023-06-28,4
2023-06-29,6
2023-06-30,11
2023-07-01,5
2023-07-02,5
2023-07-03,6
2023-07-04,5
2023-07-05,4
2023-07-06,4
2023-07-07,4
2023-07-08,6
2023-07-09,7
2023-07-10,6
2023-07-11,13
2023-07-12,16
2023-07-13,24
2023-07-14,21
2023-07-15,29
2023-07-16,38
2023-07-17,23
2023-07-18,19
2023-07-19,19
2023-07-20,18
2023-07-21,20
2023-07-22,23
2023-07-23,25
2023-07-24,16
2023-07-25,14
2023-07-26,14
2023-07-27,12
2023-07-28,11
2023-07-29,14
2023-07-30,14
2023-07-31,10
2023-08-01,9
2023-08-02,9
2023-08-03,9
2023-08-04,9
2023-08-05,10
2023-08-06,19
2023-08-07,11
2023-08-08,10
2023-08-09,8
2023-08-10,8
2023-08-11,10
2023-08-12,13
2023-08-13,21
2023-08-14,12
2023-08-15,13
2023-08-16,12
2023-08-17,9
2023-08-18,10
2023-08-19,11
2023-08-20,14
2023-08-21,9
2023-08-22,9
2023-08-23,8
2023-08-24,8
2023-08-25,12
2023-08-26,13
2023-08-27,13
2023-08-28,12
2023-08-29,11
2023-08-30,9
2023-08-31,9
2023-09-01,9
2023-09-02,10
2023-09-03,18
2023-09-04,13
2023-09-05,10
2023-09-06,11
2023-09-07,25
2023-09-08,72
2023-09-09,15
2023-09-10,20
2023-09-11,13
2023-09-12,13
2023-09-13,10
2023-09-14,9
2023-09-15,10
2023-09-16,10
2023-09-17,39
2023-09-18,17
2023-09-19,16
2023-09-20,10
2023-09-21,9
2023-09-22,12
2023-09-23,10
2023-09-24,45
2023-09-25,34
2023-09-26,19
2023-09-27,13
2023-09-28,12
2023-09-29,13
2023-09-30,12
2023-10-01,24
2023-10-02,61
2023-10-03,16
2023-10-04,11
2023-10-05,10
2023-10-06,11
2023-10-07,10
2023-10-08,28
2023-10-09,16
2023-10-10,10
2023-10-11,9
2023-10-12,20
2023-10-13,37
2023-10-14,11
2023-10-15,14
2023-10-16,10
2023-10-17,10
2023-10-18,8
2023-10-19,9
2023-10-20,10
2023-10-21,10
2023-10-22,40
2023-10-23,26
2023-10-24,16
2023-10-25,10
2023-10-26,10
2023-10-27,11
2023-10-28,12
2023-10-29,38
2023-10-30,25
2023-10-31,12
2023-11-01,8
2023-11-02,8
2023-11-03,8
2023-11-04,9
2023-11-05,29
2023-11-06,12
2023-11-07,8
2023-11-08,7
2023-11-09,8
2023-11-10,9
2023-11-11,9
2023-11-12,12
2023-11-13,10
2023-11-14,12
2023-11-15,14
2023-11-16,15
2023-11-17,10
2023-11-18,9
2023-11-19,12
2023-11-20,18
2023-11-21,50
2023-11-22,10
2023-11-23,13
2023-11-24,13
2023-11-25,10
2023-11-26,20
2023-11-27,14
2023-11-28,9
2023-11-29,8
2023-11-30,8
2023-12-01,8
2023-12-02,9
2023-12-03,13
2023-12-04,33
2023-12-05,10
2023-12-06,7
2023-12-07,7
2023-12-08,8
2023-12-09,9
2023-12-10,22
2023-12-11,85
2023-12-12,32
2023-12-13,19
2023-12-14,13
2023-12-15,10
2023-12-16,10
2023-12-17,30
2023-12-18,16
2023-12-19,11
2023-12-20,8
2023-12-21,8
2023-12-22,9
2023-12-23,9
2023-12-24,13
2023-12-25,61
2023-12-26,28
2023-12-27,13
2023-12-28,11
2023-12-29,13
2023-12-30,14
2023-12-31,26
2024-01-01,21
2024-01-02,11
2024-01-03,9
2024-01-04,14
2024-01-05,11
2024-01-06,10
2024-01-07,20
2024-01-08,14
2024-01-09,8
2024-01-10,8
2024-01-11,7
2024-01-12,7
2024-01-13,21
2024-01-14,100
2024-01-15,29
2024-01-16,21
2024-01-17,13
2024-01-18,12
2024-01-19,14
2024-01-20,23
