Time,chase bank
2022-08-29,73
2022-08-30,73
2022-08-31,76
2022-09-01,87
2022-09-02,99
2022-09-03,94
2022-09-04,45
2022-09-05,50
2022-09-06,83
2022-09-07,80
2022-09-08,71
2022-09-09,80
2022-09-10,79
2022-09-11,42
2022-09-12,69
2022-09-13,70
2022-09-14,70
2022-09-15,73
2022-09-16,79
2022-09-17,70
2022-09-18,41
2022-09-19,66
2022-09-20,72
2022-09-21,69
2022-09-22,68
2022-09-23,77
2022-09-24,76
2022-09-25,43
2022-09-26,67
2022-09-27,67
2022-09-28,61
2022-09-29,64
2022-09-30,95
2022-10-01,90
2022-10-02,47
2022-10-03,83
2022-10-04,75
2022-10-05,71
2022-10-06,65
2022-10-07,92
2022-10-08,79
2022-10-09,45
2022-10-10,88
2022-10-11,72
2022-10-12,71
2022-10-13,76
2022-10-14,92
2022-10-15,77
2022-10-16,43
2022-10-17,72
2022-10-18,66
2022-10-19,66
2022-10-20,65
2022-10-21,78
2022-10-22,72
2022-10-23,40
2022-10-24,68
2022-10-25,64
2022-10-26,66
2022-10-27,63
2022-10-28,78
2022-10-29,65
2022-10-30,42
2022-10-31,70
2022-11-01,80
2022-11-02,73
2022-11-03,68
2022-11-04,84
2022-11-05,75
2022-11-06,40
2022-11-07,67
2022-11-08,61
2022-11-09,56
2022-11-10,70
2022-11-11,85
2022-11-12,80
2022-11-13,41
2022-11-14,72
2022-11-15,69
2022-11-16,62
2022-11-17,64
2022-11-18,71
2022-11-19,68
2022-11-20,41
2022-11-21,61
2022-11-22,66
2022-11-23,71
2022-11-24,41
2022-11-25,71
2022-11-26,61
2022-11-27,41
2022-11-28,61
2022-11-29,58
2022-11-30,62
2022-12-01,72
2022-12-02,78
2022-12-03,78
2022-12-04,45
2022-12-05,68
2022-12-06,71
2022-12-07,61
2022-12-08,64
2022-12-09,75
2022-12-10,68
2022-12-11,42
2022-12-12,66
2022-12-13,66
2022-12-14,64
2022-12-15,65
2022-12-16,74
2022-12-17,74
2022-12-18,39
2022-12-19,66
2022-12-20,70
2022-12-21,68
2022-12-22,73
2022-12-23,90
2022-12-24,69
2022-12-25,30
2022-12-26,77
2022-12-27,74
2022-12-28,75
2022-12-29,75
2022-12-30,98
2022-12-31,82
2023-01-01,45
2023-01-02,89
2023-01-03,83
2023-01-04,82
2023-01-05,68
2023-01-06,74
2023-01-07,74
2023-01-08,43
2023-01-09,67
2023-01-10,65
2023-01-11,66
2023-01-12,62
2023-01-13,79
2023-01-14,75
2023-01-15,44
2023-01-16,59
2023-01-17,75
2023-01-18,69
2023-01-19,67
2023-01-20,75
2023-01-21,77
2023-01-22,44
2023-01-23,67
2023-01-24,66
2023-01-25,65
2023-01-26,62
2023-01-27,82
2023-01-28,74
2023-01-29,43
2023-01-30,64
2023-01-31,68
2023-02-01,77
2023-02-02,75
2023-02-03,85
2023-02-04,90
2023-02-05,47
2023-02-06,68
2023-02-07,65
2023-02-08,59
2023-02-09,66
2023-02-10,74
2023-02-11,73
2023-02-12,42
2023-02-13,60
2023-02-14,61
2023-02-15,67
2023-02-16,66
2023-02-17,78
2023-02-18,75
2023-02-19,44
2023-02-20,69
2023-02-21,76
2023-02-22,70
2023-02-23,73
2023-02-24,78
2023-02-25,76
2023-02-26,45
2023-02-27,70
2023-02-28,77
2023-03-01,78
2023-03-02,76
2023-03-03,83
2023-03-04,77
2023-03-05,46
2023-03-06,70
2023-03-07,69
2023-03-08,69
2023-03-09,67
2023-03-10,87
2023-03-11,91
2023-03-12,56
2023-03-13,94
2023-03-14,92
2023-03-15,87
2023-03-16,85
2023-03-17,85
2023-03-18,74
2023-03-19,48
2023-03-20,76
2023-03-21,75
2023-03-22,67
2023-03-23,69
2023-03-24,81
2023-03-25,73
2023-03-26,49
2023-03-27,68
2023-03-28,70
2023-03-29,65
2023-03-30,70
2023-03-31,86
2023-04-01,83
2023-04-02,50
2023-04-03,80
2023-04-04,75
2023-04-05,77
2023-04-06,78
2023-04-07,100
2023-04-08,72
2023-04-09,41
2023-04-10,77
2023-04-11,71
2023-04-12,64
2023-04-13,68
2023-04-14,83
2023-04-15,71
2023-04-16,45
2023-04-17,78
2023-04-18,74
2023-04-19,68
2023-04-20,68
2023-04-21,74
2023-04-22,68
2023-04-23,45
2023-04-24,69
2023-04-25,65
2023-04-26,66
2023-04-27,64
2023-04-28,76
2023-04-29,82
2023-04-30,45
2023-05-01,91
2023-05-02,84
2023-05-03,80
2023-05-04,75
2023-05-05,81
2023-05-06,71
2023-05-07,45
2023-05-08,69
2023-05-09,66
2023-05-10,65
2023-05-11,64
2023-05-12,73
2023-05-13,71
2023-05-14,40
2023-05-15,73
2023-05-16,71
2023-05-17,64
2023-05-18,67
2023-05-19,79
2023-05-20,74
2023-05-21,45
2023-05-22,68
2023-05-23,67
2023-05-24,70
2023-05-25,71
