Time,chase bank
2023-12-22,74
2023-12-23,69
2023-12-24,37
2023-12-25,29
2023-12-26,66
2023-12-27,69
2023-12-28,70
2023-12-29,82
2023-12-30,74
2023-12-31,40
2024-01-01,48
2024-01-02,71
2024-01-03,77
2024-01-04,67
2024-01-05,72
2024-01-06,63
2024-01-07,38
2024-01-08,57
2024-01-09,58
2024-01-10,61
2024-01-11,59
2024-01-12,66
2024-01-13,63
2024-01-14,37
2024-01-15,51
2024-01-16,58
2024-01-17,55
2024-01-18,58
2024-01-19,62
2024-01-20,64
2024-01-21,37
2024-01-22,56
2024-01-23,57
2024-01-24,60
2024-01-25,60
2024-01-26,66
2024-01-27,61
2024-01-28,35
2024-01-29,55
2024-01-30,57
2024-01-31,61
2024-02-01,65
2024-02-02,81
2024-02-03,68
2024-02-04,42
2024-02-05,55
2024-02-06,58
2024-02-07,54
2024-02-08,54
2024-02-09,62
2024-02-10,65
2024-02-11,39
2024-02-12,53
2024-02-13,55
2024-02-14,55
2024-02-15,57
2024-02-16,66
2024-02-17,64
2024-02-18,40
2024-02-19,60
2024-02-20,62
2024-02-21,63
2024-02-22,59
2024-02-23,63
2024-02-24,66
2024-02-25,38
2024-02-26,57
2024-02-27,56
2024-02-28,56
2024-02-29,65
2024-03-01,72
2024-03-02,72
2024-03-03,41
2024-03-04,63
2024-03-05,61
2024-03-06,61
2024-03-07,59
2024-03-08,67
2024-03-09,58
2024-03-10,38
2024-03-11,58
2024-03-12,58
2024-03-13,58
2024-03-14,51
2024-03-15,60
2024-03-16,60
2024-03-17,40
2024-03-18,57
2024-03-19,58
2024-03-20,54
2024-03-21,59
2024-03-22,59
2024-03-23,58
2024-03-24,37
2024-03-25,57
2024-03-26,53
2024-03-27,57
2024-03-28,63
2024-03-29,79
2024-03-30,68
2024-03-31,34
2024-04-01,71
2024-04-02,62
2024-04-03,57
2024-04-04,63
2024-04-05,65
2024-04-06,61
2024-04-07,37
2024-04-08,53
2024-04-09,59
2024-04-10,59
2024-04-11,52
2024-04-12,62
2024-04-13,63
2024-04-14,39
2024-04-15,58
2024-04-16,62
2024-04-17,59
2024-04-18,58
2024-04-19,68
2024-04-20,57
2024-04-21,36
2024-04-22,57
2024-04-23,52
2024-04-24,84
2024-04-25,71
2024-04-26,75
2024-04-27,63
2024-04-28,35
2024-04-29,60
2024-04-30,60
2024-05-01,60
2024-05-02,58
2024-05-03,67
2024-05-04,63
2024-05-05,37
2024-05-06,57
2024-05-07,52
2024-05-08,56
2024-05-09,56
2024-05-10,60
2024-05-11,62
2024-05-12,31
2024-05-13,56
2024-05-14,60
2024-05-15,56
2024-05-16,59
2024-05-17,69
2024-05-18,61
2024-05-19,34
2024-05-20,60
2024-05-21,59
2024-05-22,59
2024-05-23,53
2024-05-24,61
2024-05-25,64
2024-05-26,33
2024-05-27,40
2024-05-28,67
2024-05-29,72
2024-05-30,65
2024-05-31,70
2024-06-01,75
2024-06-02,43
2024-06-03,66
2024-06-04,65
2024-06-05,63
2024-06-06,64
2024-06-07,71
2024-06-08,63
2024-06-09,37
2024-06-10,64
2024-06-11,62
2024-06-12,58
2024-06-13,58
2024-06-14,70
2024-06-15,68
2024-06-16,36
2024-06-17,63
2024-06-18,62
2024-06-19,71
2024-06-20,64
2024-06-21,70
2024-06-22,64
2024-06-23,36
2024-06-24,61
2024-06-25,61
2024-06-26,58
2024-06-27,58
2024-06-28,67
2024-06-29,64
2024-06-30,40
2024-07-01,78
2024-07-02,68
2024-07-03,72
2024-07-04,50
2024-07-05,75
2024-07-06,71
2024-07-07,65
2024-07-08,77
2024-07-09,62
2024-07-10,58
2024-07-11,63
2024-07-12,68
2024-07-13,62
2024-07-14,34
2024-07-15,63
2024-07-16,61
2024-07-17,60
2024-07-18,63
2024-07-19,74
2024-07-20,76
2024-07-21,38
2024-07-22,62
2024-07-23,61
2024-07-24,62
2024-07-25,60
2024-07-26,64
2024-07-27,62
2024-07-28,37
2024-07-29,64
2024-07-30,64
2024-07-31,62
2024-08-01,64
2024-08-02,70
2024-08-03,69
2024-08-04,38
2024-08-05,69
2024-08-06,60
2024-08-07,60
2024-08-08,60
2024-08-09,67
2024-08-10,61
2024-08-11,38
2024-08-12,66
2024-08-13,64
2024-08-14,59
2024-08-15,63
2024-08-16,66
2024-08-17,60
2024-08-18,39
2024-08-19,59
2024-08-20,56
2024-08-21,58
2024-08-22,60
2024-08-23,63
2024-08-24,61
2024-08-25,38
2024-08-26,59
2024-08-27,60
2024-08-28,55
2024-08-29,54
2024-08-30,92
2024-08-31,100
2024-09-01,81
2024-09-02,69
2024-09-03,85
2024-09-04,82
2024-09-05,70
2024-09-06,66
2024-09-07,66
2024-09-08,41
2024-09-09,60
2024-09-10,60
2024-09-11,64
2024-09-12,62
2024-09-13,68
2024-09-14,64
2024-09-15,37
2024-09-16,55
