cluster,rank_within_cluster,term,mean_within_cluster_mindist
1,1,nba scores,24.439307354004
1,2,lightning game,24.90757765368497
1,3,golden state warriors,25.277660153982072
1,4,colorado avalanche,25.423338929472784
1,5,boston celtics,25.47141199058106
2,1,english to spanish,16.447283993142296
2,2,spanish to english,16.447283993142296
2,3,google,16.547201436563675
2,4,translate,16.56522067995677
2,5,timer,16.737075514182273
3,1,outlook email,19.97423255680329
3,2,outlook,20.407677430134903
3,3,yahoo,20.619000852291144
3,4,msn,20.653794213611192
3,5,email,20.68516215201223
4,1,yahoo finance,20.850246975071
4,2,cnbc,20.927855987542475
4,3,google finance,20.966771667057856
4,4,djia,21.44279365119178
4,5,dow jones today,21.515031057022295
5,1,ncaa basketball,19.375543289166114
5,2,ncaa men's basketball,20.030538883009545
5,3,college basketball,20.170878586645273
5,4,ncaa basketball scores,20.45676466693228
5,5,college basketball scores,20.4796723119008
6,1,election,19.051992575355634
6,2,poll results,20.59478435273142
6,3,election live,20.85004701241965
6,4,live election,20.85004701241965
6,5,election news,21.44771535951462
7,1,green bay packers,22.476157288625686
7,2,packers,22.67105292981507
7,3,dallas cowboys,22.81913342838035
7,4,pittsburgh steelers,23.37332570661244
7,5,chicago bears,23.375138464568625
8,1,petsmart,17.722736874816054
8,2,liquor store near me,18.20933477940347
8,3,dollar general,18.840089589157017
8,4,costco,19.052826622844805
8,5,sams club,19.110526026291506
9,1,yankees,25.567834134215357
9,2,new york yankees,25.893357738510687
9,3,mlb scores,26.026484601045436
9,4,spirit halloween,26.28256365128982
9,5,dodgers,26.73504009724549
10,1,food near me,19.83112606806901
10,2,restaurants near me,19.99262006113199
10,3,movies near me,20.04298361191322
10,4,dominos,20.151235301597854
10,5,papa johns,20.344290906050272
