cluster,topic_entropy_bits,dominant_bert_cluster,dominant_share,dominant_semantic_category
7,0.24229218908241482,1,0.96,Tournaments
2,0.6434149067106802,5,0.8695652173913043,Elections
9,1.4221150670625433,9,0.6382978723404256,Finance
3,1.428897902987479,2,0.65,Teams
1,1.4920548777143248,8,0.7528089887640449,News
4,1.7045733714562588,2,0.5,Teams
6,1.7257086529367696,8,0.4125,News
5,1.880190804004968,6,0.3888888888888889,Retail
10,2.229764864533283,8,0.48863636363636365,News
8,2.4090009768140357,8,0.4318936877076412,News
