sax_cluster,1,2,3,4,5,6,7,8,9,10
1,0.033707865168539325,0.0449438202247191,0.011235955056179775,0.056179775280898875,0.033707865168539325,0.011235955056179775,0.0,0.7528089887640449,0.011235955056179775,0.0449438202247191
2,0.0,0.0,0.0,0.021739130434782608,0.8695652173913043,0.0,0.0,0.10869565217391304,0.0,0.0
3,0.075,0.65,0.0,0.2,0.0,0.0,0.0,0.075,0.0,0.0
4,0.29310344827586204,0.5,0.017241379310344827,0.15517241379310345,0.0,0.0,0.0,0.034482758620689655,0.0,0.0
5,0.0,0.0,0.013888888888888888,0.06944444444444445,0.0,0.3888888888888889,0.0,0.3194444444444444,0.0,0.20833333333333334
6,0.0,0.0,0.0,0.0375,0.0,0.3,0.0,0.4125,0.0,0.25
7,0.96,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.016611295681063124,0.10299003322259136,0.08637873754152824,0.15614617940199335,0.006644518272425249,0.009966777408637873,0.04983388704318937,0.4318936877076412,0.0,0.13953488372093023
9,0.0,0.0,0.02127659574468085,0.0425531914893617,0.0,0.0,0.0,0.2553191489361702,0.6382978723404256,0.0425531914893617
10,0.10227272727272728,0.011363636363636364,0.10227272727272728,0.17045454545454544,0.0,0.0,0.056818181818181816,0.48863636363636365,0.056818181818181816,0.011363636363636364
