Time,white lotus
2023-04-26,38
2023-04-27,34
2023-04-28,34
2023-04-29,44
2023-04-30,51
2023-05-01,37
2023-05-02,36
2023-05-03,29
2023-05-04,29
2023-05-05,33
2023-05-06,36
2023-05-07,38
2023-05-08,32
2023-05-09,27
2023-05-10,26
2023-05-11,28
2023-05-12,27
2023-05-13,31
2023-05-14,35
2023-05-15,27
2023-05-16,27
2023-05-17,26
2023-05-18,24
2023-05-19,23
2023-05-20,34
2023-05-21,38
2023-05-22,27
2023-05-23,26
2023-05-24,27
2023-05-25,30
2023-05-26,31
2023-05-27,46
2023-05-28,45
2023-05-29,44
2023-05-30,31
2023-05-31,33
2023-06-01,33
2023-06-02,31
2023-06-03,40
2023-06-04,43
2023-06-05,33
2023-06-06,32
2023-06-07,30
2023-06-08,30
2023-06-09,29
2023-06-10,33
2023-06-11,40
2023-06-12,33
2023-06-13,30
2023-06-14,28
2023-06-15,27
2023-06-16,33
2023-06-17,40
2023-06-18,44
2023-06-19,33
2023-06-20,31
2023-06-21,31
2023-06-22,25
2023-06-23,26
2023-06-24,33
2023-06-25,38
2023-06-26,31
2023-06-27,27
2023-06-28,25
2023-06-29,26
2023-06-30,25
2023-07-01,28
2023-07-02,35
2023-07-03,31
2023-07-04,34
2023-07-05,26
2023-07-06,27
2023-07-07,26
2023-07-08,29
2023-07-09,36
2023-07-10,26
2023-07-11,25
2023-07-12,39
2023-07-13,45
2023-07-14,36
2023-07-15,40
2023-07-16,46
2023-07-17,34
2023-07-18,28
2023-07-19,30
2023-07-20,28
2023-07-21,25
2023-07-22,32
2023-07-23,34
2023-07-24,29
2023-07-25,26
2023-07-26,23
2023-07-27,24
2023-07-28,25
2023-07-29,33
2023-07-30,33
2023-07-31,30
2023-08-01,26
2023-08-02,24
2023-08-03,23
2023-08-04,25
2023-08-05,28
2023-08-06,29
2023-08-07,26
2023-08-08,21
2023-08-09,23
2023-08-10,25
2023-08-11,23
2023-08-12,27
2023-08-13,30
2023-08-14,23
2023-08-15,23
2023-08-16,23
2023-08-17,22
2023-08-18,23
2023-08-19,27
2023-08-20,28
2023-08-21,23
2023-08-22,23
2023-08-23,20
2023-08-24,22
2023-08-25,22
2023-08-26,26
2023-08-27,44
2023-08-28,24
2023-08-29,22
2023-08-30,19
2023-08-31,23
2023-09-01,20
2023-09-02,22
2023-09-03,24
2023-09-04,27
2023-09-05,21
2023-09-06,18
2023-09-07,18
2023-09-08,19
2023-09-09,28
2023-09-10,21
2023-09-11,20
2023-09-12,17
2023-09-13,20
2023-09-14,17
2023-09-15,21
2023-09-16,30
2023-09-17,32
2023-09-18,24
2023-09-19,22
2023-09-20,20
2023-09-21,18
2023-09-22,21
2023-09-23,73
2023-09-24,45
2023-09-25,24
2023-09-26,24
2023-09-27,23
2023-09-28,21
2023-09-29,21
2023-09-30,22
2023-10-01,23
2023-10-02,17
2023-10-03,17
2023-10-04,15
2023-10-05,17
2023-10-06,18
2023-10-07,20
2023-10-08,22
2023-10-09,17
2023-10-10,19
2023-10-11,22
2023-10-12,21
2023-10-13,19
2023-10-14,23
2023-10-15,24
2023-10-16,18
2023-10-17,17
2023-10-18,19
2023-10-19,23
2023-10-20,20
2023-10-21,25
2023-10-22,25
2023-10-23,19
2023-10-24,18
2023-10-25,17
2023-10-26,18
2023-10-27,20
2023-10-28,24
2023-10-29,24
2023-10-30,20
2023-10-31,20
2023-11-01,16
2023-11-02,17
2023-11-03,21
2023-11-04,22
2023-11-05,22
2023-11-06,18
2023-11-07,18
2023-11-08,22
2023-11-09,25
2023-11-10,22
2023-11-11,25
2023-11-12,23
2023-11-13,22
2023-11-14,30
2023-11-15,21
2023-11-16,18
2023-11-17,19
2023-11-18,24
2023-11-19,25
2023-11-20,22
2023-11-21,22
2023-11-22,27
2023-11-23,30
2023-11-24,25
2023-11-25,31
2023-11-26,29
2023-11-27,21
2023-11-28,21
2023-11-29,20
2023-11-30,19
2023-12-01,16
2023-12-02,23
2023-12-03,27
2023-12-04,21
2023-12-05,23
2023-12-06,23
2023-12-07,20
2023-12-08,19
2023-12-09,22
2023-12-10,21
2023-12-11,23
2023-12-12,20
2023-12-13,20
2023-12-14,22
2023-12-15,24
2023-12-16,25
2023-12-17,27
2023-12-18,18
2023-12-19,19
2023-12-20,19
2023-12-21,22
2023-12-22,23
2023-12-23,24
2023-12-24,23
2023-12-25,28
2023-12-26,25
2023-12-27,27
2023-12-28,24
2023-12-29,26
2023-12-30,31
2023-12-31,34
2024-01-01,29
2024-01-02,29
2024-01-03,25
2024-01-04,26
2024-01-05,57
2024-01-06,91
2024-01-07,62
2024-01-08,41
2024-01-09,34
2024-01-10,39
2024-01-11,32
2024-01-12,34
2024-01-13,44
2024-01-14,46
2024-01-15,38
2024-01-16,100
2024-01-17,72
2024-01-18,48
2024-01-19,36
2024-01-20,47
