Time,s&p 500
2025-04-15,90
2025-04-16,87
2025-04-17,87
2025-04-18,52
2025-04-19,18
2025-04-20,16
2025-04-21,96
2025-04-22,91
2025-04-23,82
2025-04-24,65
2025-04-25,60
2025-04-26,20
2025-04-27,16
2025-04-28,64
2025-04-29,61
2025-04-30,68
2025-05-01,63
2025-05-02,66
2025-05-03,24
2025-05-04,18
2025-05-05,60
2025-05-06,56
2025-05-07,59
2025-05-08,65
2025-05-09,58
2025-05-10,18
2025-05-11,16
2025-05-12,100
2025-05-13,78
2025-05-14,64
2025-05-15,58
2025-05-16,58
2025-05-17,19
2025-05-18,14
2025-05-19,67
2025-05-20,57
2025-05-21,55
2025-05-22,56
2025-05-23,56
2025-05-24,17
2025-05-25,11
2025-05-26,16
2025-05-27,58
2025-05-28,54
2025-05-29,69
2025-05-30,57
2025-05-31,18
2025-06-01,13
2025-06-02,52
2025-06-03,59
2025-06-04,54
2025-06-05,61
2025-06-06,71
2025-06-07,21
2025-06-08,16
2025-06-09,58
2025-06-10,58
2025-06-11,59
2025-06-12,57
2025-06-13,62
2025-06-14,17
2025-06-15,14
2025-06-16,55
2025-06-17,67
2025-06-18,56
2025-06-19,33
2025-06-20,47
2025-06-21,15
2025-06-22,20
2025-06-23,62
2025-06-24,63
2025-06-25,55
2025-06-26,60
2025-06-27,68
2025-06-28,23
2025-06-29,20
2025-06-30,61
2025-07-01,62
2025-07-02,63
2025-07-03,65
2025-07-04,27
2025-07-05,21
2025-07-06,21
2025-07-07,59
2025-07-08,62
2025-07-09,58
2025-07-10,56
2025-07-11,56
2025-07-12,20
2025-07-13,17
2025-07-14,57
2025-07-15,62
2025-07-16,58
2025-07-17,68
2025-07-18,60
2025-07-19,34
2025-07-20,35
2025-07-21,69
2025-07-22,66
2025-07-23,66
2025-07-24,69
2025-07-25,70
2025-07-26,32
2025-07-27,35
2025-07-28,70
2025-07-29,74
2025-07-30,89
2025-07-31,84
2025-08-01,87
2025-08-02,26
2025-08-03,20
2025-08-04,69
2025-08-05,71
2025-08-06,63
2025-08-07,66
2025-08-08,66
2025-08-09,31
2025-08-10,28
2025-08-11,62
2025-08-12,67
2025-08-13,65
2025-08-14,66
2025-08-15,58
2025-08-16,22
2025-08-17,18
2025-08-18,60
2025-08-19,57
2025-08-20,67
2025-08-21,60
2025-08-22,65
2025-08-23,23
2025-08-24,18
2025-08-25,52
2025-08-26,57
2025-08-27,53
2025-08-28,55
2025-08-29,51
2025-08-30,19
2025-08-31,15
2025-09-01,20
2025-09-02,55
2025-09-03,57
2025-09-04,53
2025-09-05,64
2025-09-06,21
2025-09-07,16
2025-09-08,56
2025-09-09,54
2025-09-10,56
2025-09-11,53
2025-09-12,48
2025-09-13,15
2025-09-14,11
2025-09-15,50
2025-09-16,56
2025-09-17,60
2025-09-18,59
2025-09-19,56
2025-09-20,21
2025-09-21,16
2025-09-22,52
2025-09-23,56
2025-09-24,59
2025-09-25,53
2025-09-26,57
2025-09-27,20
2025-09-28,15
2025-09-29,50
2025-09-30,53
2025-10-01,61
2025-10-02,57
2025-10-03,55
2025-10-04,16
2025-10-05,12
2025-10-06,54
2025-10-07,55
2025-10-08,59
2025-10-09,53
2025-10-10,66
2025-10-11,33
2025-10-12,22
2025-10-13,65
2025-10-14,61
2025-10-15,62
2025-10-16,55
2025-10-17,57
2025-10-18,19
2025-10-19,15
2025-10-20,55
2025-10-21,60
2025-10-22,53
2025-10-23,54
2025-10-24,57
2025-10-25,17
2025-10-26,17
2025-10-27,57
2025-10-28,60
2025-10-29,68
2025-10-30,66
2025-10-31,73
2025-11-01,25
2025-11-02,21
2025-11-03,60
2025-11-04,59
2025-11-05,64
2025-11-06,59
2025-11-07,69
2025-11-08,25
2025-11-09,22
2025-11-10,58
2025-11-11,63
2025-11-12,60
2025-11-13,65
2025-11-14,67
2025-11-15,25
2025-11-16,21
2025-11-17,59
2025-11-18,65
2025-11-19,69
2025-11-20,74
2025-11-21,75
2025-11-22,29
2025-11-23,21
2025-11-24,65
2025-11-25,65
2025-11-26,66
2025-11-27,31
2025-11-28,47
2025-11-29,25
2025-11-30,26
2025-12-01,60
2025-12-02,66
2025-12-03,63
2025-12-04,62
2025-12-05,63
2025-12-06,31
2025-12-07,25
2025-12-08,60
2025-12-09,60
2025-12-10,58
2025-12-11,67
2025-12-12,61
2025-12-13,30
2025-12-14,22
2025-12-15,57
2025-12-16,56
2025-12-17,64
2025-12-18,63
2025-12-19,59
2025-12-20,27
2025-12-21,22
2025-12-22,55
2025-12-23,59
2025-12-24,54
2025-12-25,25
2025-12-26,60
2025-12-27,29
2025-12-28,26
2025-12-29,63
2025-12-30,57
2025-12-31,59
2026-01-01,33
2026-01-02,60
2026-01-03,33
2026-01-04,29
2026-01-05,62
2026-01-06,66
2026-01-07,63
2026-01-08,58
2026-01-09,57
