Time,s&p 500
2023-04-26,64
2023-04-27,65
2023-04-28,62
2023-04-29,22
2023-04-30,16
2023-05-01,64
2023-05-02,65
2023-05-03,69
2023-05-04,63
2023-05-05,64
2023-05-06,20
2023-05-07,15
2023-05-08,63
2023-05-09,60
2023-05-10,63
2023-05-11,59
2023-05-12,55
2023-05-13,19
2023-05-14,12
2023-05-15,57
2023-05-16,60
2023-05-17,62
2023-05-18,65
2023-05-19,64
2023-05-20,20
2023-05-21,16
2023-05-22,60
2023-05-23,63
2023-05-24,62
2023-05-25,64
2023-05-26,65
2023-05-27,20
2023-05-28,16
2023-05-29,19
2023-05-30,66
2023-05-31,62
2023-06-01,71
2023-06-02,73
2023-06-03,23
2023-06-04,19
2023-06-05,70
2023-06-06,70
2023-06-07,68
2023-06-08,70
2023-06-09,70
2023-06-10,23
2023-06-11,16
2023-06-12,70
2023-06-13,78
2023-06-14,84
2023-06-15,85
2023-06-16,73
2023-06-17,23
2023-06-18,15
2023-06-19,33
2023-06-20,62
2023-06-21,62
2023-06-22,64
2023-06-23,59
2023-06-24,19
2023-06-25,14
2023-06-26,60
2023-06-27,64
2023-06-28,65
2023-06-29,64
2023-06-30,67
2023-07-01,24
2023-07-02,17
2023-07-03,52
2023-07-04,22
2023-07-05,63
2023-07-06,67
2023-07-07,66
2023-07-08,20
2023-07-09,17
2023-07-10,61
2023-07-11,67
2023-07-12,75
2023-07-13,75
2023-07-14,75
2023-07-15,22
2023-07-16,16
2023-07-17,67
2023-07-18,77
2023-07-19,80
2023-07-20,72
2023-07-21,67
2023-07-22,21
2023-07-23,16
2023-07-24,67
2023-07-25,73
2023-07-26,72
2023-07-27,77
2023-07-28,75
2023-07-29,24
2023-07-30,16
2023-07-31,67
2023-08-01,72
2023-08-02,72
2023-08-03,68
2023-08-04,67
2023-08-05,23
2023-08-06,15
2023-08-07,69
2023-08-08,74
2023-08-09,67
2023-08-10,65
2023-08-11,62
2023-08-12,21
2023-08-13,17
2023-08-14,62
2023-08-15,67
2023-08-16,68
2023-08-17,68
2023-08-18,66
2023-08-19,19
2023-08-20,17
2023-08-21,60
2023-08-22,65
2023-08-23,63
2023-08-24,62
2023-08-25,63
2023-08-26,20
2023-08-27,15
2023-08-28,69
2023-08-29,71
2023-08-30,69
2023-08-31,66
2023-09-01,61
2023-09-02,21
2023-09-03,15
2023-09-04,18
2023-09-05,60
2023-09-06,57
2023-09-07,58
2023-09-08,56
2023-09-09,17
2023-09-10,14
2023-09-11,54
2023-09-12,57
2023-09-13,58
2023-09-14,58
2023-09-15,55
2023-09-16,20
2023-09-17,14
2023-09-18,51
2023-09-19,56
2023-09-20,60
2023-09-21,64
2023-09-22,62
2023-09-23,19
2023-09-24,15
2023-09-25,57
2023-09-26,62
2023-09-27,66
2023-09-28,63
2023-09-29,61
2023-09-30,21
2023-10-01,14
2023-10-02,61
2023-10-03,73
2023-10-04,71
2023-10-05,61
2023-10-06,66
2023-10-07,20
2023-10-08,15
2023-10-09,60
2023-10-10,67
2023-10-11,61
2023-10-12,62
2023-10-13,57
2023-10-14,18
2023-10-15,16
2023-10-16,58
2023-10-17,62
2023-10-18,60
2023-10-19,61
2023-10-20,59
2023-10-21,20
2023-10-22,16
2023-10-23,58
2023-10-24,61
2023-10-25,64
2023-10-26,67
2023-10-27,64
2023-10-28,25
2023-10-29,17
2023-10-30,62
2023-10-31,66
2023-11-01,68
2023-11-02,68
2023-11-03,72
2023-11-04,22
2023-11-05,16
2023-11-06,62
2023-11-07,62
2023-11-08,62
2023-11-09,61
2023-11-10,61
2023-11-11,24
2023-11-12,16
2023-11-13,59
2023-11-14,82
2023-11-15,81
2023-11-16,69
2023-11-17,66
2023-11-18,22
2023-11-19,15
2023-11-20,66
2023-11-21,67
2023-11-22,65
2023-11-23,24
2023-11-24,40
2023-11-25,20
2023-11-26,16
2023-11-27,59
2023-11-28,67
2023-11-29,68
2023-11-30,71
2023-12-01,75
2023-12-02,27
2023-12-03,19
2023-12-04,62
2023-12-05,71
2023-12-06,62
2023-12-07,65
2023-12-08,71
2023-12-09,25
2023-12-10,17
2023-12-11,66
2023-12-12,70
2023-12-13,83
2023-12-14,100
2023-12-15,82
2023-12-16,28
2023-12-17,19
2023-12-18,76
2023-12-19,85
2023-12-20,92
2023-12-21,89
2023-12-22,82
2023-12-23,28
2023-12-24,18
2023-12-25,17
2023-12-26,73
2023-12-27,88
2023-12-28,85
2023-12-29,83
2023-12-30,39
2023-12-31,24
2024-01-01,26
2024-01-02,80
2024-01-03,81
2024-01-04,80
2024-01-05,75
2024-01-06,30
2024-01-07,23
2024-01-08,74
2024-01-09,77
2024-01-10,77
2024-01-11,80
2024-01-12,70
2024-01-13,28
2024-01-14,19
2024-01-15,30
2024-01-16,65
2024-01-17,70
2024-01-18,72
2024-01-19,87
2024-01-20,37
