Time,s&p 500
2025-12-11,60
2025-12-12,54
2025-12-13,27
2025-12-14,20
2025-12-15,51
2025-12-16,50
2025-12-17,57
2025-12-18,57
2025-12-19,52
2025-12-20,24
2025-12-21,20
2025-12-22,49
2025-12-23,53
2025-12-24,48
2025-12-25,23
2025-12-26,53
2025-12-27,26
2025-12-28,23
2025-12-29,56
2025-12-30,51
2025-12-31,53
2026-01-01,29
2026-01-02,53
2026-01-03,30
2026-01-04,26
2026-01-05,55
2026-01-06,59
2026-01-07,56
2026-01-08,51
2026-01-09,51
2026-01-10,26
2026-01-11,23
2026-01-12,55
2026-01-13,56
2026-01-14,49
2026-01-15,56
2026-01-16,52
2026-01-17,25
2026-01-18,22
2026-01-19,34
2026-01-20,68
2026-01-21,73
2026-01-22,59
2026-01-23,53
2026-01-24,25
2026-01-25,26
2026-01-26,50
2026-01-27,55
2026-01-28,64
2026-01-29,64
2026-01-30,61
2026-01-31,34
2026-02-01,32
2026-02-02,59
2026-02-03,76
2026-02-04,61
2026-02-05,71
2026-02-06,69
2026-02-07,34
2026-02-08,27
2026-02-09,56
2026-02-10,57
2026-02-11,58
2026-02-12,59
2026-02-13,59
2026-02-14,33
2026-02-15,32
2026-02-16,42
2026-02-17,53
2026-02-18,49
2026-02-19,50
2026-02-20,58
2026-02-21,32
2026-02-22,31
2026-02-23,61
2026-02-24,69
2026-02-25,61
2026-02-26,58
2026-02-27,56
2026-02-28,28
2026-03-01,27
2026-03-02,85
2026-03-03,90
2026-03-04,71
2026-03-05,74
2026-03-06,78
2026-03-07,38
2026-03-08,36
2026-03-09,96
2026-03-10,66
2026-03-11,62
2026-03-12,64
2026-03-13,66
2026-03-14,39
2026-03-15,32
2026-03-16,64
2026-03-17,60
2026-03-18,73
2026-03-19,74
2026-03-20,81
2026-03-21,41
2026-03-22,34
2026-03-23,81
2026-03-24,66
2026-03-25,65
2026-03-26,71
2026-03-27,78
2026-03-28,42
2026-03-29,39
2026-03-30,78
2026-03-31,84
2026-04-01,72
2026-04-02,79
2026-04-03,46
2026-04-04,24
2026-04-05,25
2026-04-06,63
2026-04-07,65
2026-04-08,92
2026-04-09,72
2026-04-10,60
2026-04-11,25
2026-04-12,26
2026-04-13,66
2026-04-14,72
2026-04-15,79
2026-04-16,76
2026-04-17,100
2026-04-18,38
2026-04-19,33
2026-04-20,67
2026-04-21,75
2026-04-22,66
2026-04-23,61
2026-04-24,67
2026-04-25,32
2026-04-26,29
2026-04-27,54
2026-04-28,57
2026-04-29,60
2026-04-30,62
2026-05-01,61
2026-05-02,28
2026-05-03,28
2026-05-04,55
2026-05-05,61
2026-05-06,71
2026-05-07,68
2026-05-08,65
2026-05-09,31
2026-05-10,26
2026-05-11,62
2026-05-12,62
2026-05-13,60
2026-05-14,68
2026-05-15,62
2026-05-16,31
2026-05-17,27
2026-05-18,55
2026-05-19,60
2026-05-20,58
2026-05-21,56
2026-05-22,60
2026-05-23,39
2026-05-24,29
2026-05-25,34
2026-05-26,67
2026-05-27,69
2026-05-28,71
2026-05-29,71
2026-05-30,37
2026-05-31,44
