Time,stock market
2023-04-26,50
2023-04-27,43
2023-04-28,44
2023-04-29,17
2023-04-30,18
2023-05-01,46
2023-05-02,52
2023-05-03,50
2023-05-04,49
2023-05-05,46
2023-05-06,18
2023-05-07,22
2023-05-08,44
2023-05-09,41
2023-05-10,46
2023-05-11,43
2023-05-12,39
2023-05-13,15
2023-05-14,17
2023-05-15,45
2023-05-16,41
2023-05-17,43
2023-05-18,43
2023-05-19,40
2023-05-20,16
2023-05-21,14
2023-05-22,42
2023-05-23,49
2023-05-24,49
2023-05-25,45
2023-05-26,46
2023-05-27,18
2023-05-28,18
2023-05-29,31
2023-05-30,43
2023-05-31,45
2023-06-01,43
2023-06-02,48
2023-06-03,20
2023-06-04,17
2023-06-05,42
2023-06-06,41
2023-06-07,46
2023-06-08,38
2023-06-09,42
2023-06-10,16
2023-06-11,15
2023-06-12,42
2023-06-13,45
2023-06-14,51
2023-06-15,46
2023-06-16,46
2023-06-17,21
2023-06-18,24
2023-06-19,100
2023-06-20,44
2023-06-21,40
2023-06-22,36
2023-06-23,40
2023-06-24,18
2023-06-25,16
2023-06-26,39
2023-06-27,45
2023-06-28,39
2023-06-29,41
2023-06-30,46
2023-07-01,21
2023-07-02,26
2023-07-03,91
2023-07-04,23
2023-07-05,39
2023-07-06,47
2023-07-07,41
2023-07-08,17
2023-07-09,13
2023-07-10,39
2023-07-11,40
2023-07-12,41
2023-07-13,41
2023-07-14,45
2023-07-15,16
2023-07-16,14
2023-07-17,41
2023-07-18,44
2023-07-19,43
2023-07-20,42
2023-07-21,42
2023-07-22,16
2023-07-23,13
2023-07-24,40
2023-07-25,41
2023-07-26,42
2023-07-27,49
2023-07-28,44
2023-07-29,17
2023-07-30,15
2023-07-31,40
2023-08-01,42
2023-08-02,50
2023-08-03,46
2023-08-04,44
2023-08-05,17
2023-08-06,15
2023-08-07,40
2023-08-08,43
2023-08-09,44
2023-08-10,40
2023-08-11,38
2023-08-12,15
2023-08-13,15
2023-08-14,41
2023-08-15,44
2023-08-16,45
2023-08-17,50
2023-08-18,45
2023-08-19,23
2023-08-20,19
2023-08-21,48
2023-08-22,48
2023-08-23,46
2023-08-24,53
2023-08-25,44
2023-08-26,19
2023-08-27,19
2023-08-28,41
2023-08-29,48
2023-08-30,42
2023-08-31,42
2023-09-01,39
2023-09-02,15
2023-09-03,16
2023-09-04,26
2023-09-05,38
2023-09-06,38
2023-09-07,39
2023-09-08,34
2023-09-09,15
2023-09-10,15
2023-09-11,39
2023-09-12,36
2023-09-13,39
2023-09-14,38
2023-09-15,39
2023-09-16,16
2023-09-17,15
2023-09-18,35
2023-09-19,43
2023-09-20,41
2023-09-21,50
2023-09-22,45
2023-09-23,17
2023-09-24,16
2023-09-25,39
2023-09-26,46
2023-09-27,45
2023-09-28,46
2023-09-29,42
2023-09-30,17
2023-10-01,16
2023-10-02,44
2023-10-03,51
2023-10-04,49
2023-10-05,46
2023-10-06,54
2023-10-07,24
2023-10-08,35
2023-10-09,78
2023-10-10,44
2023-10-11,42
2023-10-12,44
2023-10-13,38
2023-10-14,15
2023-10-15,15
2023-10-16,42
2023-10-17,40
2023-10-18,41
2023-10-19,43
2023-10-20,45
2023-10-21,19
2023-10-22,17
2023-10-23,49
2023-10-24,44
2023-10-25,44
2023-10-26,51
2023-10-27,44
2023-10-28,20
2023-10-29,17
2023-10-30,46
2023-10-31,43
2023-11-01,45
2023-11-02,47
2023-11-03,44
2023-11-04,18
2023-11-05,17
2023-11-06,48
2023-11-07,42
2023-11-08,44
2023-11-09,51
2023-11-10,53
2023-11-11,20
2023-11-12,18
2023-11-13,43
2023-11-14,49
2023-11-15,52
2023-11-16,45
2023-11-17,44
2023-11-18,18
2023-11-19,17
2023-11-20,45
2023-11-21,45
2023-11-22,58
2023-11-23,34
2023-11-24,72
2023-11-25,17
2023-11-26,16
2023-11-27,41
2023-11-28,44
2023-11-29,43
2023-11-30,45
2023-12-01,45
2023-12-02,21
2023-12-03,16
2023-12-04,43
2023-12-05,45
2023-12-06,42
2023-12-07,44
2023-12-08,43
2023-12-09,20
2023-12-10,16
2023-12-11,41
2023-12-12,43
2023-12-13,57
2023-12-14,62
2023-12-15,51
2023-12-16,22
2023-12-17,17
2023-12-18,46
2023-12-19,48
2023-12-20,69
2023-12-21,57
2023-12-22,59
2023-12-23,20
2023-12-24,18
2023-12-25,23
2023-12-26,52
2023-12-27,43
2023-12-28,48
2023-12-29,53
2023-12-30,24
2023-12-31,18
2024-01-01,32
2024-01-02,61
2024-01-03,50
2024-01-04,46
2024-01-05,42
2024-01-06,19
2024-01-07,15
2024-01-08,44
2024-01-09,45
2024-01-10,43
2024-01-11,46
2024-01-12,44
2024-01-13,21
2024-01-14,22
2024-01-15,60
2024-01-16,39
2024-01-17,46
2024-01-18,41
2024-01-19,45
2024-01-20,23
