Time,stock market
2022-08-29,49
2022-08-30,54
2022-08-31,42
2022-09-01,48
2022-09-02,42
2022-09-03,19
2022-09-04,15
2022-09-05,28
2022-09-06,43
2022-09-07,41
2022-09-08,41
2022-09-09,39
2022-09-10,16
2022-09-11,14
2022-09-12,37
2022-09-13,86
2022-09-14,84
2022-09-15,58
2022-09-16,54
2022-09-17,23
2022-09-18,17
2022-09-19,47
2022-09-20,54
2022-09-21,68
2022-09-22,63
2022-09-23,82
2022-09-24,31
2022-09-25,22
2022-09-26,71
2022-09-27,67
2022-09-28,61
2022-09-29,65
2022-09-30,57
2022-10-01,26
2022-10-02,22
2022-10-03,60
2022-10-04,68
2022-10-05,58
2022-10-06,51
2022-10-07,65
2022-10-08,26
2022-10-09,31
2022-10-10,79
2022-10-11,57
2022-10-12,52
2022-10-13,68
2022-10-14,58
2022-10-15,22
2022-10-16,18
2022-10-17,50
2022-10-18,52
2022-10-19,50
2022-10-20,46
2022-10-21,43
2022-10-22,18
2022-10-23,16
2022-10-24,52
2022-10-25,49
2022-10-26,49
2022-10-27,51
2022-10-28,52
2022-10-29,21
2022-10-30,17
2022-10-31,46
2022-11-01,48
2022-11-02,58
2022-11-03,51
2022-11-04,45
2022-11-05,18
2022-11-06,16
2022-11-07,49
2022-11-08,49
2022-11-09,57
2022-11-10,87
2022-11-11,91
2022-11-12,25
2022-11-13,19
2022-11-14,50
2022-11-15,47
2022-11-16,45
2022-11-17,47
2022-11-18,42
2022-11-19,18
2022-11-20,14
2022-11-21,41
2022-11-22,43
2022-11-23,52
2022-11-24,31
2022-11-25,65
2022-11-26,15
2022-11-27,14
2022-11-28,36
2022-11-29,41
2022-11-30,42
2022-12-01,46
2022-12-02,43
2022-12-03,17
2022-12-04,16
2022-12-05,41
2022-12-06,43
2022-12-07,42
2022-12-08,38
2022-12-09,36
2022-12-10,18
2022-12-11,14
2022-12-12,38
2022-12-13,46
2022-12-14,46
2022-12-15,46
2022-12-16,46
2022-12-17,19
2022-12-18,13
2022-12-19,38
2022-12-20,39
2022-12-21,38
2022-12-22,52
2022-12-23,46
2022-12-24,20
2022-12-25,22
2022-12-26,94
2022-12-27,43
2022-12-28,41
2022-12-29,44
2022-12-30,48
2022-12-31,22
2023-01-01,27
2023-01-02,73
2023-01-03,40
2023-01-04,38
2023-01-05,40
2023-01-06,40
2023-01-07,19
2023-01-08,14
2023-01-09,37
2023-01-10,38
2023-01-11,40
2023-01-12,43
2023-01-13,44
2023-01-14,21
2023-01-15,22
2023-01-16,58
2023-01-17,40
2023-01-18,42
2023-01-19,44
2023-01-20,39
2023-01-21,17
2023-01-22,14
2023-01-23,42
2023-01-24,39
2023-01-25,39
2023-01-26,41
2023-01-27,41
2023-01-28,18
2023-01-29,15
2023-01-30,41
2023-01-31,39
2023-02-01,48
2023-02-02,55
2023-02-03,49
2023-02-04,20
2023-02-05,17
2023-02-06,44
2023-02-07,43
2023-02-08,43
2023-02-09,43
2023-02-10,41
2023-02-11,17
2023-02-12,14
2023-02-13,36
2023-02-14,42
2023-02-15,42
2023-02-16,43
2023-02-17,44
2023-02-18,20
2023-02-19,21
2023-02-20,61
2023-02-21,55
2023-02-22,48
2023-02-23,43
2023-02-24,43
2023-02-25,18
2023-02-26,15
2023-02-27,41
2023-02-28,37
2023-03-01,39
2023-03-02,38
2023-03-03,38
2023-03-04,15
2023-03-05,13
2023-03-06,38
2023-03-07,38
2023-03-08,42
2023-03-09,49
2023-03-10,70
2023-03-11,33
2023-03-12,28
2023-03-13,100
2023-03-14,68
2023-03-15,78
2023-03-16,60
2023-03-17,51
2023-03-18,19
2023-03-19,18
2023-03-20,50
2023-03-21,46
2023-03-22,59
2023-03-23,53
2023-03-24,43
2023-03-25,16
2023-03-26,15
2023-03-27,42
2023-03-28,40
2023-03-29,38
2023-03-30,41
2023-03-31,41
2023-04-01,16
2023-04-02,17
2023-04-03,45
2023-04-04,43
2023-04-05,41
2023-04-06,53
2023-04-07,93
2023-04-08,17
2023-04-09,15
2023-04-10,42
2023-04-11,38
2023-04-12,41
2023-04-13,40
2023-04-14,35
2023-04-15,14
2023-04-16,15
2023-04-17,38
2023-04-18,37
2023-04-19,38
2023-04-20,36
2023-04-21,36
2023-04-22,14
2023-04-23,14
2023-04-24,34
2023-04-25,40
2023-04-26,42
2023-04-27,36
2023-04-28,37
2023-04-29,14
2023-04-30,15
2023-05-01,39
2023-05-02,44
2023-05-03,42
2023-05-04,41
2023-05-05,39
2023-05-06,15
2023-05-07,18
2023-05-08,37
2023-05-09,34
2023-05-10,39
2023-05-11,36
2023-05-12,33
2023-05-13,13
2023-05-14,14
2023-05-15,38
2023-05-16,34
2023-05-17,36
2023-05-18,36
2023-05-19,33
2023-05-20,13
2023-05-21,12
2023-05-22,35
2023-05-23,41
2023-05-24,41
2023-05-25,38
