Time,cory booker
2023-04-26,22
2023-04-27,12
2023-04-28,7
2023-04-29,10
2023-04-30,10
2023-05-01,9
2023-05-02,5
2023-05-03,6
2023-05-04,7
2023-05-05,7
2023-05-06,7
2023-05-07,7
2023-05-08,9
2023-05-09,10
2023-05-10,9
2023-05-11,7
2023-05-12,4
2023-05-13,0
2023-05-14,8
2023-05-15,6
2023-05-16,7
2023-05-17,11
2023-05-18,6
2023-05-19,6
2023-05-20,7
2023-05-21,16
2023-05-22,14
2023-05-23,14
2023-05-24,8
2023-05-25,9
2023-05-26,5
2023-05-27,29
2023-05-28,17
2023-05-29,8
2023-05-30,4
2023-05-31,9
2023-06-01,8
2023-06-02,7
2023-06-03,5
2023-06-04,8
2023-06-05,4
2023-06-06,9
2023-06-07,7
2023-06-08,6
2023-06-09,7
2023-06-10,5
2023-06-11,0
2023-06-12,7
2023-06-13,5
2023-06-14,5
2023-06-15,5
2023-06-16,6
2023-06-17,5
2023-06-18,0
2023-06-19,6
2023-06-20,5
2023-06-21,9
2023-06-22,6
2023-06-23,0
2023-06-24,0
2023-06-25,6
2023-06-26,6
2023-06-27,5
2023-06-28,6
2023-06-29,6
2023-06-30,7
2023-07-01,15
2023-07-02,8
2023-07-03,7
2023-07-04,6
2023-07-05,8
2023-07-06,6
2023-07-07,5
2023-07-08,5
2023-07-09,7
2023-07-10,5
2023-07-11,6
2023-07-12,5
2023-07-13,5
2023-07-14,5
2023-07-15,6
2023-07-16,6
2023-07-17,5
2023-07-18,6
2023-07-19,10
2023-07-20,9
2023-07-21,7
2023-07-22,0
2023-07-23,5
2023-07-24,5
2023-07-25,4
2023-07-26,0
2023-07-27,0
2023-07-28,7
2023-07-29,5
2023-07-30,8
2023-07-31,6
2023-08-01,7
2023-08-02,6
2023-08-03,5
2023-08-04,6
2023-08-05,5
2023-08-06,5
2023-08-07,7
2023-08-08,6
2023-08-09,5
2023-08-10,6
2023-08-11,4
2023-08-12,7
2023-08-13,7
2023-08-14,4
2023-08-15,5
2023-08-16,5
2023-08-17,5
2023-08-18,4
2023-08-19,0
2023-08-20,0
2023-08-21,5
2023-08-22,6
2023-08-23,13
2023-08-24,12
2023-08-25,9
2023-08-26,0
2023-08-27,12
2023-08-28,6
2023-08-29,5
2023-08-30,9
2023-08-31,10
2023-09-01,13
2023-09-02,6
2023-09-03,7
2023-09-04,8
2023-09-05,9
2023-09-06,6
2023-09-07,0
2023-09-08,5
2023-09-09,4
2023-09-10,8
2023-09-11,5
2023-09-12,9
2023-09-13,11
2023-09-14,15
2023-09-15,9
2023-09-16,5
2023-09-17,6
2023-09-18,6
2023-09-19,6
2023-09-20,9
2023-09-21,12
2023-09-22,27
2023-09-23,19
2023-09-24,12
2023-09-25,13
2023-09-26,38
2023-09-27,25
2023-09-28,9
2023-09-29,10
2023-09-30,10
2023-10-01,6
2023-10-02,6
2023-10-03,8
2023-10-04,10
2023-10-05,14
2023-10-06,9
2023-10-07,10
2023-10-08,26
2023-10-09,100
2023-10-10,42
2023-10-11,22
2023-10-12,12
2023-10-13,94
2023-10-14,20
2023-10-15,10
2023-10-16,10
2023-10-17,10
2023-10-18,8
2023-10-19,9
2023-10-20,7
2023-10-21,7
2023-10-22,8
2023-10-23,10
2023-10-24,9
2023-10-25,10
2023-10-26,8
2023-10-27,8
2023-10-28,7
2023-10-29,6
2023-10-30,7
2023-10-31,11
2023-11-01,8
2023-11-02,8
2023-11-03,6
2023-11-04,0
2023-11-05,6
2023-11-06,13
2023-11-07,17
2023-11-08,11
2023-11-09,12
2023-11-10,9
2023-11-11,11
2023-11-12,10
2023-11-13,9
2023-11-14,9
2023-11-15,9
2023-11-16,10
2023-11-17,8
2023-11-18,7
2023-11-19,4
2023-11-20,6
2023-11-21,4
2023-11-22,4
2023-11-23,0
2023-11-24,6
2023-11-25,9
2023-11-26,0
2023-11-27,5
2023-11-28,7
2023-11-29,4
2023-11-30,7
2023-12-01,7
2023-12-02,0
2023-12-03,7
2023-12-04,7
2023-12-05,6
2023-12-06,7
2023-12-07,5
2023-12-08,5
2023-12-09,5
2023-12-10,0
2023-12-11,4
2023-12-12,6
2023-12-13,0
2023-12-14,5
2023-12-15,10
2023-12-16,0
2023-12-17,0
2023-12-18,4
2023-12-19,0
2023-12-20,5
2023-12-21,5
2023-12-22,4
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,6
2023-12-30,7
2023-12-31,5
2024-01-01,6
2024-01-02,9
2024-01-03,16
2024-01-04,12
2024-01-05,14
2024-01-06,12
2024-01-07,15
2024-01-08,9
2024-01-09,9
2024-01-10,7
2024-01-11,10
2024-01-12,6
2024-01-13,10
2024-01-14,8
2024-01-15,10
2024-01-16,10
2024-01-17,5
2024-01-18,7
2024-01-19,7
2024-01-20,0
