Time,bob newhart
2022-01-01,100
2022-01-02,46
2022-01-03,24
2022-01-04,32
2022-01-05,50
2022-01-06,17
2022-01-07,63
2022-01-08,33
2022-01-09,37
2022-01-10,36
2022-01-11,27
2022-01-12,26
2022-01-13,37
2022-01-14,17
2022-01-15,24
2022-01-16,26
2022-01-17,19
2022-01-18,18
2022-01-19,29
2022-01-20,26
2022-01-21,31
2022-01-22,30
2022-01-23,24
2022-01-24,18
2022-01-25,18
2022-01-26,20
2022-01-27,13
2022-01-28,25
2022-01-29,19
2022-01-30,22
2022-01-31,32
2022-02-01,23
2022-02-02,21
2022-02-03,21
2022-02-04,18
2022-02-05,18
2022-02-06,24
2022-02-07,19
2022-02-08,17
2022-02-09,19
2022-02-10,11
2022-02-11,16
2022-02-12,23
2022-02-13,16
2022-02-14,14
2022-02-15,17
2022-02-16,17
2022-02-17,17
2022-02-18,18
2022-02-19,22
2022-02-20,17
2022-02-21,18
2022-02-22,21
2022-02-23,19
2022-02-24,12
2022-02-25,14
2022-02-26,18
2022-02-27,21
2022-02-28,13
2022-03-01,16
2022-03-02,38
2022-03-03,15
2022-03-04,15
2022-03-05,15
2022-03-06,18
2022-03-07,18
2022-03-08,16
2022-03-09,18
2022-03-10,33
2022-03-11,12
2022-03-12,17
2022-03-13,36
2022-03-14,36
2022-03-15,22
2022-03-16,36
2022-03-17,16
2022-03-18,12
2022-03-19,13
2022-03-20,17
2022-03-21,10
2022-03-22,13
2022-03-23,13
2022-03-24,15
2022-03-25,10
2022-03-26,18
2022-03-27,18
2022-03-28,13
2022-03-29,19
2022-03-30,19
2022-03-31,35
2022-04-01,19
2022-04-02,17
2022-04-03,16
2022-04-04,13
2022-04-05,13
2022-04-06,15
2022-04-07,17
2022-04-08,13
2022-04-09,16
2022-04-10,14
2022-04-11,10
2022-04-12,19
2022-04-13,12
2022-04-14,14
2022-04-15,14
2022-04-16,9
2022-04-17,12
2022-04-18,18
2022-04-19,12
2022-04-20,12
2022-04-21,14
2022-04-22,15
2022-04-23,21
2022-04-24,18
2022-04-25,20
2022-04-26,31
2022-04-27,13
2022-04-28,14
2022-04-29,15
2022-04-30,15
2022-05-01,15
2022-05-02,12
2022-05-03,12
2022-05-04,13
2022-05-05,12
2022-05-06,16
2022-05-07,30
2022-05-08,18
2022-05-09,11
2022-05-10,12
2022-05-11,14
2022-05-12,8
2022-05-13,12
2022-05-14,22
2022-05-15,17
2022-05-16,15
2022-05-17,32
2022-05-18,11
2022-05-19,26
2022-05-20,36
2022-05-21,17
2022-05-22,22
2022-05-23,18
2022-05-24,36
2022-05-25,17
2022-05-26,10
2022-05-27,20
2022-05-28,17
2022-05-29,23
2022-05-30,19
2022-05-31,9
2022-06-01,15
2022-06-02,10
2022-06-03,22
2022-06-04,12
2022-06-05,18
2022-06-06,11
2022-06-07,16
2022-06-08,15
2022-06-09,12
2022-06-10,15
2022-06-11,16
2022-06-12,17
2022-06-13,17
2022-06-14,24
2022-06-15,18
2022-06-16,15
2022-06-17,16
2022-06-18,21
2022-06-19,25
2022-06-20,16
2022-06-21,21
2022-06-22,16
2022-06-23,17
2022-06-24,16
2022-06-25,16
2022-06-26,14
2022-06-27,15
2022-06-28,18
2022-06-29,32
2022-06-30,17
2022-07-01,19
2022-07-02,18
2022-07-03,18
2022-07-04,26
2022-07-05,11
2022-07-06,13
2022-07-07,63
2022-07-08,47
2022-07-09,21
2022-07-10,25
2022-07-11,20
2022-07-12,12
2022-07-13,15
2022-07-14,17
2022-07-15,19
2022-07-16,17
2022-07-17,23
2022-07-18,16
2022-07-19,28
2022-07-20,36
2022-07-21,27
2022-07-22,18
2022-07-23,19
2022-07-24,24
2022-07-25,12
2022-07-26,13
2022-07-27,16
2022-07-28,19
2022-07-29,35
2022-07-30,20
2022-07-31,39
2022-08-01,24
2022-08-02,19
2022-08-03,29
2022-08-04,34
2022-08-05,17
2022-08-06,22
2022-08-07,21
2022-08-08,39
2022-08-09,34
2022-08-10,22
2022-08-11,22
2022-08-12,23
2022-08-13,20
2022-08-14,19
2022-08-15,17
2022-08-16,28
2022-08-17,20
2022-08-18,13
2022-08-19,27
2022-08-20,82
2022-08-21,91
2022-08-22,42
2022-08-23,25
2022-08-24,24
2022-08-25,18
2022-08-26,22
2022-08-27,25
2022-08-28,24
2022-08-29,25
2022-08-30,34
2022-08-31,22
2022-09-01,23
2022-09-02,23
2022-09-03,24
2022-09-04,24
2022-09-05,89
2022-09-06,100
2022-09-07,57
2022-09-08,26
2022-09-09,29
2022-09-10,28
2022-09-11,27
2022-09-12,19
2022-09-13,18
2022-09-14,27
2022-09-15,14
2022-09-16,17
2022-09-17,26
2022-09-18,19
2022-09-19,18
2022-09-20,16
2022-09-21,19
2022-09-22,15
2022-09-23,19
2022-09-24,18
2022-09-25,19
2022-09-26,15
2022-09-27,20
