Time,uvalde
2024-08-18,37
2024-08-19,40
2024-08-20,45
2024-08-21,44
2024-08-22,41
2024-08-23,80
2024-08-24,38
2024-08-25,36
2024-08-26,42
2024-08-27,48
2024-08-28,49
2024-08-29,49
2024-08-30,42
2024-08-31,47
2024-09-01,40
2024-09-02,33
2024-09-03,36
2024-09-04,69
2024-09-05,95
2024-09-06,94
2024-09-07,80
2024-09-08,54
2024-09-09,63
2024-09-10,54
2024-09-11,51
2024-09-12,58
2024-09-13,57
2024-09-14,51
2024-09-15,36
2024-09-16,46
2024-09-17,45
2024-09-18,39
2024-09-19,38
2024-09-20,41
2024-09-21,43
2024-09-22,39
2024-09-23,42
2024-09-24,35
2024-09-25,41
2024-09-26,37
2024-09-27,36
2024-09-28,32
2024-09-29,25
2024-09-30,30
2024-10-01,31
2024-10-02,34
2024-10-03,29
2024-10-04,40
2024-10-05,34
2024-10-06,31
2024-10-07,32
2024-10-08,33
2024-10-09,38
2024-10-10,34
2024-10-11,34
2024-10-12,37
2024-10-13,27
2024-10-14,35
2024-10-15,37
2024-10-16,38
2024-10-17,35
2024-10-18,38
2024-10-19,31
2024-10-20,30
2024-10-21,35
2024-10-22,34
2024-10-23,35
2024-10-24,35
2024-10-25,33
2024-10-26,32
2024-10-27,23
2024-10-28,32
2024-10-29,33
2024-10-30,30
2024-10-31,33
2024-11-01,32
2024-11-02,31
2024-11-03,28
2024-11-04,42
2024-11-05,29
2024-11-06,36
2024-11-07,37
2024-11-08,32
2024-11-09,27
2024-11-10,28
2024-11-11,25
2024-11-12,28
2024-11-13,31
2024-11-14,30
2024-11-15,31
2024-11-16,24
2024-11-17,27
2024-11-18,28
2024-11-19,33
2024-11-20,31
2024-11-21,32
2024-11-22,30
2024-11-23,32
2024-11-24,25
2024-11-25,32
2024-11-26,33
2024-11-27,32
2024-11-28,27
2024-11-29,26
2024-11-30,30
2024-12-01,27
2024-12-02,31
2024-12-03,32
2024-12-04,27
2024-12-05,30
2024-12-06,32
2024-12-07,39
2024-12-08,27
2024-12-09,31
2024-12-10,30
2024-12-11,31
2024-12-12,26
2024-12-13,23
2024-12-14,30
2024-12-15,29
2024-12-16,34
2024-12-17,51
2024-12-18,36
2024-12-19,35
2024-12-20,38
2024-12-21,36
2024-12-22,32
2024-12-23,34
2024-12-24,32
2024-12-25,26
2024-12-26,37
2024-12-27,36
2024-12-28,25
2024-12-29,25
2024-12-30,37
2024-12-31,39
2025-01-01,25
2025-01-02,33
2025-01-03,32
2025-01-04,31
2025-01-05,26
2025-01-06,33
2025-01-07,30
2025-01-08,31
2025-01-09,42
2025-01-10,31
2025-01-11,25
2025-01-12,28
2025-01-13,31
2025-01-14,30
2025-01-15,27
2025-01-16,33
2025-01-17,34
2025-01-18,28
2025-01-19,26
2025-01-20,33
2025-01-21,30
2025-01-22,36
2025-01-23,40
2025-01-24,35
2025-01-25,38
2025-01-26,40
2025-01-27,100
2025-01-28,78
2025-01-29,41
2025-01-30,35
2025-01-31,40
2025-02-01,32
2025-02-02,31
2025-02-03,31
2025-02-04,33
2025-02-05,28
2025-02-06,31
2025-02-07,30
2025-02-08,27
2025-02-09,21
2025-02-10,27
2025-02-11,34
2025-02-12,26
2025-02-13,30
2025-02-14,24
2025-02-15,27
2025-02-16,24
2025-02-17,32
2025-02-18,34
2025-02-19,29
2025-02-20,32
2025-02-21,35
2025-02-22,31
2025-02-23,28
2025-02-24,33
2025-02-25,36
2025-02-26,32
2025-02-27,38
2025-02-28,44
2025-03-01,41
2025-03-02,32
2025-03-03,34
2025-03-04,34
2025-03-05,35
2025-03-06,38
2025-03-07,31
2025-03-08,32
2025-03-09,32
2025-03-10,37
2025-03-11,37
2025-03-12,43
2025-03-13,42
2025-03-14,38
2025-03-15,42
2025-03-16,30
2025-03-17,34
2025-03-18,35
2025-03-19,32
2025-03-20,36
2025-03-21,32
2025-03-22,33
2025-03-23,29
2025-03-24,27
2025-03-25,35
2025-03-26,36
2025-03-27,36
2025-03-28,36
2025-03-29,32
2025-03-30,27
2025-03-31,33
2025-04-01,39
2025-04-02,35
2025-04-03,35
2025-04-04,36
2025-04-05,30
2025-04-06,25
2025-04-07,26
2025-04-08,27
2025-04-09,30
2025-04-10,29
2025-04-11,31
2025-04-12,30
2025-04-13,26
2025-04-14,35
2025-04-15,37
2025-04-16,36
2025-04-17,45
2025-04-18,41
2025-04-19,30
2025-04-20,28
2025-04-21,34
2025-04-22,35
2025-04-23,46
2025-04-24,41
2025-04-25,35
2025-04-26,27
2025-04-27,28
2025-04-28,37
2025-04-29,33
2025-04-30,31
2025-05-01,42
2025-05-02,39
2025-05-03,40
2025-05-04,28
2025-05-05,34
2025-05-06,35
2025-05-07,35
2025-05-08,36
2025-05-09,37
2025-05-10,32
2025-05-11,31
2025-05-12,33
2025-05-13,31
2025-05-14,36
