Time,rico charge
2023-12-22,0
2023-12-23,9
2023-12-24,0
2023-12-25,0
2023-12-26,7
2023-12-27,8
2023-12-28,9
2023-12-29,9
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,9
2024-01-04,9
2024-01-05,0
2024-01-06,11
2024-01-07,9
2024-01-08,8
2024-01-09,15
2024-01-10,0
2024-01-11,11
2024-01-12,17
2024-01-13,14
2024-01-14,0
2024-01-15,0
2024-01-16,10
2024-01-17,19
2024-01-18,7
2024-01-19,7
2024-01-20,10
2024-01-21,8
2024-01-22,8
2024-01-23,7
2024-01-24,14
2024-01-25,12
2024-01-26,12
2024-01-27,10
2024-01-28,8
2024-01-29,9
2024-01-30,16
2024-01-31,13
2024-02-01,12
2024-02-02,9
2024-02-03,9
2024-02-04,8
2024-02-05,7
2024-02-06,0
2024-02-07,0
2024-02-08,8
2024-02-09,0
2024-02-10,10
2024-02-11,0
2024-02-12,7
2024-02-13,7
2024-02-14,7
2024-02-15,0
2024-02-16,13
2024-02-17,11
2024-02-18,8
2024-02-19,0
2024-02-20,0
2024-02-21,8
2024-02-22,8
2024-02-23,9
2024-02-24,9
2024-02-25,10
2024-02-26,8
2024-02-27,0
2024-02-28,0
2024-02-29,13
2024-03-01,11
2024-03-02,12
2024-03-03,12
2024-03-04,14
2024-03-05,12
2024-03-06,7
2024-03-07,9
2024-03-08,9
2024-03-09,0
2024-03-10,8
2024-03-11,9
2024-03-12,11
2024-03-13,9
2024-03-14,9
2024-03-15,16
2024-03-16,19
2024-03-17,9
2024-03-18,16
2024-03-19,14
2024-03-20,47
2024-03-21,95
2024-03-22,19
2024-03-23,20
2024-03-24,15
2024-03-25,19
2024-03-26,70
2024-03-27,43
2024-03-28,29
2024-03-29,33
2024-03-30,26
2024-03-31,20
2024-04-01,13
2024-04-02,13
2024-04-03,17
2024-04-04,24
2024-04-05,18
2024-04-06,12
2024-04-07,8
2024-04-08,10
2024-04-09,12
2024-04-10,8
2024-04-11,9
2024-04-12,12
2024-04-13,10
2024-04-14,11
2024-04-15,8
2024-04-16,11
2024-04-17,9
2024-04-18,13
2024-04-19,14
2024-04-20,12
2024-04-21,10
2024-04-22,16
2024-04-23,13
2024-04-24,11
2024-04-25,15
2024-04-26,12
2024-04-27,0
2024-04-28,0
2024-04-29,12
2024-04-30,10
2024-05-01,14
2024-05-02,9
2024-05-03,0
2024-05-04,8
2024-05-05,14
2024-05-06,9
2024-05-07,10
2024-05-08,8
2024-05-09,10
2024-05-10,13
2024-05-11,12
2024-05-12,0
2024-05-13,0
2024-05-14,7
2024-05-15,9
2024-05-16,9
2024-05-17,0
2024-05-18,11
2024-05-19,11
2024-05-20,12
2024-05-21,10
2024-05-22,7
2024-05-23,9
2024-05-24,8
2024-05-25,8
2024-05-26,14
2024-05-27,0
2024-05-28,10
2024-05-29,10
2024-05-30,16
2024-05-31,9
2024-06-01,13
2024-06-02,12
2024-06-03,9
2024-06-04,9
2024-06-05,31
2024-06-06,100
2024-06-07,54
2024-06-08,47
2024-06-09,22
2024-06-10,13
2024-06-11,31
2024-06-12,27
2024-06-13,21
2024-06-14,26
2024-06-15,18
2024-06-16,15
2024-06-17,9
2024-06-18,19
2024-06-19,16
2024-06-20,14
2024-06-21,17
2024-06-22,14
2024-06-23,12
2024-06-24,15
2024-06-25,14
2024-06-26,9
2024-06-27,10
2024-06-28,0
2024-06-29,27
2024-06-30,10
2024-07-01,9
2024-07-02,13
2024-07-03,15
2024-07-04,13
2024-07-05,9
2024-07-06,15
2024-07-07,12
2024-07-08,0
2024-07-09,8
2024-07-10,12
2024-07-11,8
2024-07-12,7
2024-07-13,0
2024-07-14,9
2024-07-15,0
2024-07-16,11
2024-07-17,10
2024-07-18,12
2024-07-19,10
2024-07-20,0
2024-07-21,8
2024-07-22,7
2024-07-23,7
2024-07-24,10
2024-07-25,8
2024-07-26,8
2024-07-27,9
2024-07-28,11
2024-07-29,8
2024-07-30,17
2024-07-31,18
2024-08-01,18
2024-08-02,12
2024-08-03,10
2024-08-04,15
2024-08-05,0
2024-08-06,9
2024-08-07,10
2024-08-08,8
2024-08-09,13
2024-08-10,16
2024-08-11,11
2024-08-12,7
2024-08-13,9
2024-08-14,11
2024-08-15,11
2024-08-16,10
2024-08-17,0
2024-08-18,15
2024-08-19,0
2024-08-20,9
2024-08-21,7
2024-08-22,8
2024-08-23,9
2024-08-24,0
2024-08-25,0
2024-08-26,0
2024-08-27,8
2024-08-28,7
2024-08-29,8
2024-08-30,7
2024-08-31,9
2024-09-01,0
2024-09-02,9
2024-09-03,13
2024-09-04,12
2024-09-05,11
2024-09-06,16
2024-09-07,11
2024-09-08,13
2024-09-09,8
2024-09-10,0
2024-09-11,10
2024-09-12,15
2024-09-13,10
2024-09-14,11
2024-09-15,0
2024-09-16,0
