Time,blue ivy
2023-04-26,2
2023-04-27,2
2023-04-28,2
2023-04-29,2
2023-04-30,2
2023-05-01,1
2023-05-02,2
2023-05-03,2
2023-05-04,1
2023-05-05,2
2023-05-06,2
2023-05-07,2
2023-05-08,2
2023-05-09,2
2023-05-10,2
2023-05-11,3
2023-05-12,3
2023-05-13,3
2023-05-14,4
2023-05-15,2
2023-05-16,2
2023-05-17,3
2023-05-18,2
2023-05-19,2
2023-05-20,3
2023-05-21,2
2023-05-22,2
2023-05-23,2
2023-05-24,2
2023-05-25,2
2023-05-26,10
2023-05-27,100
2023-05-28,46
2023-05-29,41
2023-05-30,44
2023-05-31,38
2023-06-01,35
2023-06-02,34
2023-06-03,15
2023-06-04,22
2023-06-05,21
2023-06-06,23
2023-06-07,14
2023-06-08,17
2023-06-09,19
2023-06-10,20
2023-06-11,17
2023-06-12,12
2023-06-13,9
2023-06-14,16
2023-06-15,8
2023-06-16,14
2023-06-17,15
2023-06-18,13
2023-06-19,12
2023-06-20,9
2023-06-21,9
2023-06-22,7
2023-06-23,9
2023-06-24,12
2023-06-25,11
2023-06-26,8
2023-06-27,7
2023-06-28,6
2023-06-29,7
2023-06-30,6
2023-07-01,7
2023-07-02,7
2023-07-03,8
2023-07-04,13
2023-07-05,11
2023-07-06,8
2023-07-07,6
2023-07-08,8
2023-07-09,9
2023-07-10,5
2023-07-11,5
2023-07-12,5
2023-07-13,11
2023-07-14,14
2023-07-15,16
2023-07-16,17
2023-07-17,10
2023-07-18,11
2023-07-19,8
2023-07-20,6
2023-07-21,11
2023-07-22,10
2023-07-23,8
2023-07-24,9
2023-07-25,7
2023-07-26,7
2023-07-27,9
2023-07-28,9
2023-07-29,9
2023-07-30,16
2023-07-31,25
2023-08-01,21
2023-08-02,20
2023-08-03,16
2023-08-04,14
2023-08-05,13
2023-08-06,18
2023-08-07,15
2023-08-08,12
2023-08-09,9
2023-08-10,13
2023-08-11,11
2023-08-12,16
2023-08-13,19
2023-08-14,11
2023-08-15,10
2023-08-16,12
2023-08-17,12
2023-08-18,12
2023-08-19,13
2023-08-20,12
2023-08-21,10
2023-08-22,13
2023-08-23,12
2023-08-24,10
2023-08-25,12
2023-08-26,14
2023-08-27,14
2023-08-28,12
2023-08-29,10
2023-08-30,9
2023-08-31,11
2023-09-01,9
2023-09-02,13
2023-09-03,15
2023-09-04,16
2023-09-05,19
2023-09-06,19
2023-09-07,14
2023-09-08,12
2023-09-09,12
2023-09-10,11
2023-09-11,8
2023-09-12,7
2023-09-13,6
2023-09-14,6
2023-09-15,8
2023-09-16,9
2023-09-17,10
2023-09-18,6
2023-09-19,6
2023-09-20,5
2023-09-21,6
2023-09-22,9
2023-09-23,8
2023-09-24,12
2023-09-25,12
2023-09-26,11
2023-09-27,12
2023-09-28,15
2023-09-29,13
2023-09-30,11
2023-10-01,11
2023-10-02,12
2023-10-03,13
2023-10-04,10
2023-10-05,9
2023-10-06,8
2023-10-07,10
2023-10-08,9
2023-10-09,7
2023-10-10,6
2023-10-11,7
2023-10-12,6
2023-10-13,6
2023-10-14,7
2023-10-15,7
2023-10-16,6
2023-10-17,5
2023-10-18,5
2023-10-19,5
2023-10-20,4
2023-10-21,4
2023-10-22,5
2023-10-23,4
2023-10-24,4
2023-10-25,3
2023-10-26,4
2023-10-27,7
2023-10-28,8
2023-10-29,6
2023-10-30,5
2023-10-31,5
2023-11-01,5
2023-11-02,4
2023-11-03,4
2023-11-04,4
2023-11-05,4
2023-11-06,3
2023-11-07,2
2023-11-08,2
2023-11-09,3
2023-11-10,2
2023-11-11,4
2023-11-12,3
2023-11-13,2
2023-11-14,3
2023-11-15,3
2023-11-16,3
2023-11-17,2
2023-11-18,3
2023-11-19,3
2023-11-20,4
2023-11-21,3
2023-11-22,4
2023-11-23,5
2023-11-24,5
2023-11-25,4
2023-11-26,7
2023-11-27,13
2023-11-28,8
2023-11-29,5
2023-11-30,5
2023-12-01,13
2023-12-02,15
2023-12-03,11
2023-12-04,7
2023-12-05,5
2023-12-06,5
2023-12-07,4
2023-12-08,4
2023-12-09,5
2023-12-10,6
2023-12-11,3
2023-12-12,3
2023-12-13,4
2023-12-14,3
2023-12-15,3
2023-12-16,4
2023-12-17,4
2023-12-18,3
2023-12-19,3
2023-12-20,3
2023-12-21,2
2023-12-22,3
2023-12-23,4
2023-12-24,3
2023-12-25,3
2023-12-26,3
2023-12-27,5
2023-12-28,5
2023-12-29,3
2023-12-30,4
2023-12-31,4
2024-01-01,3
2024-01-02,3
2024-01-03,3
2024-01-04,2
2024-01-05,3
2024-01-06,4
2024-01-07,7
2024-01-08,5
2024-01-09,4
2024-01-10,4
2024-01-11,3
2024-01-12,3
2024-01-13,3
2024-01-14,3
2024-01-15,3
2024-01-16,3
2024-01-17,3
2024-01-18,3
2024-01-19,3
2024-01-20,4
