Time,the quarry
2025-04-15,57
2025-04-16,54
2025-04-17,49
2025-04-18,58
2025-04-19,70
2025-04-20,61
2025-04-21,63
2025-04-22,51
2025-04-23,54
2025-04-24,56
2025-04-25,66
2025-04-26,65
2025-04-27,66
2025-04-28,66
2025-04-29,54
2025-04-30,58
2025-05-01,53
2025-05-02,66
2025-05-03,61
2025-05-04,69
2025-05-05,51
2025-05-06,57
2025-05-07,50
2025-05-08,51
2025-05-09,65
2025-05-10,75
2025-05-11,69
2025-05-12,65
2025-05-13,57
2025-05-14,51
2025-05-15,49
2025-05-16,54
2025-05-17,70
2025-05-18,80
2025-05-19,54
2025-05-20,68
2025-05-21,59
2025-05-22,60
2025-05-23,63
2025-05-24,71
2025-05-25,76
2025-05-26,88
2025-05-27,75
2025-05-28,66
2025-05-29,68
2025-05-30,79
2025-05-31,82
2025-06-01,94
2025-06-02,76
2025-06-03,64
2025-06-04,62
2025-06-05,69
2025-06-06,72
2025-06-07,76
2025-06-08,96
2025-06-09,67
2025-06-10,60
2025-06-11,67
2025-06-12,65
2025-06-13,68
2025-06-14,72
2025-06-15,84
2025-06-16,74
2025-06-17,63
2025-06-18,71
2025-06-19,63
2025-06-20,61
2025-06-21,74
2025-06-22,79
2025-06-23,85
2025-06-24,81
2025-06-25,72
2025-06-26,68
2025-06-27,75
2025-06-28,79
2025-06-29,83
2025-06-30,62
2025-07-01,62
2025-07-02,61
2025-07-03,71
2025-07-04,89
2025-07-05,84
2025-07-06,86
2025-07-07,70
2025-07-08,79
2025-07-09,76
2025-07-10,78
2025-07-11,79
2025-07-12,99
2025-07-13,100
2025-07-14,93
2025-07-15,76
2025-07-16,91
2025-07-17,80
2025-07-18,85
2025-07-19,90
2025-07-20,94
2025-07-21,88
2025-07-22,76
2025-07-23,61
2025-07-24,76
2025-07-25,81
2025-07-26,89
2025-07-27,94
2025-07-28,94
2025-07-29,87
2025-07-30,82
2025-07-31,74
2025-08-01,77
2025-08-02,95
2025-08-03,82
2025-08-04,60
2025-08-05,78
2025-08-06,65
2025-08-07,62
2025-08-08,74
2025-08-09,81
2025-08-10,90
2025-08-11,61
2025-08-12,64
2025-08-13,71
2025-08-14,62
2025-08-15,58
2025-08-16,67
2025-08-17,83
2025-08-18,60
2025-08-19,67
2025-08-20,58
2025-08-21,60
2025-08-22,64
2025-08-23,78
2025-08-24,73
2025-08-25,61
2025-08-26,65
2025-08-27,52
2025-08-28,63
2025-08-29,61
2025-08-30,72
2025-08-31,66
2025-09-01,78
2025-09-02,61
2025-09-03,58
2025-09-04,51
2025-09-05,58
2025-09-06,63
2025-09-07,71
2025-09-08,57
2025-09-09,62
2025-09-10,56
2025-09-11,56
2025-09-12,56
2025-09-13,63
2025-09-14,61
2025-09-15,49
2025-09-16,61
2025-09-17,58
2025-09-18,57
2025-09-19,67
2025-09-20,64
2025-09-21,50
2025-09-22,59
2025-09-23,46
2025-09-24,57
2025-09-25,56
2025-09-26,64
2025-09-27,65
2025-09-28,63
2025-09-29,50
2025-09-30,52
2025-10-01,51
2025-10-02,60
2025-10-03,46
2025-10-04,68
2025-10-05,86
2025-10-06,63
2025-10-07,54
2025-10-08,58
2025-10-09,60
2025-10-10,60
2025-10-11,75
2025-10-12,67
2025-10-13,69
2025-10-14,73
2025-10-15,47
2025-10-16,56
2025-10-17,67
2025-10-18,74
2025-10-19,84
2025-10-20,87
2025-10-21,74
2025-10-22,69
2025-10-23,63
2025-10-24,67
2025-10-25,81
2025-10-26,77
2025-10-27,70
2025-10-28,60
2025-10-29,56
2025-10-30,63
2025-10-31,55
2025-11-01,65
2025-11-02,69
2025-11-03,61
2025-11-04,65
2025-11-05,59
2025-11-06,50
2025-11-07,62
2025-11-08,61
2025-11-09,69
2025-11-10,60
2025-11-11,57
2025-11-12,50
2025-11-13,56
2025-11-14,50
2025-11-15,62
2025-11-16,55
2025-11-17,55
2025-11-18,53
2025-11-19,49
2025-11-20,49
2025-11-21,53
2025-11-22,69
2025-11-23,84
2025-11-24,62
2025-11-25,60
2025-11-26,63
2025-11-27,59
2025-11-28,66
2025-11-29,70
2025-11-30,78
2025-12-01,63
2025-12-02,54
2025-12-03,57
2025-12-04,50
2025-12-05,48
2025-12-06,61
2025-12-07,63
2025-12-08,53
2025-12-09,49
2025-12-10,52
2025-12-11,45
2025-12-12,60
2025-12-13,58
2025-12-14,75
2025-12-15,53
2025-12-16,60
2025-12-17,55
2025-12-18,52
2025-12-19,60
2025-12-20,66
2025-12-21,65
2025-12-22,67
2025-12-23,74
2025-12-24,62
2025-12-25,75
2025-12-26,67
2025-12-27,71
2025-12-28,79
2025-12-29,76
2025-12-30,74
2025-12-31,76
2026-01-01,75
2026-01-02,82
2026-01-03,83
2026-01-04,72
2026-01-05,66
2026-01-06,57
2026-01-07,52
2026-01-08,63
2026-01-09,57
