Time,the quarry
2022-08-29,86
2022-08-30,80
2022-08-31,73
2022-09-01,77
2022-09-02,76
2022-09-03,87
2022-09-04,100
2022-09-05,100
2022-09-06,64
2022-09-07,73
2022-09-08,97
2022-09-09,79
2022-09-10,89
2022-09-11,88
2022-09-12,78
2022-09-13,65
2022-09-14,53
2022-09-15,52
2022-09-16,53
2022-09-17,73
2022-09-18,72
2022-09-19,54
2022-09-20,45
2022-09-21,49
2022-09-22,50
2022-09-23,54
2022-09-24,61
2022-09-25,61
2022-09-26,50
2022-09-27,44
2022-09-28,38
2022-09-29,42
2022-09-30,45
2022-10-01,57
2022-10-02,57
2022-10-03,46
2022-10-04,47
2022-10-05,50
2022-10-06,43
2022-10-07,42
2022-10-08,99
2022-10-09,55
2022-10-10,46
2022-10-11,44
2022-10-12,41
2022-10-13,41
2022-10-14,43
2022-10-15,62
2022-10-16,54
2022-10-17,44
2022-10-18,36
2022-10-19,35
2022-10-20,38
2022-10-21,41
2022-10-22,55
2022-10-23,56
2022-10-24,51
2022-10-25,45
2022-10-26,44
2022-10-27,53
2022-10-28,42
2022-10-29,62
2022-10-30,67
2022-10-31,52
2022-11-01,46
2022-11-02,38
2022-11-03,41
2022-11-04,40
2022-11-05,50
2022-11-06,56
2022-11-07,38
2022-11-08,40
2022-11-09,29
2022-11-10,35
2022-11-11,40
2022-11-12,48
2022-11-13,41
2022-11-14,32
2022-11-15,30
2022-11-16,36
2022-11-17,33
2022-11-18,40
2022-11-19,49
2022-11-20,62
2022-11-21,48
2022-11-22,45
2022-11-23,40
2022-11-24,50
2022-11-25,63
2022-11-26,68
2022-11-27,67
2022-11-28,51
2022-11-29,45
2022-11-30,32
2022-12-01,41
2022-12-02,34
2022-12-03,44
2022-12-04,50
2022-12-05,38
2022-12-06,39
2022-12-07,34
2022-12-08,33
2022-12-09,34
2022-12-10,44
2022-12-11,47
2022-12-12,33
2022-12-13,35
2022-12-14,28
2022-12-15,35
2022-12-16,36
2022-12-17,45
2022-12-18,40
2022-12-19,41
2022-12-20,39
2022-12-21,41
2022-12-22,39
2022-12-23,42
2022-12-24,50
2022-12-25,50
2022-12-26,75
2022-12-27,72
2022-12-28,64
2022-12-29,65
2022-12-30,58
2022-12-31,62
2023-01-01,61
2023-01-02,62
2023-01-03,50
2023-01-04,45
2023-01-05,42
2023-01-06,39
2023-01-07,51
2023-01-08,56
2023-01-09,43
2023-01-10,36
2023-01-11,35
2023-01-12,41
2023-01-13,43
2023-01-14,42
2023-01-15,45
2023-01-16,40
2023-01-17,36
2023-01-18,33
2023-01-19,35
2023-01-20,35
2023-01-21,49
2023-01-22,45
2023-01-23,33
2023-01-24,32
2023-01-25,32
2023-01-26,33
2023-01-27,29
2023-01-28,39
2023-01-29,46
2023-01-30,34
2023-01-31,33
2023-02-01,33
2023-02-02,31
2023-02-03,37
2023-02-04,42
2023-02-05,54
2023-02-06,33
2023-02-07,31
2023-02-08,30
2023-02-09,28
2023-02-10,31
2023-02-11,36
2023-02-12,37
2023-02-13,25
2023-02-14,32
2023-02-15,36
2023-02-16,36
2023-02-17,35
2023-02-18,51
2023-02-19,45
2023-02-20,46
2023-02-21,49
2023-02-22,64
2023-02-23,60
2023-02-24,58
2023-02-25,76
2023-02-26,86
2023-02-27,64
2023-02-28,51
2023-03-01,46
2023-03-02,50
2023-03-03,50
2023-03-04,63
2023-03-05,78
2023-03-06,53
2023-03-07,49
2023-03-08,44
2023-03-09,45
2023-03-10,46
2023-03-11,70
2023-03-12,75
2023-03-13,47
2023-03-14,50
2023-03-15,47
2023-03-16,59
2023-03-17,58
2023-03-18,63
2023-03-19,55
2023-03-20,53
2023-03-21,47
2023-03-22,43
2023-03-23,46
2023-03-24,43
2023-03-25,49
2023-03-26,65
2023-03-27,51
2023-03-28,43
2023-03-29,35
2023-03-30,39
2023-03-31,38
2023-04-01,58
2023-04-02,54
2023-04-03,40
2023-04-04,35
2023-04-05,39
2023-04-06,44
2023-04-07,55
2023-04-08,58
2023-04-09,52
2023-04-10,47
2023-04-11,39
2023-04-12,37
2023-04-13,37
2023-04-14,34
2023-04-15,48
2023-04-16,51
2023-04-17,36
2023-04-18,44
2023-04-19,39
2023-04-20,32
2023-04-21,36
2023-04-22,47
2023-04-23,46
2023-04-24,36
2023-04-25,36
2023-04-26,30
2023-04-27,35
2023-04-28,35
2023-04-29,51
2023-04-30,53
2023-05-01,38
2023-05-02,35
2023-05-03,38
2023-05-04,33
2023-05-05,35
2023-05-06,43
2023-05-07,49
2023-05-08,40
2023-05-09,31
2023-05-10,41
2023-05-11,36
2023-05-12,35
2023-05-13,41
2023-05-14,53
2023-05-15,35
2023-05-16,32
2023-05-17,33
2023-05-18,33
2023-05-19,37
2023-05-20,47
2023-05-21,54
2023-05-22,38
2023-05-23,36
2023-05-24,34
2023-05-25,39
