Time,red sox
2023-12-22,12
2023-12-23,10
2023-12-24,8
2023-12-25,7
2023-12-26,8
2023-12-27,8
2023-12-28,8
2023-12-29,8
2023-12-30,14
2023-12-31,12
2024-01-01,9
2024-01-02,8
2024-01-03,9
2024-01-04,9
2024-01-05,9
2024-01-06,9
2024-01-07,9
2024-01-08,8
2024-01-09,8
2024-01-10,8
2024-01-11,8
2024-01-12,8
2024-01-13,8
2024-01-14,8
2024-01-15,7
2024-01-16,7
2024-01-17,7
2024-01-18,7
2024-01-19,7
2024-01-20,8
2024-01-21,8
2024-01-22,7
2024-01-23,7
2024-01-24,7
2024-01-25,7
2024-01-26,7
2024-01-27,6
2024-01-28,7
2024-01-29,6
2024-01-30,8
2024-01-31,7
2024-02-01,7
2024-02-02,8
2024-02-03,7
2024-02-04,7
2024-02-05,7
2024-02-06,6
2024-02-07,8
2024-02-08,7
2024-02-09,7
2024-02-10,7
2024-02-11,7
2024-02-12,6
2024-02-13,7
2024-02-14,8
2024-02-15,8
2024-02-16,8
2024-02-17,8
2024-02-18,9
2024-02-19,9
2024-02-20,9
2024-02-21,9
2024-02-22,9
2024-02-23,11
2024-02-24,14
2024-02-25,17
2024-02-26,13
2024-02-27,11
2024-02-28,11
2024-02-29,11
2024-03-01,11
2024-03-02,12
2024-03-03,13
2024-03-04,11
2024-03-05,12
2024-03-06,11
2024-03-07,12
2024-03-08,10
2024-03-09,10
2024-03-10,13
2024-03-11,10
2024-03-12,10
2024-03-13,11
2024-03-14,10
2024-03-15,9
2024-03-16,13
2024-03-17,14
2024-03-18,12
2024-03-19,12
2024-03-20,11
2024-03-21,10
2024-03-22,11
2024-03-23,13
2024-03-24,14
2024-03-25,11
2024-03-26,14
2024-03-27,13
2024-03-28,24
2024-03-29,53
2024-03-30,42
2024-03-31,56
2024-04-01,24
2024-04-02,33
2024-04-03,45
2024-04-04,21
2024-04-05,20
2024-04-06,48
2024-04-07,55
2024-04-08,23
2024-04-09,63
2024-04-10,31
2024-04-11,39
2024-04-12,42
2024-04-13,42
2024-04-14,39
2024-04-15,44
2024-04-16,23
2024-04-17,33
2024-04-18,39
2024-04-19,23
2024-04-20,39
2024-04-21,35
2024-04-22,19
2024-04-23,23
2024-04-24,25
2024-04-25,32
2024-04-26,22
2024-04-27,46
2024-04-28,42
2024-04-29,35
2024-04-30,22
2024-05-01,29
2024-05-02,39
2024-05-03,19
2024-05-04,36
2024-05-05,31
2024-05-06,17
2024-05-07,18
2024-05-08,26
2024-05-09,23
2024-05-10,19
2024-05-11,34
2024-05-12,36
2024-05-13,19
2024-05-14,24
2024-05-15,30
2024-05-16,25
2024-05-17,25
2024-05-18,29
2024-05-19,38
2024-05-20,19
2024-05-21,25
2024-05-22,26
2024-05-23,25
2024-05-24,25
2024-05-25,43
2024-05-26,32
2024-05-27,33
2024-05-28,19
2024-05-29,26
2024-05-30,26
2024-05-31,29
2024-06-01,38
2024-06-02,36
2024-06-03,16
2024-06-04,19
2024-06-05,39
2024-06-06,19
2024-06-07,28
2024-06-08,35
2024-06-09,32
2024-06-10,18
2024-06-11,22
2024-06-12,29
2024-06-13,33
2024-06-14,39
2024-06-15,60
2024-06-16,73
2024-06-17,56
2024-06-18,28
2024-06-19,31
2024-06-20,30
2024-06-21,25
2024-06-22,38
2024-06-23,38
2024-06-24,26
2024-06-25,39
2024-06-26,32
2024-06-27,38
2024-06-28,27
2024-06-29,50
2024-06-30,35
2024-07-01,19
2024-07-02,20
2024-07-03,27
2024-07-04,46
2024-07-05,28
2024-07-06,81
2024-07-07,37
2024-07-08,48
2024-07-09,25
2024-07-10,41
2024-07-11,38
2024-07-12,41
2024-07-13,48
2024-07-14,44
2024-07-15,24
2024-07-16,15
2024-07-17,18
2024-07-18,16
2024-07-19,18
2024-07-20,46
2024-07-21,58
2024-07-22,38
2024-07-23,36
2024-07-24,48
2024-07-25,25
2024-07-26,28
2024-07-27,76
2024-07-28,100
2024-07-29,61
2024-07-30,52
2024-07-31,52
2024-08-01,25
2024-08-02,20
2024-08-03,42
2024-08-04,52
2024-08-05,21
2024-08-06,32
2024-08-07,37
2024-08-08,29
2024-08-09,24
2024-08-10,52
2024-08-11,40
2024-08-12,27
2024-08-13,42
2024-08-14,40
2024-08-15,35
2024-08-16,32
2024-08-17,49
2024-08-18,62
2024-08-19,20
2024-08-20,32
2024-08-21,47
2024-08-22,21
2024-08-23,22
2024-08-24,50
2024-08-25,40
2024-08-26,30
2024-08-27,27
2024-08-28,26
2024-08-29,27
2024-08-30,26
2024-08-31,31
2024-09-01,29
2024-09-02,24
2024-09-03,22
2024-09-04,24
2024-09-05,21
2024-09-06,16
2024-09-07,31
2024-09-08,34
2024-09-09,16
2024-09-10,25
2024-09-11,25
2024-09-12,30
2024-09-13,40
2024-09-14,67
2024-09-15,35
2024-09-16,16
