Time,khan academy
2022-08-29,81
2022-08-30,85
2022-08-31,92
2022-09-01,85
2022-09-02,72
2022-09-03,22
2022-09-04,23
2022-09-05,33
2022-09-06,85
2022-09-07,88
2022-09-08,95
2022-09-09,81
2022-09-10,27
2022-09-11,31
2022-09-12,95
2022-09-13,95
2022-09-14,98
2022-09-15,93
2022-09-16,82
2022-09-17,24
2022-09-18,32
2022-09-19,93
2022-09-20,95
2022-09-21,94
2022-09-22,96
2022-09-23,80
2022-09-24,25
2022-09-25,32
2022-09-26,79
2022-09-27,90
2022-09-28,93
2022-09-29,88
2022-09-30,77
2022-10-01,25
2022-10-02,32
2022-10-03,80
2022-10-04,84
2022-10-05,89
2022-10-06,97
2022-10-07,74
2022-10-08,24
2022-10-09,27
2022-10-10,71
2022-10-11,89
2022-10-12,88
2022-10-13,83
2022-10-14,69
2022-10-15,22
2022-10-16,28
2022-10-17,77
2022-10-18,85
2022-10-19,86
2022-10-20,79
2022-10-21,67
2022-10-22,20
2022-10-23,25
2022-10-24,80
2022-10-25,100
2022-10-26,80
2022-10-27,85
2022-10-28,65
2022-10-29,20
2022-10-30,24
2022-10-31,66
2022-11-01,82
2022-11-02,86
2022-11-03,89
2022-11-04,75
2022-11-05,24
2022-11-06,24
2022-11-07,77
2022-11-08,63
2022-11-09,73
2022-11-10,77
2022-11-11,45
2022-11-12,20
2022-11-13,26
2022-11-14,80
2022-11-15,79
2022-11-16,78
2022-11-17,81
2022-11-18,68
2022-11-19,18
2022-11-20,19
2022-11-21,46
2022-11-22,38
2022-11-23,22
2022-11-24,12
2022-11-25,12
2022-11-26,16
2022-11-27,22
2022-11-28,69
2022-11-29,75
2022-11-30,76
2022-12-01,73
2022-12-02,67
2022-12-03,23
2022-12-04,23
2022-12-05,71
2022-12-06,80
2022-12-07,79
2022-12-08,74
2022-12-09,62
2022-12-10,20
2022-12-11,25
2022-12-12,69
2022-12-13,71
2022-12-14,64
2022-12-15,60
2022-12-16,46
2022-12-17,15
2022-12-18,19
2022-12-19,45
2022-12-20,41
2022-12-21,32
2022-12-22,22
2022-12-23,14
2022-12-24,11
2022-12-25,10
2022-12-26,13
2022-12-27,16
2022-12-28,15
2022-12-29,16
2022-12-30,14
2022-12-31,12
2023-01-01,11
2023-01-02,23
2023-01-03,39
2023-01-04,55
2023-01-05,60
2023-01-06,58
2023-01-07,19
2023-01-08,23
2023-01-09,78
2023-01-10,88
2023-01-11,83
2023-01-12,76
2023-01-13,68
2023-01-14,19
2023-01-15,19
2023-01-16,30
2023-01-17,78
2023-01-18,77
2023-01-19,82
2023-01-20,72
2023-01-21,20
2023-01-22,23
2023-01-23,77
2023-01-24,81
2023-01-25,77
2023-01-26,78
2023-01-27,70
2023-01-28,21
2023-01-29,23
2023-01-30,75
2023-01-31,76
2023-02-01,75
2023-02-02,83
2023-02-03,68
2023-02-04,21
2023-02-05,25
2023-02-06,82
2023-02-07,84
2023-02-08,79
2023-02-09,82
2023-02-10,72
2023-02-11,23
2023-02-12,23
2023-02-13,67
2023-02-14,70
2023-02-15,81
2023-02-16,79
2023-02-17,60
2023-02-18,22
2023-02-19,21
2023-02-20,35
2023-02-21,72
2023-02-22,73
2023-02-23,69
2023-02-24,66
2023-02-25,23
2023-02-26,25
2023-02-27,83
2023-02-28,84
2023-03-01,84
2023-03-02,78
2023-03-03,67
2023-03-04,23
2023-03-05,25
2023-03-06,78
2023-03-07,85
2023-03-08,81
2023-03-09,82
2023-03-10,64
2023-03-11,22
2023-03-12,23
2023-03-13,61
2023-03-14,62
2023-03-15,64
2023-03-16,64
2023-03-17,46
2023-03-18,19
2023-03-19,24
2023-03-20,71
2023-03-21,75
2023-03-22,69
2023-03-23,67
2023-03-24,56
2023-03-25,18
2023-03-26,22
2023-03-27,64
2023-03-28,69
2023-03-29,67
2023-03-30,68
2023-03-31,50
2023-04-01,18
2023-04-02,21
2023-04-03,61
2023-04-04,61
2023-04-05,58
2023-04-06,57
2023-04-07,29
2023-04-08,19
2023-04-09,20
2023-04-10,55
2023-04-11,72
2023-04-12,62
2023-04-13,58
2023-04-14,51
2023-04-15,18
2023-04-16,21
2023-04-17,68
2023-04-18,65
2023-04-19,66
2023-04-20,66
2023-04-21,51
2023-04-22,20
2023-04-23,22
2023-04-24,69
2023-04-25,66
2023-04-26,64
2023-04-27,68
2023-04-28,49
2023-04-29,20
2023-04-30,26
2023-05-01,69
2023-05-02,67
2023-05-03,67
2023-05-04,67
2023-05-05,59
2023-05-06,23
2023-05-07,27
2023-05-08,67
2023-05-09,59
2023-05-10,59
2023-05-11,54
2023-05-12,46
2023-05-13,17
2023-05-14,18
2023-05-15,55
2023-05-16,56
2023-05-17,50
2023-05-18,49
2023-05-19,43
2023-05-20,18
2023-05-21,21
2023-05-22,48
2023-05-23,45
2023-05-24,45
2023-05-25,42
