Time,khan academy
2024-08-18,27
2024-08-19,68
2024-08-20,76
2024-08-21,76
2024-08-22,77
2024-08-23,69
2024-08-24,27
2024-08-25,30
2024-08-26,77
2024-08-27,81
2024-08-28,88
2024-08-29,89
2024-08-30,72
2024-08-31,22
2024-09-01,25
2024-09-02,33
2024-09-03,86
2024-09-04,95
2024-09-05,96
2024-09-06,82
2024-09-07,28
2024-09-08,33
2024-09-09,94
2024-09-10,93
2024-09-11,94
2024-09-12,97
2024-09-13,86
2024-09-14,28
2024-09-15,31
2024-09-16,91
2024-09-17,97
2024-09-18,100
2024-09-19,90
2024-09-20,84
2024-09-21,28
2024-09-22,32
2024-09-23,84
2024-09-24,85
2024-09-25,90
2024-09-26,80
2024-09-27,66
2024-09-28,25
2024-09-29,34
2024-09-30,83
2024-10-01,89
2024-10-02,98
2024-10-03,87
2024-10-04,82
2024-10-05,30
2024-10-06,28
2024-10-07,80
2024-10-08,81
2024-10-09,81
2024-10-10,75
2024-10-11,62
2024-10-12,23
2024-10-13,26
2024-10-14,60
2024-10-15,82
2024-10-16,81
2024-10-17,82
2024-10-18,70
2024-10-19,25
2024-10-20,28
2024-10-21,83
2024-10-22,89
2024-10-23,86
2024-10-24,83
2024-10-25,70
2024-10-26,23
2024-10-27,27
2024-10-28,79
2024-10-29,84
2024-10-30,82
2024-10-31,62
2024-11-01,64
2024-11-02,22
2024-11-03,26
2024-11-04,73
2024-11-05,57
2024-11-06,60
2024-11-07,78
2024-11-08,72
2024-11-09,23
2024-11-10,23
2024-11-11,57
2024-11-12,81
2024-11-13,81
2024-11-14,82
2024-11-15,74
2024-11-16,20
2024-11-17,26
2024-11-18,81
2024-11-19,85
2024-11-20,83
2024-11-21,83
2024-11-22,65
2024-11-23,19
2024-11-24,21
2024-11-25,48
2024-11-26,40
2024-11-27,25
2024-11-28,16
2024-11-29,15
2024-11-30,19
2024-12-01,23
2024-12-02,71
2024-12-03,77
2024-12-04,79
2024-12-05,75
2024-12-06,73
2024-12-07,30
2024-12-08,30
2024-12-09,86
2024-12-10,85
2024-12-11,76
2024-12-12,84
2024-12-13,72
2024-12-14,24
2024-12-15,27
2024-12-16,72
2024-12-17,76
2024-12-18,72
2024-12-19,60
2024-12-20,35
2024-12-21,17
2024-12-22,16
2024-12-23,19
2024-12-24,16
2024-12-25,13
2024-12-26,18
2024-12-27,18
2024-12-28,16
2024-12-29,19
2024-12-30,21
2024-12-31,19
2025-01-01,18
2025-01-02,30
2025-01-03,29
2025-01-04,22
2025-01-05,23
2025-01-06,57
2025-01-07,76
2025-01-08,84
2025-01-09,77
2025-01-10,67
2025-01-11,25
2025-01-12,27
2025-01-13,81
2025-01-14,88
2025-01-15,86
2025-01-16,85
2025-01-17,75
2025-01-18,22
2025-01-19,19
2025-01-20,30
2025-01-21,67
2025-01-22,74
2025-01-23,86
2025-01-24,78
2025-01-25,24
2025-01-26,27
2025-01-27,81
2025-01-28,88
2025-01-29,87
2025-01-30,87
2025-01-31,77
2025-02-01,24
2025-02-02,27
2025-02-03,76
2025-02-04,87
2025-02-05,88
2025-02-06,83
2025-02-07,78
2025-02-08,24
2025-02-09,28
2025-02-10,74
2025-02-11,87
2025-02-12,81
2025-02-13,78
2025-02-14,58
2025-02-15,22
2025-02-16,23
2025-02-17,40
2025-02-18,74
2025-02-19,80
2025-02-20,78
2025-02-21,76
2025-02-22,24
2025-02-23,29
2025-02-24,86
2025-02-25,91
2025-02-26,86
2025-02-27,85
2025-02-28,77
2025-03-01,26
2025-03-02,27
2025-03-03,87
2025-03-04,90
2025-03-05,86
2025-03-06,89
2025-03-07,69
2025-03-08,25
2025-03-09,27
2025-03-10,77
2025-03-11,78
2025-03-12,76
2025-03-13,73
2025-03-14,59
2025-03-15,20
2025-03-16,24
2025-03-17,69
2025-03-18,72
2025-03-19,70
2025-03-20,68
2025-03-21,57
2025-03-22,21
2025-03-23,24
2025-03-24,67
2025-03-25,68
2025-03-26,70
2025-03-27,66
2025-03-28,53
2025-03-29,20
2025-03-30,23
2025-03-31,66
2025-04-01,74
2025-04-02,73
2025-04-03,75
2025-04-04,62
2025-04-05,20
2025-04-06,25
2025-04-07,74
2025-04-08,78
2025-04-09,73
2025-04-10,71
2025-04-11,60
2025-04-12,21
2025-04-13,24
2025-04-14,66
2025-04-15,70
2025-04-16,66
2025-04-17,60
2025-04-18,31
2025-04-19,19
2025-04-20,21
2025-04-21,58
2025-04-22,66
2025-04-23,67
2025-04-24,69
2025-04-25,56
2025-04-26,21
2025-04-27,27
2025-04-28,78
2025-04-29,73
2025-04-30,72
2025-05-01,74
2025-05-02,68
2025-05-03,26
2025-05-04,32
2025-05-05,75
2025-05-06,74
2025-05-07,69
2025-05-08,62
2025-05-09,55
2025-05-10,22
2025-05-11,24
2025-05-12,67
2025-05-13,62
2025-05-14,65
