Time,khan academy
2025-12-11,89
2025-12-12,78
2025-12-13,29
2025-12-14,34
2025-12-15,81
2025-12-16,85
2025-12-17,83
2025-12-18,75
2025-12-19,42
2025-12-20,22
2025-12-21,22
2025-12-22,31
2025-12-23,23
2025-12-24,18
2025-12-25,15
2025-12-26,18
2025-12-27,22
2025-12-28,21
2025-12-29,24
2025-12-30,23
2025-12-31,19
2026-01-01,20
2026-01-02,29
2026-01-03,24
2026-01-04,27
2026-01-05,60
2026-01-06,85
2026-01-07,87
2026-01-08,89
2026-01-09,84
2026-01-10,27
2026-01-11,30
2026-01-12,91
2026-01-13,100
2026-01-14,94
2026-01-15,92
2026-01-16,82
2026-01-17,27
2026-01-18,27
2026-01-19,35
2026-01-20,89
2026-01-21,100
2026-01-22,93
2026-01-23,79
2026-01-24,31
2026-01-25,35
2026-01-26,74
2026-01-27,83
2026-01-28,93
2026-01-29,92
2026-01-30,81
2026-01-31,32
2026-02-01,35
2026-02-02,81
2026-02-03,91
2026-02-04,93
2026-02-05,93
2026-02-06,81
2026-02-07,29
2026-02-08,31
2026-02-09,79
2026-02-10,93
2026-02-11,87
2026-02-12,87
2026-02-13,65
2026-02-14,27
2026-02-15,27
2026-02-16,45
2026-02-17,75
2026-02-18,81
2026-02-19,87
2026-02-20,75
2026-02-21,30
2026-02-22,31
2026-02-23,86
2026-02-24,94
2026-02-25,89
2026-02-26,94
2026-02-27,79
2026-02-28,29
2026-03-01,32
2026-03-02,93
2026-03-03,94
2026-03-04,92
2026-03-05,94
2026-03-06,83
2026-03-07,32
2026-03-08,33
2026-03-09,87
2026-03-10,92
2026-03-11,85
2026-03-12,85
2026-03-13,64
2026-03-14,31
2026-03-15,33
2026-03-16,70
2026-03-17,81
2026-03-18,76
2026-03-19,72
2026-03-20,57
2026-03-21,25
2026-03-22,31
2026-03-23,78
2026-03-24,79
2026-03-25,81
2026-03-26,76
2026-03-27,65
2026-03-28,31
2026-03-29,33
2026-03-30,70
2026-03-31,73
2026-04-01,66
2026-04-02,60
2026-04-03,37
2026-04-04,24
2026-04-05,27
2026-04-06,63
2026-04-07,72
2026-04-08,72
2026-04-09,71
2026-04-10,62
2026-04-11,25
2026-04-12,31
2026-04-13,83
2026-04-14,85
2026-04-15,82
2026-04-16,79
2026-04-17,73
2026-04-18,27
2026-04-19,33
2026-04-20,84
2026-04-21,88
2026-04-22,77
2026-04-23,82
2026-04-24,71
2026-04-25,30
2026-04-26,35
2026-04-27,87
2026-04-28,85
2026-04-29,81
2026-04-30,79
2026-05-01,73
2026-05-02,37
2026-05-03,42
2026-05-04,85
2026-05-05,82
2026-05-06,74
2026-05-07,78
2026-05-08,72
2026-05-09,31
2026-05-10,32
2026-05-11,76
2026-05-12,72
2026-05-13,72
2026-05-14,64
2026-05-15,58
2026-05-16,30
2026-05-17,32
2026-05-18,62
2026-05-19,60
2026-05-20,59
2026-05-21,56
2026-05-22,44
2026-05-23,34
2026-05-24,36
2026-05-25,38
2026-05-26,61
2026-05-27,56
2026-05-28,57
2026-05-29,52
2026-05-30,36
2026-05-31,46
