Time,khan academy
2023-04-26,71
2023-04-27,75
2023-04-28,54
2023-04-29,22
2023-04-30,29
2023-05-01,76
2023-05-02,75
2023-05-03,74
2023-05-04,75
2023-05-05,65
2023-05-06,25
2023-05-07,30
2023-05-08,74
2023-05-09,66
2023-05-10,65
2023-05-11,60
2023-05-12,51
2023-05-13,19
2023-05-14,20
2023-05-15,61
2023-05-16,62
2023-05-17,56
2023-05-18,54
2023-05-19,47
2023-05-20,20
2023-05-21,23
2023-05-22,54
2023-05-23,50
2023-05-24,50
2023-05-25,47
2023-05-26,35
2023-05-27,20
2023-05-28,19
2023-05-29,24
2023-05-30,49
2023-05-31,47
2023-06-01,45
2023-06-02,39
2023-06-03,24
2023-06-04,21
2023-06-05,40
2023-06-06,39
2023-06-07,38
2023-06-08,37
2023-06-09,31
2023-06-10,19
2023-06-11,22
2023-06-12,36
2023-06-13,36
2023-06-14,34
2023-06-15,30
2023-06-16,25
2023-06-17,16
2023-06-18,18
2023-06-19,27
2023-06-20,32
2023-06-21,32
2023-06-22,26
2023-06-23,26
2023-06-24,19
2023-06-25,19
2023-06-26,32
2023-06-27,29
2023-06-28,31
2023-06-29,29
2023-06-30,21
2023-07-01,17
2023-07-02,19
2023-07-03,24
2023-07-04,19
2023-07-05,27
2023-07-06,30
2023-07-07,24
2023-07-08,19
2023-07-09,22
2023-07-10,34
2023-07-11,31
2023-07-12,32
2023-07-13,28
2023-07-14,25
2023-07-15,18
2023-07-16,20
2023-07-17,28
2023-07-18,29
2023-07-19,29
2023-07-20,27
2023-07-21,23
2023-07-22,19
2023-07-23,19
2023-07-24,28
2023-07-25,29
2023-07-26,28
2023-07-27,29
2023-07-28,23
2023-07-29,18
2023-07-30,19
2023-07-31,27
2023-08-01,33
2023-08-02,28
2023-08-03,30
2023-08-04,27
2023-08-05,18
2023-08-06,22
2023-08-07,36
2023-08-08,39
2023-08-09,40
2023-08-10,41
2023-08-11,43
2023-08-12,23
2023-08-13,28
2023-08-14,53
2023-08-15,57
2023-08-16,60
2023-08-17,66
2023-08-18,62
2023-08-19,26
2023-08-20,28
2023-08-21,73
2023-08-22,82
2023-08-23,85
2023-08-24,83
2023-08-25,77
2023-08-26,27
2023-08-27,30
2023-08-28,81
2023-08-29,86
2023-08-30,84
2023-08-31,84
2023-09-01,70
2023-09-02,21
2023-09-03,23
2023-09-04,33
2023-09-05,86
2023-09-06,92
2023-09-07,92
2023-09-08,87
2023-09-09,29
2023-09-10,32
2023-09-11,99
2023-09-12,100
2023-09-13,97
2023-09-14,100
2023-09-15,86
2023-09-16,26
2023-09-17,36
2023-09-18,95
2023-09-19,98
2023-09-20,97
2023-09-21,99
2023-09-22,83
2023-09-23,25
2023-09-24,32
2023-09-25,84
2023-09-26,94
2023-09-27,91
2023-09-28,92
2023-09-29,82
2023-09-30,26
2023-10-01,33
2023-10-02,90
2023-10-03,95
2023-10-04,93
2023-10-05,88
2023-10-06,80
2023-10-07,29
2023-10-08,27
2023-10-09,68
2023-10-10,89
2023-10-11,86
2023-10-12,79
2023-10-13,64
2023-10-14,24
2023-10-15,29
2023-10-16,79
2023-10-17,86
2023-10-18,87
2023-10-19,85
2023-10-20,68
2023-10-21,24
2023-10-22,27
2023-10-23,81
2023-10-24,86
2023-10-25,86
2023-10-26,80
2023-10-27,67
2023-10-28,21
2023-10-29,25
2023-10-30,74
2023-10-31,65
2023-11-01,75
2023-11-02,79
2023-11-03,71
2023-11-04,24
2023-11-05,26
2023-11-06,80
2023-11-07,77
2023-11-08,79
2023-11-09,74
2023-11-10,50
2023-11-11,21
2023-11-12,23
2023-11-13,80
2023-11-14,80
2023-11-15,79
2023-11-16,81
2023-11-17,66
2023-11-18,21
2023-11-19,21
2023-11-20,50
2023-11-21,42
2023-11-22,22
2023-11-23,14
2023-11-24,14
2023-11-25,17
2023-11-26,23
2023-11-27,67
2023-11-28,77
2023-11-29,80
2023-11-30,76
2023-12-01,71
2023-12-02,24
2023-12-03,23
2023-12-04,68
2023-12-05,74
2023-12-06,73
2023-12-07,71
2023-12-08,62
2023-12-09,20
2023-12-10,27
2023-12-11,66
2023-12-12,70
2023-12-13,67
2023-12-14,65
2023-12-15,54
2023-12-16,20
2023-12-17,23
2023-12-18,53
2023-12-19,51
2023-12-20,44
2023-12-21,34
2023-12-22,19
2023-12-23,11
2023-12-24,11
2023-12-25,12
2023-12-26,15
2023-12-27,17
2023-12-28,18
2023-12-29,15
2023-12-30,13
2023-12-31,14
2024-01-01,17
2024-01-02,30
2024-01-03,44
2024-01-04,52
2024-01-05,45
2024-01-06,20
2024-01-07,22
2024-01-08,68
2024-01-09,70
2024-01-10,78
2024-01-11,80
2024-01-12,62
2024-01-13,20
2024-01-14,19
2024-01-15,29
2024-01-16,64
2024-01-17,71
2024-01-18,87
2024-01-19,64
2024-01-20,22
