Time,facebook login
2023-04-26,45
2023-04-27,46
2023-04-28,44
2023-04-29,47
2023-04-30,48
2023-05-01,46
2023-05-02,47
2023-05-03,44
2023-05-04,46
2023-05-05,44
2023-05-06,45
2023-05-07,46
2023-05-08,48
2023-05-09,49
2023-05-10,47
2023-05-11,49
2023-05-12,48
2023-05-13,48
2023-05-14,55
2023-05-15,52
2023-05-16,48
2023-05-17,45
2023-05-18,47
2023-05-19,46
2023-05-20,50
2023-05-21,54
2023-05-22,48
2023-05-23,47
2023-05-24,47
2023-05-25,48
2023-05-26,48
2023-05-27,49
2023-05-28,50
2023-05-29,50
2023-05-30,49
2023-05-31,50
2023-06-01,50
2023-06-02,48
2023-06-03,50
2023-06-04,51
2023-06-05,49
2023-06-06,47
2023-06-07,48
2023-06-08,49
2023-06-09,50
2023-06-10,50
2023-06-11,51
2023-06-12,51
2023-06-13,52
2023-06-14,50
2023-06-15,48
2023-06-16,52
2023-06-17,50
2023-06-18,52
2023-06-19,54
2023-06-20,47
2023-06-21,49
2023-06-22,48
2023-06-23,50
2023-06-24,50
2023-06-25,51
2023-06-26,50
2023-06-27,51
2023-06-28,49
2023-06-29,51
2023-06-30,50
2023-07-01,48
2023-07-02,48
2023-07-03,51
2023-07-04,51
2023-07-05,50
2023-07-06,53
2023-07-07,50
2023-07-08,48
2023-07-09,43
2023-07-10,49
2023-07-11,49
2023-07-12,51
2023-07-13,50
2023-07-14,49
2023-07-15,44
2023-07-16,45
2023-07-17,47
2023-07-18,48
2023-07-19,49
2023-07-20,45
2023-07-21,48
2023-07-22,46
2023-07-23,50
2023-07-24,47
2023-07-25,44
2023-07-26,46
2023-07-27,45
2023-07-28,45
2023-07-29,46
2023-07-30,44
2023-07-31,46
2023-08-01,45
2023-08-02,45
2023-08-03,43
2023-08-04,43
2023-08-05,47
2023-08-06,44
2023-08-07,47
2023-08-08,47
2023-08-09,53
2023-08-10,43
2023-08-11,45
2023-08-12,44
2023-08-13,45
2023-08-14,45
2023-08-15,44
2023-08-16,45
2023-08-17,44
2023-08-18,44
2023-08-19,43
2023-08-20,46
2023-08-21,45
2023-08-22,42
2023-08-23,45
2023-08-24,44
2023-08-25,40
2023-08-26,41
2023-08-27,42
2023-08-28,43
2023-08-29,45
2023-08-30,41
2023-08-31,41
2023-09-01,41
2023-09-02,37
2023-09-03,38
2023-09-04,40
2023-09-05,40
2023-09-06,43
2023-09-07,41
2023-09-08,39
2023-09-09,47
2023-09-10,38
2023-09-11,39
2023-09-12,38
2023-09-13,40
2023-09-14,38
2023-09-15,38
2023-09-16,36
2023-09-17,40
2023-09-18,39
2023-09-19,40
2023-09-20,40
2023-09-21,38
2023-09-22,39
2023-09-23,38
2023-09-24,39
2023-09-25,38
2023-09-26,39
2023-09-27,34
2023-09-28,37
2023-09-29,38
2023-09-30,35
2023-10-01,35
2023-10-02,35
2023-10-03,37
2023-10-04,39
2023-10-05,38
2023-10-06,36
2023-10-07,35
2023-10-08,37
2023-10-09,35
2023-10-10,37
2023-10-11,36
2023-10-12,41
2023-10-13,36
2023-10-14,37
2023-10-15,34
2023-10-16,37
2023-10-17,36
2023-10-18,100
2023-10-19,83
2023-10-20,62
2023-10-21,63
2023-10-22,64
2023-10-23,57
2023-10-24,55
2023-10-25,50
2023-10-26,52
2023-10-27,50
2023-10-28,52
2023-10-29,52
2023-10-30,51
2023-10-31,51
2023-11-01,51
2023-11-02,47
2023-11-03,49
2023-11-04,49
2023-11-05,53
2023-11-06,50
2023-11-07,48
2023-11-08,48
2023-11-09,47
2023-11-10,48
2023-11-11,53
2023-11-12,46
2023-11-13,46
2023-11-14,45
2023-11-15,47
2023-11-16,49
2023-11-17,47
2023-11-18,47
2023-11-19,46
2023-11-20,45
2023-11-21,48
2023-11-22,49
2023-11-23,46
2023-11-24,44
2023-11-25,44
2023-11-26,46
2023-11-27,43
2023-11-28,43
2023-11-29,43
2023-11-30,42
2023-12-01,43
2023-12-02,43
2023-12-03,42
2023-12-04,44
2023-12-05,45
2023-12-06,45
2023-12-07,40
2023-12-08,44
2023-12-09,48
2023-12-10,49
2023-12-11,44
2023-12-12,44
2023-12-13,46
2023-12-14,43
2023-12-15,39
2023-12-16,40
2023-12-17,42
2023-12-18,43
2023-12-19,42
2023-12-20,44
2023-12-21,43
2023-12-22,44
2023-12-23,37
2023-12-24,44
2023-12-25,48
2023-12-26,49
2023-12-27,46
2023-12-28,44
2023-12-29,41
2023-12-30,40
2023-12-31,44
2024-01-01,45
2024-01-02,44
2024-01-03,42
2024-01-04,41
2024-01-05,41
2024-01-06,40
2024-01-07,41
2024-01-08,40
2024-01-09,41
2024-01-10,40
2024-01-11,39
2024-01-12,42
2024-01-13,39
2024-01-14,41
2024-01-15,41
2024-01-16,39
2024-01-17,41
2024-01-18,38
2024-01-19,41
2024-01-20,40
