Time,facebook login
2025-12-11,92
2025-12-12,91
2025-12-13,95
2025-12-14,85
2025-12-15,88
2025-12-16,97
2025-12-17,87
2025-12-18,87
2025-12-19,94
2025-12-20,88
2025-12-21,86
2025-12-22,92
2025-12-23,91
2025-12-24,87
2025-12-25,89
2025-12-26,94
2025-12-27,90
2025-12-28,86
2025-12-29,100
2025-12-30,93
2025-12-31,91
2026-01-01,88
2026-01-02,90
2026-01-03,91
2026-01-04,87
2026-01-05,85
2026-01-06,90
2026-01-07,89
2026-01-08,82
2026-01-09,85
2026-01-10,90
2026-01-11,82
2026-01-12,85
2026-01-13,87
2026-01-14,82
2026-01-15,83
2026-01-16,84
2026-01-17,86
2026-01-18,84
2026-01-19,91
2026-01-20,83
2026-01-21,84
2026-01-22,82
2026-01-23,87
2026-01-24,90
2026-01-25,88
2026-01-26,90
2026-01-27,88
2026-01-28,83
2026-01-29,83
2026-01-30,83
2026-01-31,86
2026-02-01,87
2026-02-02,80
2026-02-03,81
2026-02-04,96
2026-02-05,83
2026-02-06,81
2026-02-07,86
2026-02-08,76
2026-02-09,79
2026-02-10,79
2026-02-11,83
2026-02-12,83
2026-02-13,84
2026-02-14,81
2026-02-15,84
2026-02-16,84
2026-02-17,76
2026-02-18,80
2026-02-19,88
2026-02-20,81
2026-02-21,80
2026-02-22,81
2026-02-23,81
2026-02-24,79
2026-02-25,82
2026-02-26,81
2026-02-27,82
2026-02-28,80
2026-03-01,88
2026-03-02,81
2026-03-03,89
2026-03-04,84
2026-03-05,84
2026-03-06,81
2026-03-07,84
2026-03-08,87
2026-03-09,83
2026-03-10,88
2026-03-11,91
2026-03-12,82
2026-03-13,83
2026-03-14,85
2026-03-15,83
2026-03-16,85
2026-03-17,85
2026-03-18,99
2026-03-19,82
2026-03-20,84
2026-03-21,87
2026-03-22,83
2026-03-23,87
2026-03-24,90
2026-03-25,86
2026-03-26,82
2026-03-27,83
2026-03-28,82
2026-03-29,83
2026-03-30,81
2026-03-31,82
2026-04-01,83
2026-04-02,81
2026-04-03,82
2026-04-04,84
2026-04-05,80
2026-04-06,83
2026-04-07,86
2026-04-08,83
2026-04-09,82
2026-04-10,79
2026-04-11,82
2026-04-12,75
2026-04-13,78
2026-04-14,75
2026-04-15,78
2026-04-16,79
2026-04-17,76
2026-04-18,77
2026-04-19,76
2026-04-20,79
2026-04-21,80
2026-04-22,77
2026-04-23,77
2026-04-24,75
2026-04-25,76
2026-04-26,78
2026-04-27,81
2026-04-28,80
2026-04-29,77
2026-04-30,75
2026-05-01,77
2026-05-02,75
2026-05-03,78
2026-05-04,76
2026-05-05,77
2026-05-06,78
2026-05-07,77
2026-05-08,78
2026-05-09,78
2026-05-10,82
2026-05-11,76
2026-05-12,82
2026-05-13,78
2026-05-14,77
2026-05-15,78
2026-05-16,77
2026-05-17,78
2026-05-18,76
2026-05-19,82
2026-05-20,78
2026-05-21,77
2026-05-22,81
2026-05-23,78
2026-05-24,85
2026-05-25,86
2026-05-26,80
2026-05-27,82
2026-05-28,85
2026-05-29,82
2026-05-30,80
2026-05-31,81
