Time,facebook login
2022-01-01,82
2022-01-02,75
2022-01-03,76
2022-01-04,86
2022-01-05,80
2022-01-06,65
2022-01-07,84
2022-01-08,76
2022-01-09,77
2022-01-10,72
2022-01-11,72
2022-01-12,71
2022-01-13,84
2022-01-14,63
2022-01-15,72
2022-01-16,71
2022-01-17,68
2022-01-18,71
2022-01-19,71
2022-01-20,75
2022-01-21,78
2022-01-22,75
2022-01-23,75
2022-01-24,95
2022-01-25,71
2022-01-26,71
2022-01-27,78
2022-01-28,81
2022-01-29,85
2022-01-30,89
2022-01-31,88
2022-02-01,83
2022-02-02,83
2022-02-03,80
2022-02-04,82
2022-02-05,77
2022-02-06,76
2022-02-07,71
2022-02-08,67
2022-02-09,63
2022-02-10,59
2022-02-11,72
2022-02-12,69
2022-02-13,68
2022-02-14,71
2022-02-15,73
2022-02-16,72
2022-02-17,73
2022-02-18,73
2022-02-19,72
2022-02-20,73
2022-02-21,71
2022-02-22,71
2022-02-23,71
2022-02-24,69
2022-02-25,72
2022-02-26,71
2022-02-27,73
2022-02-28,71
2022-03-01,70
2022-03-02,68
2022-03-03,69
2022-03-04,69
2022-03-05,72
2022-03-06,72
2022-03-07,72
2022-03-08,75
2022-03-09,73
2022-03-10,69
2022-03-11,70
2022-03-12,72
2022-03-13,70
2022-03-14,66
2022-03-15,71
2022-03-16,69
2022-03-17,70
2022-03-18,70
2022-03-19,68
2022-03-20,70
2022-03-21,73
2022-03-22,68
2022-03-23,72
2022-03-24,69
2022-03-25,67
2022-03-26,71
2022-03-27,72
2022-03-28,67
2022-03-29,65
2022-03-30,72
2022-03-31,70
2022-04-01,73
2022-04-02,76
2022-04-03,74
2022-04-04,65
2022-04-05,71
2022-04-06,72
2022-04-07,69
2022-04-08,74
2022-04-09,71
2022-04-10,78
2022-04-11,72
2022-04-12,75
2022-04-13,75
2022-04-14,70
2022-04-15,71
2022-04-16,69
2022-04-17,74
2022-04-18,66
2022-04-19,68
2022-04-20,67
2022-04-21,68
2022-04-22,68
2022-04-23,72
2022-04-24,73
2022-04-25,70
2022-04-26,68
2022-04-27,67
2022-04-28,67
2022-04-29,70
2022-04-30,70
2022-05-01,75
2022-05-02,70
2022-05-03,71
2022-05-04,70
2022-05-05,71
2022-05-06,74
2022-05-07,77
2022-05-08,83
2022-05-09,73
2022-05-10,74
2022-05-11,70
2022-05-12,73
2022-05-13,73
2022-05-14,82
2022-05-15,82
2022-05-16,75
2022-05-17,79
2022-05-18,74
2022-05-19,73
2022-05-20,74
2022-05-21,85
2022-05-22,84
2022-05-23,77
2022-05-24,79
2022-05-25,82
2022-05-26,82
2022-05-27,83
2022-05-28,82
2022-05-29,84
2022-05-30,86
2022-05-31,81
2022-06-01,82
2022-06-02,77
2022-06-03,81
2022-06-04,83
2022-06-05,87
2022-06-06,86
2022-06-07,83
2022-06-08,85
2022-06-09,82
2022-06-10,84
2022-06-11,85
2022-06-12,88
2022-06-13,83
2022-06-14,87
2022-06-15,85
2022-06-16,90
2022-06-17,86
2022-06-18,85
2022-06-19,100
2022-06-20,91
2022-06-21,89
2022-06-22,90
2022-06-23,85
2022-06-24,84
2022-06-25,88
2022-06-26,95
2022-06-27,90
2022-06-28,87
2022-06-29,90
2022-06-30,90
2022-07-01,91
2022-07-02,86
2022-07-03,88
2022-07-04,99
2022-07-05,90
2022-07-06,90
2022-07-07,89
2022-07-08,91
2022-07-09,89
2022-07-10,94
2022-07-11,90
2022-07-12,92
2022-07-13,88
2022-07-14,89
2022-07-15,88
2022-07-16,85
2022-07-17,94
2022-07-18,90
2022-07-19,93
2022-07-20,93
2022-07-21,91
2022-07-22,87
2022-07-23,90
2022-07-24,92
2022-07-25,92
2022-07-26,89
2022-07-27,88
2022-07-28,89
2022-07-29,84
2022-07-30,85
2022-07-31,95
2022-08-01,89
2022-08-02,89
2022-08-03,88
2022-08-04,87
2022-08-05,90
2022-08-06,90
2022-08-07,89
2022-08-08,90
2022-08-09,92
2022-08-10,93
2022-08-11,87
2022-08-12,83
2022-08-13,87
2022-08-14,92
2022-08-15,88
2022-08-16,89
2022-08-17,93
2022-08-18,93
2022-08-19,88
2022-08-20,88
2022-08-21,95
2022-08-22,88
2022-08-23,91
2022-08-24,90
2022-08-25,92
2022-08-26,86
2022-08-27,92
2022-08-28,93
2022-08-29,90
2022-08-30,88
2022-08-31,85
2022-09-01,91
2022-09-02,84
2022-09-03,83
2022-09-04,89
2022-09-05,89
2022-09-06,85
2022-09-07,85
2022-09-08,81
2022-09-09,84
2022-09-10,87
2022-09-11,82
2022-09-12,81
2022-09-13,89
2022-09-14,88
2022-09-15,88
2022-09-16,88
2022-09-17,89
2022-09-18,86
2022-09-19,85
2022-09-20,85
2022-09-21,83
2022-09-22,84
2022-09-23,82
2022-09-24,86
2022-09-25,89
2022-09-26,83
2022-09-27,83
