Time,davante adams
2023-12-22,5
2023-12-23,5
2023-12-24,10
2023-12-25,58
2023-12-26,10
2023-12-27,6
2023-12-28,4
2023-12-29,5
2023-12-30,8
2023-12-31,21
2024-01-01,15
2024-01-02,16
2024-01-03,5
2024-01-04,4
2024-01-05,4
2024-01-06,7
2024-01-07,17
2024-01-08,11
2024-01-09,16
2024-01-10,6
2024-01-11,4
2024-01-12,4
2024-01-13,4
2024-01-14,6
2024-01-15,5
2024-01-16,5
2024-01-17,3
2024-01-18,3
2024-01-19,4
2024-01-20,6
2024-01-21,7
2024-01-22,4
2024-01-23,5
2024-01-24,3
2024-01-25,4
2024-01-26,3
2024-01-27,2
2024-01-28,4
2024-01-29,3
2024-01-30,3
2024-01-31,3
2024-02-01,3
2024-02-02,4
2024-02-03,3
2024-02-04,3
2024-02-05,2
2024-02-06,3
2024-02-07,3
2024-02-08,3
2024-02-09,3
2024-02-10,3
2024-02-11,3
2024-02-12,4
2024-02-13,4
2024-02-14,4
2024-02-15,6
2024-02-16,2
2024-02-17,3
2024-02-18,2
2024-02-19,6
2024-02-20,3
2024-02-21,3
2024-02-22,3
2024-02-23,3
2024-02-24,3
2024-02-25,2
2024-02-26,3
2024-02-27,4
2024-02-28,4
2024-02-29,3
2024-03-01,2
2024-03-02,3
2024-03-03,3
2024-03-04,3
2024-03-05,3
2024-03-06,2
2024-03-07,2
2024-03-08,2
2024-03-09,2
2024-03-10,2
2024-03-11,5
2024-03-12,5
2024-03-13,4
2024-03-14,4
2024-03-15,5
2024-03-16,5
2024-03-17,5
2024-03-18,6
2024-03-19,6
2024-03-20,6
2024-03-21,3
2024-03-22,4
2024-03-23,2
2024-03-24,3
2024-03-25,2
2024-03-26,3
2024-03-27,2
2024-03-28,2
2024-03-29,3
2024-03-30,3
2024-03-31,2
2024-04-01,5
2024-04-02,4
2024-04-03,5
2024-04-04,4
2024-04-05,3
2024-04-06,3
2024-04-07,2
2024-04-08,1
2024-04-09,2
2024-04-10,2
2024-04-11,2
2024-04-12,3
2024-04-13,2
2024-04-14,3
2024-04-15,2
2024-04-16,3
2024-04-17,2
2024-04-18,2
2024-04-19,2
2024-04-20,2
2024-04-21,2
2024-04-22,3
2024-04-23,2
2024-04-24,2
2024-04-25,2
2024-04-26,5
2024-04-27,3
2024-04-28,3
2024-04-29,3
2024-04-30,4
2024-05-01,5
2024-05-02,11
2024-05-03,4
2024-05-04,2
2024-05-05,2
2024-05-06,3
2024-05-07,2
2024-05-08,2
2024-05-09,2
2024-05-10,2
2024-05-11,3
2024-05-12,3
2024-05-13,2
2024-05-14,2
2024-05-15,2
2024-05-16,2
2024-05-17,1
2024-05-18,1
2024-05-19,2
2024-05-20,2
2024-05-21,2
2024-05-22,2
2024-05-23,2
2024-05-24,2
2024-05-25,2
2024-05-26,2
2024-05-27,2
2024-05-28,1
2024-05-29,2
2024-05-30,3
2024-05-31,3
2024-06-01,3
2024-06-02,2
2024-06-03,3
2024-06-04,2
2024-06-05,2
2024-06-06,3
2024-06-07,2
2024-06-08,2
2024-06-09,3
2024-06-10,1
2024-06-11,2
2024-06-12,3
2024-06-13,3
2024-06-14,2
2024-06-15,2
2024-06-16,3
2024-06-17,5
2024-06-18,5
2024-06-19,2
2024-06-20,2
2024-06-21,3
2024-06-22,2
2024-06-23,3
2024-06-24,2
2024-06-25,1
2024-06-26,1
2024-06-27,1
2024-06-28,2
2024-06-29,2
2024-06-30,2
2024-07-01,2
2024-07-02,2
2024-07-03,2
2024-07-04,1
2024-07-05,2
2024-07-06,2
2024-07-07,1
2024-07-08,1
2024-07-09,7
2024-07-10,15
2024-07-11,39
2024-07-12,52
2024-07-13,100
2024-07-14,74
2024-07-15,93
2024-07-16,50
2024-07-17,56
2024-07-18,55
2024-07-19,71
2024-07-20,30
2024-07-21,31
2024-07-22,22
2024-07-23,17
2024-07-24,16
2024-07-25,16
2024-07-26,14
2024-07-27,12
2024-07-28,13
2024-07-29,12
2024-07-30,13
2024-07-31,9
2024-08-01,10
2024-08-02,8
2024-08-03,8
2024-08-04,9
2024-08-05,8
2024-08-06,9
2024-08-07,9
2024-08-08,10
2024-08-09,8
2024-08-10,13
2024-08-11,11
2024-08-12,10
2024-08-13,10
2024-08-14,12
2024-08-15,7
2024-08-16,8
2024-08-17,10
2024-08-18,17
2024-08-19,12
2024-08-20,10
2024-08-21,8
2024-08-22,9
2024-08-23,12
2024-08-24,22
2024-08-25,20
2024-08-26,18
2024-08-27,16
2024-08-28,14
2024-08-29,17
2024-08-30,16
2024-08-31,19
2024-09-01,22
2024-09-02,28
2024-09-03,25
2024-09-04,26
2024-09-05,21
2024-09-06,11
2024-09-07,14
2024-09-08,37
2024-09-09,16
2024-09-10,10
2024-09-11,10
2024-09-12,16
2024-09-13,10
2024-09-14,9
2024-09-15,29
2024-09-16,12
