Time,ncedcloud
2023-04-26,78
2023-04-27,76
2023-04-28,76
2023-04-29,9
2023-04-30,11
2023-05-01,85
2023-05-02,82
2023-05-03,79
2023-05-04,78
2023-05-05,69
2023-05-06,9
2023-05-07,11
2023-05-08,92
2023-05-09,80
2023-05-10,82
2023-05-11,78
2023-05-12,74
2023-05-13,9
2023-05-14,11
2023-05-15,91
2023-05-16,82
2023-05-17,79
2023-05-18,80
2023-05-19,76
2023-05-20,12
2023-05-21,13
2023-05-22,80
2023-05-23,76
2023-05-24,72
2023-05-25,69
2023-05-26,63
2023-05-27,13
2023-05-28,11
2023-05-29,18
2023-05-30,73
2023-05-31,57
2023-06-01,57
2023-06-02,53
2023-06-03,13
2023-06-04,15
2023-06-05,43
2023-06-06,38
2023-06-07,34
2023-06-08,31
2023-06-09,24
2023-06-10,10
2023-06-11,9
2023-06-12,13
2023-06-13,10
2023-06-14,10
2023-06-15,8
2023-06-16,6
2023-06-17,5
2023-06-18,4
2023-06-19,8
2023-06-20,7
2023-06-21,7
2023-06-22,7
2023-06-23,6
2023-06-24,4
2023-06-25,5
2023-06-26,7
2023-06-27,6
2023-06-28,5
2023-06-29,5
2023-06-30,3
2023-07-01,3
2023-07-02,3
2023-07-03,3
2023-07-04,3
2023-07-05,5
2023-07-06,5
2023-07-07,4
2023-07-08,3
2023-07-09,4
2023-07-10,7
2023-07-11,8
2023-07-12,14
2023-07-13,10
2023-07-14,6
2023-07-15,5
2023-07-16,3
2023-07-17,8
2023-07-18,8
2023-07-19,7
2023-07-20,7
2023-07-21,6
2023-07-22,4
2023-07-23,5
2023-07-24,7
2023-07-25,7
2023-07-26,8
2023-07-27,8
2023-07-28,8
2023-07-29,5
2023-07-30,5
2023-07-31,10
2023-08-01,14
2023-08-02,13
2023-08-03,15
2023-08-04,14
2023-08-05,9
2023-08-06,9
2023-08-07,18
2023-08-08,19
2023-08-09,19
2023-08-10,20
2023-08-11,17
2023-08-12,9
2023-08-13,11
2023-08-14,27
2023-08-15,26
2023-08-16,32
2023-08-17,33
2023-08-18,30
2023-08-19,11
2023-08-20,12
2023-08-21,38
2023-08-22,39
2023-08-23,41
2023-08-24,37
2023-08-25,33
2023-08-26,11
2023-08-27,18
2023-08-28,63
2023-08-29,56
2023-08-30,57
2023-08-31,44
2023-09-01,61
2023-09-02,8
2023-09-03,7
2023-09-04,12
2023-09-05,73
2023-09-06,74
2023-09-07,75
2023-09-08,81
2023-09-09,11
2023-09-10,14
2023-09-11,91
2023-09-12,81
2023-09-13,87
2023-09-14,84
2023-09-15,84
2023-09-16,11
2023-09-17,14
2023-09-18,89
2023-09-19,88
2023-09-20,85
2023-09-21,93
2023-09-22,83
2023-09-23,13
2023-09-24,14
2023-09-25,73
2023-09-26,87
2023-09-27,85
2023-09-28,89
2023-09-29,83
2023-09-30,12
2023-10-01,16
2023-10-02,100
2023-10-03,87
2023-10-04,88
2023-10-05,87
2023-10-06,90
2023-10-07,11
2023-10-08,14
2023-10-09,87
2023-10-10,82
2023-10-11,85
2023-10-12,83
2023-10-13,80
2023-10-14,12
2023-10-15,14
2023-10-16,89
2023-10-17,86
2023-10-18,82
2023-10-19,88
2023-10-20,82
2023-10-21,13
2023-10-22,15
2023-10-23,90
2023-10-24,84
2023-10-25,85
2023-10-26,84
2023-10-27,93
2023-10-28,11
2023-10-29,14
2023-10-30,86
2023-10-31,75
2023-11-01,86
2023-11-02,82
2023-11-03,74
2023-11-04,12
2023-11-05,13
2023-11-06,82
2023-11-07,64
2023-11-08,80
2023-11-09,72
2023-11-10,11
2023-11-11,8
2023-11-12,11
2023-11-13,92
2023-11-14,73
2023-11-15,80
2023-11-16,82
2023-11-17,81
2023-11-18,10
2023-11-19,12
2023-11-20,85
2023-11-21,67
2023-11-22,10
2023-11-23,6
2023-11-24,6
2023-11-25,6
2023-11-26,10
2023-11-27,82
2023-11-28,73
2023-11-29,75
2023-11-30,75
2023-12-01,78
2023-12-02,9
2023-12-03,12
2023-12-04,86
2023-12-05,97
2023-12-06,92
2023-12-07,68
2023-12-08,59
2023-12-09,11
2023-12-10,13
2023-12-11,63
2023-12-12,52
2023-12-13,51
2023-12-14,45
2023-12-15,42
2023-12-16,11
2023-12-17,12
2023-12-18,38
2023-12-19,33
2023-12-20,21
2023-12-21,12
2023-12-22,7
2023-12-23,5
2023-12-24,4
2023-12-25,4
2023-12-26,5
2023-12-27,4
2023-12-28,4
2023-12-29,4
2023-12-30,5
2023-12-31,4
2024-01-01,7
2024-01-02,16
2024-01-03,48
2024-01-04,52
2024-01-05,48
2024-01-06,9
2024-01-07,11
2024-01-08,63
2024-01-09,27
2024-01-10,54
2024-01-11,62
2024-01-12,62
2024-01-13,10
2024-01-14,8
2024-01-15,12
2024-01-16,60
2024-01-17,60
2024-01-18,59
2024-01-19,60
2024-01-20,15
